ticket,rendimiento
a.us,0.0005348522343017285
aap.us,0.0008550022019351494
aapl.us,-0.00034434729068646237
abc.us,0.0006589909507631536
abt.us,0.000277477318822909
acn.us,0.0012652368235068518
adbe.us,0.0007454084119452093
adi.us,0.000493187783255394
adm.us,0.00017672509260794556
adp.us,0.0005547053299970356
ads.us,0.0012033733638772738
adsk.us,0.0010059522613461165
aee.us,0.0004314471809028568
aep.us,0.00014426200247353354
aes.us,6.352085032067173e-06
aet.us,0.0005377578051621506
afl.us,4.47920156969951e-05
agn.us,0.0006471186338312222
aig.us,-0.00021269863592396178
aiv.us,0.0007709122020969186
aiz.us,0.0007634349490719298
ajg.us,0.0005593109460382994
akam.us,0.0003373699752908601
alb.us,0.0001965590967832061
algn.us,0.0006817566579030832
alk.us,0.0010351880578318093
all.us,0.0004990876544844129
alxn.us,0.000894911212253489
amat.us,0.00042353898362344777
amd.us,-0.0014764303634857232
ame.us,0.000907190610729084
amg.us,0.0005731807220470549
amgn.us,0.0009268417046706308
amp.us,0.0009436220807089793
amt.us,0.0006439084123872821
amzn.us,0.0006892056027493392
andv.us,0.0011200484358099216
anss.us,0.0007832086576963676
antm.us,0.0008915573506508079
aon.us,0.0012117116509328943
aos.us,0.0004142150128546334
apa.us,-0.00043116229940779545
apc.us,-2.963136534901048e-05
apd.us,0.00035354454861588933
aph.us,0.0005949017340720864
are.us,0.007586995372790646
atvi.us,4.708260443418817e-05
avb.us,0.00645857387547014
avgo.us,0.00039660447847232583
avy.us,0.0002941135970116531
awk.us,0.00016099873677947847
axp.us,0.0005128052231376405
ayi.us,0.001081327970627055
azo.us,0.0009298650395719624
ba.us,9.31900462219087e-05
bac.us,-0.0012141138768316272
bax.us,0.00013611836778800826
bbt.us,0.0005725329421132279
bby.us,-8.152508900483694e-05
bdx.us,0.0004070620278232601
ben.us,0.0004284036970173625
biib.us,0.0009069463618403968
bk.us,0.00024470649737702035
blk.us,-0.00028504912433817555
bll.us,0.0007561508028479035
bmy.us,0.000745717002835297
bsx.us,-3.7818222898810174e-06
bwa.us,0.0008664928473742873
bxp.us,0.08084266527021482
c.us,-0.0005333107971926026
ca.us,0.00019905942755473293
cag.us,0.00047001361474774856
cah.us,0.00047683876311986894
cat.us,-8.358423825893689e-05
cb.us,0.000714348796879835
cbg.us,0.0006299492380609545
cbs.us,0.0008293667243189155
cci.us,0.00046551494464867866
ccl.us,0.00011724994943573945
cdns.us,0.0010793204470070704
celg.us,0.0006242947727173034
cern.us,0.0005001877702308406
cf.us,1.7280588102770703e-05
chd.us,0.0005899978998714145
chk.us,-0.001037304627344901
chrw.us,0.0005873660227539752
ci.us,0.0008717392246321224
cinf.us,0.0003444036892424347
cl.us,0.0007409003699106217
clx.us,0.0005105850436476391
cma.us,0.0003359064669473048
cmcsa.us,0.0007306733486704488
cme.us,0.00018083781322801473
cmg.us,0.0011534399556194848
cmi.us,0.00014706205542475964
cms.us,0.00040159387354027896
cnc.us,0.0013271778917666663
cnp.us,0.00020271232014823737
cof.us,0.00021222498663609239
cog.us,0.00023586325618303103
col.us,0.0005183554826401926
coo.us,0.0007019447611323377
cop.us,0.0001806829184245797
cost.us,0.0006602564056994409
cpb.us,0.0005798524407756386
crm.us,0.0007665169639852892
csco.us,0.0003847972410618321
csx.us,0.00022699865881798076
ctas.us,0.00046359804343153416
ctl.us,-0.0001283578724029376
ctsh.us,0.00044664733409391225
ctxs.us,0.0002883270280425404
cvs.us,0.0008189465083743822
cvx.us,0.00023394557615123842
cxo.us,0.0006458876487558193
d.us,0.00054927964571246
dal.us,0.0002509541034353286
de.us,8.540774354981256e-05
dfs.us,0.0006472877850852981
dg.us,0.0003687496457003284
dgx.us,0.0004887369902891948
dhi.us,-4.891426858053353e-05
dhr.us,0.0006454609343292337
dis.us,0.0006856630952896816
disca.us,0.0007118123429604257
disck.us,0.0012985648815123613
dish.us,0.0009288032044399294
dlr.us,4.209790056146191e-05
dltr.us,0.0006805657636385364
dov.us,0.0002700859183046822
dps.us,0.0007344464145170771
dre.us,0.0005026787256405089
dri.us,0.0005989300724844061
dte.us,0.0005101878937190621
duk.us,0.0002254476934781389
dva.us,0.000493836561710679
dvn.us,-0.0004442440836224305
dwdp.us,0.0005931812395468847
ebay.us,0.00042645675868713555
ecl.us,0.0007892747284122067
ed.us,0.00033324192454027584
efx.us,0.0008570816278626144
eix.us,-0.0009123800934136771
el.us,0.00095874674062022
emn.us,0.0002427669320599074
emr.us,0.00017340533486306036
eog.us,5.197840676346203e-05
eqix.us,0.0006558569804729267
eqr.us,0.0006317719107639004
eqt.us,5.847397636578439e-05
es.us,0.0004218118747784364
esrx.us,0.00031792811898316434
ess.us,0.0006785941645062504
etfc.us,-2.5010687681727812e-05
etn.us,0.0001763062520719004
etr.us,9.306302258698342e-05
ew.us,0.0007742878410257648
exc.us,-0.00016706523570167046
expd.us,0.00042738695252713836
expe.us,0.000618086884759802
exr.us,0.0011402034735930853
f.us,-0.0008100788348980602
fast.us,0.0006241227662381318
fcx.us,-0.001301977589675682
fdx.us,0.00023102870569149798
fe.us,-0.000140958043266004
ffiv.us,0.00038170821996282484
fis.us,0.0009504038936668901
fisv.us,0.0009770892861366272
fitb.us,1.408549224817865e-05
fl.us,0.00014022273237231515
flir.us,0.0004569274462174724
flr.us,4.300611891208303e-05
fls.us,0.0005444902644785247
fmc.us,0.0005464133201855367
fox.us,0.000930521560984534
foxa.us,0.0008595369011105444
frt.us,0.0005274415023787998
fti.us,0.00044960405727153223
gd.us,0.0006526436860091878
ge.us,-0.00018671009090980722
ggp.us,0.0009698859028897703
gild.us,-6.848103808873425e-06
gis.us,0.0005279731734793092
glw.us,-0.00033701191059863254
googl.us,-0.00044515816380134073
gpc.us,0.0003808597792770201
gpn.us,0.0002494617203828149
gps.us,0.0007353036218709101
grmn.us,0.0004552434280455406
gs.us,2.059182114179628e-05
gt.us,-0.0003834923770985878
gww.us,0.0010853531689461763
hal.us,-0.00024135901419107916
has.us,8.246793363610915e-06
hban.us,-0.00013187530611777815
hbi.us,0.0008270776648061262
hcn.us,0.0003898594056803878
hcp.us,0.00044147464090388776
hd.us,0.0008641142814652363
hes.us,-0.0001826394463907128
hig.us,8.914733404046064e-05
hog.us,0.0006874460897159314
holx.us,0.00035301751287519887
hon.us,0.00047286864415735445
hp.us,1.702815178989298e-05
hpq.us,0.000499593831737718
hrb.us,0.0005733049283576878
hrl.us,0.0006773977511133534
hrs.us,8.740463993647148e-05
hsic.us,0.0007148069109644455
hst.us,0.0006030376034489437
hsy.us,0.0010100805160288063
hum.us,0.008334948859119205
ibm.us,0.0007235775588382033
ice.us,0.0004623759790327725
idxx.us,0.0010761130133870628
iff.us,0.0005125012680838216
ilmn.us,0.0014409405517447976
incy.us,0.0014631506974014778
intc.us,0.0005869006778327509
intu.us,0.0012143842804350914
ip.us,0.0002487058901183823
ipg.us,0.0006668660728783198
ir.us,0.0008280558516036284
irm.us,0.0005311463002624194
isrg.us,0.0005616703339433946
it.us,0.001630700047348725
itw.us,0.0002645942822297098
ivz.us,9.057864339736738e-05
jbht.us,0.0007682012148647784
jci.us,0.0006899194594092762
jec.us,0.00039786615524766474
jnj.us,0.00024733312175025167
jnpr.us,0.0007264185546762389
jpm.us,0.00014877183650642675
jwn.us,0.0007861104106607892
k.us,0.00041223681981768814
key.us,0.00019677153069329084
kim.us,0.00016241228008571579
klac.us,0.0008048440411845138
kmb.us,0.0004988710390506336
kmx.us,0.0006633353141276917
ko.us,0.00033606686542977693
kr.us,0.0008439762893735577
kss.us,0.0005245593218555134
ksu.us,0.0009923838324976007
