,abr.us,acc.us,adc.us,agnc.us,aht.us,aiv.us,akr.us,alex.us,anh.us,are.us,ari.us,avb.us,bdn.us,bfs.us,bxmt.us,bxp.us,cbl.us,cci.us,cdr.us,cim.us,cli.us,cmo.us,cpt.us,csgp.us,cto.us,cuz.us,cxw.us,dei.us,dlr.us,dre.us,drh.us,dx.us,egp.us,els.us,epr.us,eqc.us,eqix.us,eqr.us,ess.us,exr.us,for.us,fr.us,frt.us,fsp.us,geo.us,good.us,gty.us,hcp.us,hf.us,hiw.us,hpt.us,hr.us,hst.us,ht.us,iret.us,irs.us,ivr.us,jll.us,joe.us,kim.us,krc.us,krg.us,lamr.us,lpt.us,lsi.us,ltc.us,lxp.us,maa.us,mac.us,mfa.us,mnr.us,mpw.us,nhi.us,nly.us,nnn.us,ntp.us,nymt.us,o.us,ofc.us,ohi.us,olp.us,pch.us,peb.us,pei.us,pico.us,pld.us,pmt.us,psa.us,psb.us,reg.us,rhp.us,roic.us,rpt.us,rwt.us,sbra.us,sho.us,skt.us,slg.us,snh.us,spg.us,star.us,stwd.us,sui.us,tco.us,tpl.us,trc.us,two.us,uba.us,udr.us,uht.us,umh.us,vno.us,vtr.us,wpc.us,wre.us,wri.us,xin.us
abr.us,0.0006119312801154185,7.451687002036669e-05,7.773669915579408e-05,5.503739270319937e-05,0.0001271679607532418,6.012515874528623e-05,7.544779228394364e-05,8.141974953107112e-05,5.67947067240879e-05,5.100628935944277e-06,5.677157626918387e-05,2.0604880931652926e-05,9.537406927034841e-05,5.257485828550456e-05,0.00022400690661479223,-0.00014477494314127978,0.00011619920718877923,4.4200624774089665e-05,0.0001197594438418041,7.499404790187861e-05,8.231575651353014e-05,5.039584170209195e-05,6.038305373671007e-05,5.2815036172246e-05,7.162786280581991e-05,9.611002353060792e-05,5.0807525368191025e-05,8.827099166547115e-05,6.854265792306314e-05,0.00010472439275463691,0.00010043787293737813,6.485419088459681e-05,7.224483603870965e-05,6.601926704099384e-05,8.606427635682322e-05,9.506720357328617e-05,6.758872185687773e-05,4.8861605510568394e-05,6.82865096026308e-05,8.391179469392788e-05,0.00011030001003671279,0.0001424257075264667,6.416798319321431e-05,8.299219325970568e-05,6.124589505111963e-05,6.011248388313532e-05,7.056759872115462e-05,7.293098203320232e-05,9.615565118601967e-05,7.911133355624691e-05,8.427474734513505e-05,6.518233164877478e-05,0.0001144590700858383,9.699717376685741e-05,5.301370507852132e-05,6.789573353182446e-05,6.967096724522263e-05,0.00010023973044994485,9.477641645225255e-05,8.355907566116512e-05,8.61413859053675e-05,0.00011382396665387099,4.8539836896129956e-05,7.38349560310943e-05,6.769720241371106e-05,7.248051587740728e-05,0.00011173217039163802,5.8292197468662404e-05,9.369059586740513e-05,4.836823155074699e-05,5.008159801711584e-05,8.293251269101566e-05,6.873068392020838e-05,5.6482978315641354e-05,6.856680950713124e-05,4.919874441800228e-05,4.1573700520994534e-05,6.489464714594445e-05,7.959003003838991e-05,9.13278417333717e-05,0.00010729588623797188,8.518287275914224e-05,6.335332645544953e-05,0.00012837408898493346,6.538211651529115e-05,5.24572550435939e-05,6.664685963835669e-05,6.630962412902506e-05,6.898795109285788e-05,7.386379039475524e-05,0.00012395483635687607,4.155380426454992e-05,7.387078699477804e-05,7.692874903900543e-05,2.4820528197031828e-05,0.0001220429806558386,6.967075369603663e-05,0.00010350830886928305,7.38541234578173e-05,4.299582415491117e-05,0.00017093633052102941,5.4340443079885795e-05,7.870596494933078e-05,8.482780817860991e-05,2.4289102923136333e-05,5.207977180823029e-05,5.289611256039424e-05,5.241830885124793e-05,6.31185256183565e-05,6.367738337357833e-05,5.870848168468992e-05,8.270782039673558e-05,6.954609209204986e-05,4.1622592107199157e-05,7.671373407389845e-05,8.56767181570145e-05,0.00010338208998957495
acc.us,7.451687002036669e-05,0.0001578022796924955,8.37723461931382e-05,4.544567428880758e-05,0.00011061993571355588,3.819839743564893e-05,0.00010088370919468142,8.051841352709027e-05,5.62231585798159e-05,0.0001772834674043229,5.643767240862634e-05,0.00017659511764580045,0.00011992905721551111,9.008983487633282e-05,0.00011835124441468813,0.0011442459829969793,0.00013873836153584557,4.989780387752621e-05,0.0001167105185333562,6.685024794462045e-05,0.00010757559413083543,5.516010649911546e-05,0.00012330485291596254,5.3684532987578595e-05,5.9494523140063004e-05,0.00010716467179313816,6.266855349931705e-05,0.00011835259526399351,9.591186550668207e-05,0.00012686734509346993,0.00012938109571094815,5.8413568317213695e-05,0.00010207013272426905,9.942901832119164e-05,0.00010658410871815882,9.55941697881032e-05,6.227229005751745e-05,4.1051515217517064e-05,0.00011213124590086993,0.00011179729014954598,0.00010266362203843334,0.0001395152908726422,9.351312439031112e-05,0.00010807608719388757,6.03361701339815e-05,6.994265144267089e-05,8.778371380806959e-05,0.00010647198222595964,8.590575433509742e-05,0.00010860619706712049,0.00010999704547497224,0.00010523659840973761,0.00011928295203213324,0.00011041021544026145,8.44657780193591e-05,4.112346910554244e-05,6.282844642825283e-05,0.0001025709556910754,8.63706692314788e-05,0.00011416829240156406,0.00011608276285232054,0.00012709088698781344,2.1143821063577968e-05,0.00010657707136396355,0.000102184097177984,9.42494055747348e-05,0.00013045537663141502,0.00010289060169998634,0.00012206608392599616,5.6998291165373765e-05,7.620448204508898e-05,0.00011362555610388161,0.00010164868387916803,4.924737523363516e-05,9.071656447243776e-05,4.611251642910184e-05,2.482828346700972e-05,9.638206086744753e-05,0.00011015590854211793,0.00011502736127954606,8.76905392468463e-05,0.00010534273925716596,7.887401402532691e-05,0.0001315142824331571,7.213952746459295e-05,3.3375063765340344e-05,5.4145277954236895e-05,9.595645661600259e-05,8.810424378811785e-05,0.00011182013949568602,0.00011012207527695535,4.936560576034869e-05,0.00010831883788507472,7.591066571255772e-05,1.921504491615044e-05,0.00013217325649974345,0.00010727853940757598,0.00011530777213785371,0.00010341645115963473,3.46358729448758e-05,0.00011618245152233813,6.179079251644295e-05,0.0001067783195320368,0.00011789951886470076,2.416912998924948e-05,6.529696856966003e-05,5.590470977824809e-05,9.178671457034336e-05,0.0001235304597811503,8.629398607947149e-05,6.830443736675349e-05,0.00011002951788749175,0.00010129946457195089,4.687308686208072e-05,0.00010501874712939942,0.0001171736150870158,4.921319703470634e-05
adc.us,7.773669915579408e-05,8.37723461931382e-05,0.000228735434517071,4.9998718792468476e-05,0.00012539937839108295,3.840710606784908e-05,9.62340454187813e-05,9.16581394762805e-05,5.59092382829073e-05,0.0001240825552440739,5.366037001072899e-05,0.00030456938806400175,0.00010561910159224675,9.859479511935889e-05,0.00012813478540672375,0.00022985002035643014,0.00013197004477985975,4.4448253172400916e-05,0.00013170177355805498,6.846446691028706e-05,9.376870234367016e-05,5.532127246501205e-05,0.00010125648674097234,6.651307649926906e-05,7.81873610273202e-05,0.00010625739366348864,6.60883350947238e-05,9.684600974858294e-05,7.903670777929505e-05,0.00011436319437999663,0.00013220258983433753,6.360051980843069e-05,9.431348106086987e-05,7.966998408981096e-05,0.0001085281727343808,9.501997949081977e-05,7.508606416518244e-05,3.5885407761159425e-05,9.048972092647071e-05,0.0001048728636036541,0.00011966235736243818,0.00013878910199730907,8.325796260005295e-05,0.0001065060501062264,7.72032388434173e-05,8.248097318988793e-05,9.867903049768784e-05,8.86476722476689e-05,0.00010742333293545905,9.303782819439171e-05,0.00010551747819154337,9.530974138534975e-05,0.00011503099788910314,0.0001279843714940896,8.344906526381991e-05,4.059753844795328e-05,6.540892603836832e-05,9.295751520359886e-05,8.078496474245616e-05,0.00010427455270641583,0.00010108029848459502,0.0001423778831666461,4.3538770650363656e-05,9.37530395521987e-05,9.630015912174673e-05,9.283923950200923e-05,0.00011681226475792273,8.345967747142317e-05,0.00010921044776881918,5.4888076882963524e-05,8.493303023523957e-05,9.951024980431998e-05,0.00010181920917909849,4.757803173793356e-05,8.440260545741456e-05,4.466452998751088e-05,3.12061580282152e-05,8.396280632798797e-05,9.122194258259099e-05,0.00010583996378130386,0.00011246998656714303,0.00010145483935333039,8.442093620904758e-05,0.00013436629002974585,8.866829988845206e-05,4.0449663851841545e-05,5.6528334366119846e-05,8.505876704923809e-05,8.70909806644842e-05,9.789139486159434e-05,0.00011213900138353516,5.396108498954219e-05,0.0001069927211666341,8.738814773889228e-05,1.933201258829224e-05,0.00013690156967918166,8.780936744993196e-05,0.00010026598247938424,8.887745299858631e-05,3.718294213381774e-05,0.00012576913820843693,6.608355893536659e-05,0.00010667546933970854,0.00010919248085392517,7.973755952023003e-06,8.26042192516439e-05,6.046639445069265e-05,9.834884499908743e-05,9.600122705948735e-05,8.907161283461829e-05,7.328975532088176e-05,9.324051114550402e-05,8.65091288002469e-05,4.304347875114383e-05,9.707425139896524e-05,0.0001067687762176048,4.8436246136403775e-05
agnc.us,5.503739270319937e-05,4.544567428880758e-05,4.9998718792468476e-05,0.00013724325750784618,5.519353902553604e-05,4.059326948605092e-06,4.979624269082403e-05,4.6363224788152166e-05,7.731380713729626e-05,8.726465267107938e-05,5.193749193617549e-05,4.353267621309684e-05,6.044725135064409e-05,4.998651556714777e-05,3.863777985243528e-05,-0.000765971147200611,7.059344750471019e-05,2.4574002745825847e-05,7.227940635737549e-05,6.683288060634858e-05,5.7208735774881585e-05,7.38243538075879e-05,5.6791420477850365e-05,2.499621541781178e-05,2.8933287472298386e-05,5.626452419250288e-05,3.8078574409920606e-05,5.348115097725201e-05,5.960304299764469e-05,6.34127891600383e-05,6.570863432808495e-05,7.20060287193381e-05,5.624350398083806e-05,4.8247317472344794e-05,5.8083039140469355e-05,5.522672120994168e-05,4.915947739698905e-05,7.879782442378374e-06,5.25051789166416e-05,5.976983034420433e-05,5.7174819237050206e-05,7.740467438149483e-05,4.726984155826515e-05,5.1592208528763786e-05,4.03157343961727e-05,4.393070692958956e-05,4.04488442607457e-05,5.742934290690886e-05,4.026598580159932e-05,5.521851528378552e-05,6.15668361678692e-05,5.9488935746440725e-05,5.899369938242847e-05,6.277636414775398e-05,5.126226829387527e-05,1.8917835912707138e-05,8.59871583769773e-05,5.3556576478497764e-05,4.370181980385118e-05,5.196225961896651e-05,5.8648270137150196e-05,6.199695375027947e-05,1.7447623930727233e-06,5.451597531031954e-05,5.178813496040032e-05,5.164903407466208e-05,6.391131949124957e-05,4.928621829489225e-05,5.872299046074649e-05,7.451823852107847e-05,5.035619506801274e-05,6.161860131194328e-05,5.730194532954996e-05,8.561687953705459e-05,5.0528259510482095e-05,4.1024784849930264e-05,5.443454734650137e-05,5.581963189253419e-05,5.7243477743567695e-05,6.542000648275995e-05,6.232097754260184e-05,4.982694809235307e-05,4.419819947844828e-05,7.403598233225386e-05,4.393214489269114e-05,5.627880154125529e-06,6.0857134528411384e-05,5.001280519722098e-05,4.600266137922862e-05,5.4525324129614096e-05,5.33722465687485e-05,3.3268516279484097e-05,5.781512821969274e-05,6.47143079583198e-05,-1.0199235979464412e-05,6.808365276787253e-05,5.757418793698785e-05,6.092646424179793e-05,5.715657087215098e-05,4.945887928483171e-06,8.591982830705276e-05,5.560577691119143e-05,4.64152298158311e-05,6.044740818815136e-05,1.1726521265695077e-05,3.962817112646567e-05,6.22624877042642e-05,5.509837743376874e-05,5.444761897064209e-05,6.208615331942587e-05,4.6224111827506283e-05,5.406159505307259e-05,5.555173013147565e-05,3.742512109809281e-05,5.234797132972513e-05,5.847765459091479e-05,3.4185774829327346e-05
aht.us,0.0001271679607532418,0.00011061993571355588,0.00012539937839108295,5.519353902553604e-05,0.0005070902586890026,3.8357464724447196e-05,0.00013649185061680955,0.00013979177179232122,6.772211211723155e-05,0.0002939764875943422,8.832942398212632e-05,0.0003041978509360331,0.0001533437137846695,0.00012761705870825026,0.00022187195958733012,0.002095651276521611,0.00019838489367871262,8.987238850958466e-05,0.00020033461544892152,0.00011871256549107942,0.00014010520367919882,7.7048953027767e-05,0.00012961182378903914,0.0001167291706127658,0.00010791077255499246,0.00017302998622240027,9.582646229589848e-05,0.00014655900687138252,0.00011171929097119362,0.00017243777672850107,0.00022573085541878634,8.496380420386774e-05,0.00013567816610113396,0.00011917336452823638,0.0001445099689777211,0.0001610908482252923,0.00012842041245001896,4.125625222575458e-05,0.00012646970289159672,0.00014613433521335322,0.0001798345366430934,0.00023228509340887028,0.00010255963237500612,0.0001608067714525903,9.797574176612012e-05,0.00012015336859969139,0.00013109865477806148,0.00012325645041201647,0.00016570042272018195,0.0001322538880432908,0.00015921408716081936,0.00012759812135700822,0.00021153352101151385,0.00023004072807664838,0.00011349509485023338,7.502476533183621e-05,9.389566872939565e-05,0.00016889797475287322,0.00012673455119544924,0.0001513881032032042,0.00015104802362551613,0.00022060981601217713,5.6498932188966176e-05,0.00013795685441232093,0.0001300265299874443,0.0001229507430287054,0.00017818054060018772,0.00011019191574155283,0.00015133203378868196,7.604100609892914e-05,0.0001189818480007646,0.00015109262064198143,0.00012281011931025815,5.234663681601342e-05,9.841856957850905e-05,8.508950337921602e-05,5.047326941127061e-05,0.00011188792503199983,0.00014101727295683837,0.0001425183128550207,0.00015701134214362968,0.00014315874890363542,0.0001552633029843973,0.00024029894913584843,0.0001293367759676061,4.093672276847627e-05,7.310566102271673e-05,0.00012199506129543902,0.00012492785146239437,0.00014716033244057422,0.00021047672089217576,7.31007001720626e-05,0.00015400223293823305,0.00011716970589498593,3.1189783885627744e-05,0.00023672755341372153,0.00012574704546859994,0.00015843968871619916,0.00012124389005637698,3.8797806324432334e-05,0.00022438554551205086,0.00010558065577303507,0.00016027149261727702,0.00013933275226735893,5.0802743711928785e-05,0.00011121736700499469,6.357076286563002e-05,0.00013038009724784425,0.00013309477355896604,0.00012853205769582096,0.0001071278475632508,0.00014062049870119158,0.0001246170257795093,7.475784552242885e-05,0.000137044892183272,0.00015093111159385298,0.00014022002107584003
aiv.us,6.012515874528623e-05,3.819839743564893e-05,3.840710606784908e-05,4.059326948605092e-06,3.8357464724447196e-05,0.00023184319037396415,4.656937998274816e-05,2.7505550188928764e-05,9.279168251296608e-06,0.00020328969050523816,1.0896086492195822e-05,4.024365893309231e-05,6.867078031264846e-05,3.3724108526148915e-05,3.811658071484162e-05,-0.0009324648511823049,8.069866775235718e-05,2.610019397719192e-05,4.0619783987006606e-05,1.9762728293927236e-05,4.8307217639409495e-05,1.1827681762879246e-05,4.814653740195105e-05,2.575057437947762e-05,2.5022032273528063e-05,3.902155399235012e-05,3.1102260429417555e-05,5.985280736353494e-05,4.077029784149591e-05,6.479100377206983e-05,6.212331163981339e-05,1.3577571762906717e-05,4.7818743672482416e-05,4.114670365134205e-05,4.358889944922109e-05,4.899573038336407e-05,2.960418488531767e-05,0.00016173249907625446,4.874537802919283e-05,4.2925176676306404e-05,3.94625083057225e-05,7.145950956729832e-05,3.931106916239345e-05,4.392771134583497e-05,2.3344639489483833e-05,2.088187263267094e-05,3.26611971415903e-05,4.4564515637587637e-05,2.2956454013096156e-05,4.270710679247167e-05,4.799958716249114e-05,3.81375311789342e-05,7.40643748238722e-05,4.889637427874091e-05,1.4699836863050128e-05,2.247617106379717e-05,1.802464694217882e-05,5.796758461422565e-05,5.05713626196451e-05,5.301667169036605e-05,4.6951938410805725e-05,6.003361535851978e-05,0.0001212663171379336,4.99894007199348e-05,4.078491646758257e-05,3.747596769554632e-05,5.619865429753307e-05,4.0565017631949214e-05,6.658763169471901e-05,1.1171658750120359e-05,1.4448232839662181e-05,4.0054245120927285e-05,3.357448192942844e-05,6.993340023687655e-06,3.8091459816680776e-05,2.9924154779633283e-05,5.928824696920169e-06,3.988846596397929e-05,4.1756619023381536e-05,4.837940021151816e-05,2.0750212885189765e-05,3.782341257743661e-05,2.7159493996026592e-05,8.28367705264614e-05,2.8563112436967767e-05,0.00017492400112645437,1.2888717347696514e-05,3.712769234098911e-05,3.5670513623376194e-05,5.116046854162616e-05,5.517030753387993e-05,1.5248161320731017e-05,4.563619244607068e-05,2.7202125711703483e-05,8.99174662365951e-05,6.79156267293976e-05,4.066737780282468e-05,4.937693161908574e-05,3.595632247161638e-05,0.00013692532959962833,8.049420668952328e-05,1.4339885832390995e-05,5.644802398859081e-05,5.517975091538245e-05,3.085574138178491e-05,1.1854274349585744e-05,2.6011995506013357e-05,2.5261283648915544e-05,5.523061405156999e-05,1.2922925994732264e-05,1.9582196267999388e-05,6.189324711437864e-05,4.2714130655809595e-05,1.8980559792989325e-05,4.6960706879775096e-05,5.38988438514702e-05,3.447360706870893e-05
akr.us,7.544779228394364e-05,0.00010088370919468142,9.62340454187813e-05,4.979624269082403e-05,0.00013649185061680955,4.656937998274816e-05,0.00014977780361419277,8.908468399546713e-05,5.8061129968509295e-05,0.00015134228996522197,5.9470421981836116e-05,0.00015690401118058204,0.00012750229214981485,0.00010254221254656354,0.0001155581997888851,0.0009108605169020738,0.00015781441666297123,5.173609507983738e-05,0.0001313549618922255,7.816009398547782e-05,0.00011193052850826074,5.988180609206772e-05,0.00012095687592311658,7.056737009951843e-05,7.306759583719494e-05,0.00012125947991158745,7.311813763485943e-05,0.00012455127655058114,9.601389026258025e-05,0.00013943482175178353,0.00014417026008030026,6.55043579845764e-05,0.00011097123316715575,0.00010067847784102249,0.00011745052415276601,0.00011278007981497647,7.383778623815933e-05,4.5899944700780645e-05,0.00011009060453302584,0.00012044041711057215,0.00012435749323783454,0.0001561593835417822,9.972763487104827e-05,0.00012345297246500094,6.980302149546529e-05,7.841326657194254e-05,0.0001026785233360945,0.00010931910654508145,9.369100611947351e-05,0.00011466968952268633,0.00011962221894505619,0.0001138614977049059,0.00013413287540504497,0.00012880397922185056,9.331890398834405e-05,4.473000534416314e-05,6.820613040401101e-05,0.00011437119833116277,8.686747223238672e-05,0.0001285102265350655,0.00012275934528848547,0.00014810003840897703,3.49124815502324e-05,0.00011146622103407366,0.00011014577636911153,0.00010275692948828382,0.00013717182112989073,0.00010274933727862623,0.0001317708266929973,5.9831026490755035e-05,8.922918004518587e-05,0.00012508999785615897,0.00010685260323291639,4.833619070534833e-05,9.521633362592716e-05,5.800818161115826e-05,3.424458375808985e-05,0.000101320713089109,0.00011482061316701845,0.0001226590166943295,0.00010156548029048572,0.00011369980240508969,9.524540196155578e-05,0.00016089895649773955,8.904602206997489e-05,4.1631632757175596e-05,5.9903859533929314e-05,0.00010296538298607126,0.00010126105017032143,0.00012392726692832728,0.00012200372295326797,5.828733433950632e-05,0.00012207847116831578,9.045224277541695e-05,1.7313019895404197e-05,0.00015096459607787013,0.0001087319525056638,0.00012468354070216232,0.00010287496069401465,4.2785674838548775e-05,0.0001491875328163868,7.520305259125213e-05,0.00011978263932900396,0.00012322349973136235,2.8009038802684738e-05,8.715807183548273e-05,5.8791089153355705e-05,0.00010980091581750453,0.00011939307775856082,0.0001008366410257646,7.910842711391806e-05,0.00011741774954090455,0.00010414657234725755,5.800129000253004e-05,0.00011217970716665261,0.00012924738008498308,6.387292631452007e-05
alex.us,8.141974953107112e-05,8.051841352709027e-05,9.16581394762805e-05,4.6363224788152166e-05,0.00013979177179232122,2.7505550188928764e-05,8.908468399546713e-05,0.00030889223524427665,5.074518268643961e-05,0.0002291729524064385,6.758423858819448e-05,0.00019242331751237116,0.00012056240506808731,9.178268846630927e-05,0.00013086531608324942,-0.0005587218704412168,0.0001322922560681852,5.8512406633814624e-05,0.0001302535485220427,6.688821072565653e-05,0.0001007915421148453,6.209281344879967e-05,9.763396168692028e-05,0.00010553329601076411,7.754300119819179e-05,0.00011947219292416678,7.875967625659378e-05,0.00010403423888452654,8.205833490844659e-05,0.00012620531334233786,0.0001401482262856093,6.611568904457285e-05,0.0001009768091114439,8.133204852864433e-05,9.824851255335712e-05,0.00010392358532174162,9.293902392081379e-05,3.415943202438542e-05,8.80125076888902e-05,9.946746750607598e-05,0.0001547227941106065,0.0001479544945000078,7.599235494127524e-05,0.00010660179629376819,9.013490449216997e-05,7.976748043714087e-05,0.0001034620391924788,8.400337982920695e-05,0.00011778461456657596,0.0001009807712583461,0.0001156305976782334,9.827522183949555e-05,0.0001355174050010721,0.00013099606485852892,8.408836727955284e-05,4.684260835878038e-05,7.223984533490205e-05,0.00013559851619052783,0.00011463441878978802,0.00010106581526928014,0.00010633549110189121,0.00012175667281981355,3.928581041158982e-05,9.44246864174568e-05,9.982710339039605e-05,8.60889786267777e-05,0.00013458721636222138,8.103996522777461e-05,0.000108021844029335,5.7193467369793236e-05,8.459091368190097e-05,0.00010857472050167345,8.984132825246333e-05,4.159450923074582e-05,7.195500669363904e-05,7.295954612028791e-05,3.546947272875447e-05,7.769076354352385e-05,0.00010703346136821565,0.0001062551710346835,0.00010374946430223191,0.00011932267324803113,0.000101130993604418,0.00015832049651011163,0.00010464037970509747,3.393820850043984e-05,7.005645064602829e-05,8.510709696727986e-05,8.844255407325889e-05,0.00010344356913571801,0.00013739822107009558,4.848337524293676e-05,9.873051226522896e-05,9.191126724886003e-05,1.742562543486528e-05,0.00015793749790074752,9.121740236343908e-05,0.0001060907326946696,9.13286672986841e-05,2.7504392060016393e-05,0.00016870435660206465,7.059209058200807e-05,9.895917451093863e-05,9.926341478151714e-05,3.6439824539643005e-05,9.943734756820026e-05,3.873121645960507e-05,9.572267483674351e-05,0.00010109371670279764,9.303995846285132e-05,7.776287993583159e-05,0.0001000382051845385,8.190083556273952e-05,5.006032899937331e-05,9.762367970223694e-05,0.00010692021366510404,8.344129282079398e-05
anh.us,5.67947067240879e-05,5.62231585798159e-05,5.59092382829073e-05,7.731380713729626e-05,6.772211211723155e-05,9.279168251296608e-06,5.8061129968509295e-05,5.074518268643961e-05,0.0001347552671845828,6.295113234300074e-05,5.483031250120613e-05,4.875417101045844e-05,6.747890632029946e-05,5.6533545147805535e-05,7.555284540419483e-05,-0.0013718398087166738,8.158953342101947e-05,3.1397061410957236e-05,7.799824276509344e-05,6.550492910401882e-05,6.144913095148928e-05,8.289302358911114e-05,6.430164080668833e-05,3.0358698628025446e-05,3.728903742616778e-05,6.576836250826895e-05,3.92985190073894e-05,6.039948126701445e-05,5.9788266852719274e-05,7.036976321258761e-05,7.345730603696755e-05,7.588218826875385e-05,6.046969229556329e-05,5.35523509566346e-05,6.38063934894354e-05,6.270721621997282e-05,5.221731427406773e-05,1.0306047650378215e-05,5.613368298131973e-05,6.0635955206561666e-05,6.887915699145337e-05,8.3994104997278e-05,5.004133645177441e-05,6.542681021451655e-05,4.419406211771538e-05,4.779210453613661e-05,4.572549278236916e-05,6.020958921677063e-05,5.2907174020129436e-05,6.231599826790314e-05,7.125116201859186e-05,6.896579344601221e-05,6.0458045527959044e-05,7.321205405550278e-05,5.7996457187940756e-05,3.2369389226184745e-05,8.315252326242161e-05,5.817146888818458e-05,5.36794899175709e-05,6.124445548360377e-05,6.415951438920982e-05,7.38815723299373e-05,3.544752729459434e-06,5.804170825570849e-05,5.798919091789894e-05,5.810610988502297e-05,7.831325303963056e-05,5.7106413906906645e-05,6.273702176266245e-05,7.329111393112435e-05,6.224747754105096e-05,7.616227015382831e-05,6.735087582543973e-05,7.150582529825439e-05,5.1759500681279196e-05,4.808732525714437e-05,5.690384970245103e-05,5.745427303439428e-05,6.559770885837478e-05,7.275766052227293e-05,6.969943684975233e-05,6.483270701190897e-05,5.419876370861736e-05,8.533358405112291e-05,6.141731050971126e-05,9.034159613832495e-06,5.817682220101643e-05,5.174370636744214e-05,5.41851612190275e-05,5.770753667595152e-05,6.575211326352012e-05,3.7266181982236564e-05,6.729930633810158e-05,7.468436387662964e-05,-3.824241047553931e-07,7.803106051260312e-05,6.351032748864808e-05,7.18861686163328e-05,6.1930929404261e-05,5.516331640558159e-06,0.00010594241165462559,5.78508446915577e-05,6.126803028460018e-05,6.47135454264405e-05,1.6214667459119358e-05,5.700055826137049e-05,5.846137512882475e-05,6.361953721066989e-05,6.169177802126859e-05,6.772077215766375e-05,5.2095293349869225e-05,5.9759828414670766e-05,5.845972998946817e-05,3.615002918619109e-05,6.474919768695235e-05,6.530813422216534e-05,3.1503568665312715e-05
are.us,5.100628935944277e-06,0.0001772834674043229,0.0001240825552440739,8.726465267107938e-05,0.0002939764875943422,0.00020328969050523816,0.00015134228996522197,0.0002291729524064385,6.295113234300074e-05,0.0674785473987953,0.00010210807947977158,0.00017755073546308085,0.000264583060562198,7.208715323851955e-05,-0.0002837172835700318,0.0010727940451511434,0.0003207278523986573,0.00016806671198289639,0.0002254431112257126,0.00014208383280557192,0.0001900694999152369,8.202386160017686e-05,0.0002862840569429314,0.000243129341414505,0.00026144142888090806,0.0001596502893239043,0.00018782059642877472,0.0003132515843223401,0.0002740435194382903,0.00028496627117323474,0.0004038934103348255,0.00011509121392458546,0.0002701061644235355,9.876564424893749e-05,0.00010821453636347911,0.00013231226419685554,-3.712105126616851e-05,8.421849152136644e-05,0.00017638142977458368,0.0003234676146173933,0.00015891776292374725,0.0002678854637428471,0.00017229604092184299,0.0002863513827368425,0.000178242358598034,0.00019172365293836162,0.00017910961550785052,0.0001920212402847272,0.00028847804942599444,0.0002688032440022852,0.00020234673297619689,0.00022540276955133442,0.00026995879704772306,0.0001759491297453221,0.00022619309582523056,0.0001007464975054816,7.30775815677723e-05,0.00026594518539366707,0.0001472987252410637,0.00028185162239775476,0.00025694569772729284,0.00035905996000314046,0.00016822703162808013,0.00021072076067778648,0.00024318156663859908,0.0002022901209359783,0.00032982404901668995,0.00016181339650824466,0.00025694404591306675,6.082001010168505e-05,0.0002996680513178151,0.00017828484093907284,0.00019749238552149246,0.00011567397673712155,0.00018360915856593325,-3.2445433783254676e-05,2.2428949153238654e-05,0.00017317979142862896,0.00016957928190057656,0.0002682364856788126,0.00017257944011200908,0.00018068608988820313,0.00013940927897368685,0.00024829046547322623,0.00015264768485226897,7.983060653852638e-05,0.0001283246259216492,0.00018303328810380075,8.624523335818225e-05,0.00025369730764576384,0.00030276300848768685,0.00010932465553569955,0.0003103925593145449,0.00011638407084584384,9.258591308526705e-05,0.0002219881350179186,0.00026181305690562963,0.00025844927755153466,0.0001891989426987757,0.00017968440814046776,0.000253164542536659,6.799764114191374e-05,0.00021324759403811732,0.00027169033296018687,1.214055077279833e-05,0.00031115670825502276,0.00017017119762928717,0.0001448289482831044,0.00019467107501192166,0.00012565507867015304,0.00024010503008112176,0.00023547798139851743,0.00017550159978481716,-1.4334659200509195e-05,0.00025334402544048253,0.0002642735003897954,0.0005142979267367861
