,alsk.us,amt.us,amx.us,atni.us,bce.us,bt.us,cbb.us,ccoi.us,cel.us,cha.us,chl.us,cht.us,chu.us,cmcsa.us,cnsl.us,ctl.us,dish.us,eght.us,ftr.us,gsat.us,idcc.us,idt.us,ipas.us,irdm.us,kt.us,lbtya.us,lbtyk.us,mbt.us,oran.us,orbc.us,phi.us,ptnr.us,rci.us,sbac.us,shen.us,sify.us,sjr.us,skm.us,spok.us,t.us,tds.us,tef.us,teo.us,ti.us,tkc.us,tlk.us,tmus.us,tsu.us,tu.us,usm.us,utsi.us,vg.us,viv.us,vod.us,vz.us,win.us
alsk.us,0.0007502424139174563,7.081140728748386e-05,5.9264708939574757e-05,0.00011775654607686702,2.341099787643866e-05,6.227947469879036e-05,8.665121538677174e-05,0.00010129317726635789,6.397704151099603e-05,5.809709557905309e-05,4.157834268398112e-05,1.4167118859156146e-05,4.639733574951427e-05,4.607878955614063e-05,8.254735844459705e-05,5.4928492041380364e-05,4.998348140841811e-05,0.0001359896800175037,9.457152443976711e-05,0.0001592022191018613,8.280713984016273e-05,0.00015568438792963306,6.960421587901314e-05,8.76007319067921e-05,3.735818870407756e-05,8.518343302982528e-05,8.563353489299682e-05,6.95522270000158e-05,6.470457556943635e-05,5.971973312148126e-05,3.0230382681385892e-05,9.440175696764996e-05,3.545944664183319e-05,7.37588508816259e-05,0.00012565932104134078,7.840358820551072e-05,5.437594103718815e-05,4.1654159179935676e-05,5.231232404077018e-05,1.007825583193632e-05,9.533321441205394e-05,7.715907285123314e-05,7.203344372494258e-05,6.320663374502856e-05,6.452949405008973e-05,4.6678741234159754e-05,0.00011237141450455144,8.175962847280777e-05,2.7339265100925767e-05,8.893694273124823e-05,6.176477872221136e-05,0.00010239549193476263,8.306813261887103e-05,5.064090620638367e-05,1.4121274404768062e-05,8.941335213909292e-05
amt.us,7.081140728748386e-05,0.00014682426511007033,4.8406821255594065e-05,5.680558712382264e-05,2.9257282880091528e-05,4.3866625459801616e-05,6.503968945056451e-05,5.576379030098596e-05,3.4260962567171654e-05,4.5085266562838574e-05,3.1798540090985e-05,7.050110885678328e-06,4.5721858986895744e-05,5.9439098904618185e-06,4.408585856787437e-05,3.5829010563030084e-05,1.3297537178405627e-05,9.675389767078134e-05,3.866478764177248e-05,7.395865590099148e-05,7.703242198575831e-05,7.844649326626063e-05,3.913405870117712e-05,5.497336697029574e-05,2.9918189658018403e-05,7.004188496380284e-05,6.672688228456234e-05,6.247655977791468e-05,4.75534895279404e-05,4.995865826913356e-05,1.8758411883907225e-05,3.5075209578667374e-05,4.03131949157679e-05,8.343353888590199e-05,7.320728532895231e-05,3.485329815193128e-05,3.788460752589423e-05,2.9526911249349915e-05,5.294249831862894e-05,1.6234468488102024e-06,6.62909019428643e-05,5.34038487002305e-05,5.612854300779906e-05,5.3987802758456195e-05,4.360083020794716e-05,3.78867091314032e-05,7.123449623231658e-05,4.8007029251041256e-05,3.2820902520211595e-05,5.9992334286086365e-05,5.30186552490277e-05,6.645756533088965e-05,4.73276901981227e-05,4.010116672543787e-05,2.382778611146971e-06,4.4460654776369366e-05
amx.us,5.9264708939574757e-05,4.8406821255594065e-05,0.00018684265451392588,5.9930399693407404e-05,2.7787312099357192e-05,4.846611699403732e-05,7.305798701172626e-05,5.419386277190774e-05,4.519096618600528e-05,5.268767448054031e-05,3.956175058165315e-05,7.3386790596382225e-06,4.932670784053434e-05,9.661929273378963e-06,3.952095365095522e-05,3.77018348437875e-05,1.5677854560617872e-05,8.770876061377377e-05,4.00293467596949e-05,6.325048342315957e-05,6.592116896578376e-05,7.604009618715469e-05,3.947001797110422e-05,6.850480000938486e-05,3.377555323906711e-05,5.460901934985957e-05,4.85538491191217e-05,7.345553664005162e-05,5.428786592292597e-05,5.770781172163632e-05,2.8282908370380516e-05,4.7248811470145784e-05,3.7326579069953854e-05,4.683566214086266e-05,9.237593978653468e-05,5.0820367763735804e-05,4.098608924124844e-05,2.8933589062924387e-05,5.037851076535613e-05,6.133328628634524e-06,7.824699190029296e-05,6.029382300819529e-05,7.18785189950305e-05,6.19704420900099e-05,5.222770266857795e-05,4.199743010080273e-05,8.346175818396679e-05,7.104206078926012e-05,2.8648731739657024e-05,6.885537012672456e-05,6.933256732139039e-05,7.273803166827424e-05,6.085151987553721e-05,4.12964398014248e-05,4.446944493635122e-06,4.1126261412682054e-05
atni.us,0.00011775654607686702,5.680558712382264e-05,5.9930399693407404e-05,0.00039361685056629254,3.88887277035888e-05,4.9941224080841354e-05,0.00011769286466829847,0.00010925758084754201,5.526827907804104e-05,5.014428445418599e-05,3.343069906715006e-05,2.8265282704623814e-07,4.573262141106463e-05,5.379728301854312e-06,9.605781887400013e-05,3.865128481445097e-05,-5.489704231599029e-06,0.0001125295586218825,6.341182749316884e-05,0.0001261190608220414,9.04901705200521e-05,0.00014414486344117727,7.759247297100525e-05,9.947524899125881e-05,3.2099833899829674e-05,6.97021188011694e-05,6.330564078115827e-05,5.6885545307710386e-05,7.251548657077287e-05,9.821510218637178e-05,3.293569489356203e-05,6.704510184131859e-05,4.668513962436816e-05,6.069023321528336e-05,0.000236635060217219,3.981092510743995e-05,5.1120205290166585e-05,2.3667754931902973e-05,0.0001166453727176171,-2.3509342289113243e-06,0.00010099896123558833,7.379378372507867e-05,5.480904523002303e-05,7.460707703716694e-05,5.917510967731078e-05,3.9177941430629336e-05,0.00011121430474796445,5.313322532636393e-05,3.693170100032052e-05,8.454763371296324e-05,5.327509159442728e-05,0.00011702412852567737,4.966281049693406e-05,4.654420168579321e-05,2.676863762394358e-06,5.710117743408207e-05
bce.us,2.341099787643866e-05,2.9257282880091528e-05,2.7787312099357192e-05,3.88887277035888e-05,6.465241511449964e-05,2.3225890684357986e-05,4.111584972089663e-05,3.0694813579854685e-05,2.334390679021772e-05,2.5001577362615572e-05,1.7912629354595295e-05,1.9931959339218033e-06,2.3206200578427946e-05,-1.582078257694851e-08,2.920249586980344e-05,2.327440142782669e-05,5.940905759674761e-06,4.291641540048728e-05,3.0760882614582315e-05,3.9301440092906354e-05,3.6976596001226175e-05,4.671887099488e-05,1.0780922234741294e-05,2.6636433831760674e-05,1.4782966416395812e-05,2.8782101982056683e-05,2.5994244337522063e-05,3.245121729312701e-05,2.988314490923357e-05,2.9861290992338296e-05,1.4565606222499314e-05,1.7384443901681927e-05,4.77240311284472e-05,2.5421856478096635e-05,5.49063465867293e-05,3.12242913661753e-05,3.7287291768355086e-05,1.4212210287094633e-05,3.0468486243836106e-05,2.7002457697936825e-06,3.662180822417848e-05,3.3203453990158964e-05,2.965893211354007e-05,3.243868724250779e-05,2.1591192097909632e-05,1.86251203096199e-05,2.2541313799227207e-05,3.189278335327534e-05,4.671107480983134e-05,3.442011570921327e-05,3.055385581899369e-05,3.4837958039056804e-05,2.8680962102683166e-05,2.2293202145130745e-05,3.3002291323088947e-06,2.5261498532796426e-05
bt.us,6.227947469879036e-05,4.3866625459801616e-05,4.846611699403732e-05,4.9941224080841354e-05,2.3225890684357986e-05,7.909889700210315e-05,5.440703166097436e-05,5.5782629221965e-05,4.009806736427483e-05,4.538293562591971e-05,2.9287390828679013e-05,9.161510593127763e-06,4.160564560026333e-05,1.856428542721268e-05,3.616544583273059e-05,3.189664754657261e-05,2.3517929790408415e-05,7.875537725653455e-05,3.8427846106083705e-05,8.13354511748835e-05,6.50287262199259e-05,7.540107782087517e-05,3.5772555272973905e-05,4.831981842766855e-05,3.14724719481699e-05,5.56416019071092e-05,5.446868521411363e-05,5.5272334919669616e-05,6.086794829081229e-05,5.216151638622785e-05,2.1868426258442464e-05,3.758024347220488e-05,3.2119771687109465e-05,4.435263632584874e-05,7.612311618550237e-05,3.8214074903353224e-05,3.753643297523909e-05,2.9038693473261497e-05,4.8501506043062206e-05,9.355848049400561e-06,5.913988528464225e-05,6.324408279785915e-05,5.400975875685111e-05,6.596288778790096e-05,4.128309594043692e-05,3.501996559046229e-05,7.399797065768376e-05,4.8845485599794456e-05,2.7728145901848894e-05,4.985027793632896e-05,5.637944863783652e-05,6.750273829108218e-05,4.8315855664970594e-05,4.721722515459033e-05,7.173777126841904e-06,4.4425072737831914e-05
cbb.us,8.665121538677174e-05,6.503968945056451e-05,7.305798701172626e-05,0.00011769286466829847,4.111584972089663e-05,5.440703166097436e-05,0.0005085765959753197,9.974736082033453e-05,5.673258048054963e-05,6.24302291765308e-05,4.29606167939227e-05,3.4128810664705574e-06,5.481824588431994e-05,-5.583219577046909e-06,0.0001024084452154282,6.087073034225523e-05,1.6057170021895653e-05,0.00015890307691898494,7.222577539095922e-05,0.00023065070766042437,0.00010549281140728853,0.00014189989049452184,2.895132803898763e-05,0.00012673024162897733,4.692629264192996e-05,6.401642257572656e-05,6.133753311825379e-05,6.802551319280277e-05,7.184001418548704e-05,9.944618349724698e-05,4.3025301103397365e-05,6.484248274174545e-05,4.8673299149601676e-05,6.393382893860744e-05,0.00020724538599153767,9.497332515702163e-05,4.77482283942632e-05,2.854510111416124e-05,0.00011965503698561102,8.091588234151574e-07,0.00010833737380373793,7.609666644948468e-05,6.317334439008519e-05,7.691598274176094e-05,6.369401375462796e-05,4.292149302803474e-05,9.11048262622548e-05,6.637310982181341e-05,3.9248037894305845e-05,9.030083419597793e-05,4.864888851748328e-05,0.0001460269796691252,5.820309299295101e-05,4.794883396993269e-05,4.640955525207456e-06,7.32469488467861e-05
ccoi.us,0.00010129317726635789,5.576379030098596e-05,5.419386277190774e-05,0.00010925758084754201,3.0694813579854685e-05,5.5782629221965e-05,9.974736082033453e-05,0.0003818068489712841,5.250864422260447e-05,5.878397859870196e-05,3.988213567592249e-05,6.0637500176049905e-06,5.4194005974961075e-05,1.2075340894391656e-05,7.637886758961568e-05,3.1227892877978426e-05,9.249782490790056e-06,0.00015291620129556286,4.206354934421632e-05,8.956167935485791e-05,0.00011361770880832491,0.000132188217049227,7.583447082995378e-05,9.891024445429651e-05,3.093831571362193e-05,7.77730954572137e-05,7.349030495708228e-05,6.431477175977041e-05,6.75347507328672e-05,0.00010047529296740242,3.434600926805546e-05,6.185247830180936e-05,3.8292544530213446e-05,5.7012477913896665e-05,0.00015352454129599142,0.0001227455309705558,4.7842976638042716e-05,3.611102297754656e-05,8.506622652849113e-05,4.367755450974741e-06,8.751736537075814e-05,6.601449526266003e-05,5.724714796698738e-05,6.194686645495247e-05,5.042465820013936e-05,3.933602251945799e-05,9.376838657612735e-05,7.853264374010448e-05,3.460737026673467e-05,7.434983491234843e-05,0.00011339764810581192,0.0001284870949248723,6.0855699563288035e-05,4.5370761013038266e-05,4.629170726281412e-06,6.015816988980247e-05
cel.us,6.397704151099603e-05,3.4260962567171654e-05,4.519096618600528e-05,5.526827907804104e-05,2.334390679021772e-05,4.009806736427483e-05,5.673258048054963e-05,5.250864422260447e-05,0.00019736688751055098,3.86192876590811e-05,2.7448927514507058e-05,5.976098471076755e-06,3.813246100948056e-05,5.359497097588038e-06,4.2941629227110135e-05,2.8353506658167892e-05,5.991312516714173e-06,7.257878313735527e-05,4.518325129640264e-05,6.0453893818546424e-05,5.591867248761033e-05,6.051686330051385e-05,5.023529671144877e-05,5.2937402919194663e-05,2.3890522553041904e-05,4.490314511037328e-05,4.458655343587264e-05,4.940319705603055e-05,4.661244555683277e-05,5.6491501833343725e-05,2.113975444723596e-05,0.00011133156488098289,3.0273677076040328e-05,3.771005436265314e-05,8.864427872397477e-05,4.7443752421378295e-05,2.842500598277346e-05,2.5631151596386715e-05,4.747254410195673e-05,6.3915352402359525e-06,5.382017651961381e-05,4.934222695066123e-05,5.243289202340826e-05,4.7203022485445704e-05,3.287815400167828e-05,2.9430284738778794e-05,7.874281458814562e-05,5.8587414309221296e-05,2.9922222149517578e-05,4.6929252218695335e-05,3.545146956216737e-05,6.543228872038203e-05,4.7865974701160715e-05,2.9921394018922362e-05,8.063117177002834e-06,3.9265745980185675e-05
cha.us,5.809709557905309e-05,4.5085266562838574e-05,5.268767448054031e-05,5.014428445418599e-05,2.5001577362615572e-05,4.538293562591971e-05,6.24302291765308e-05,5.878397859870196e-05,3.86192876590811e-05,8.009088737062007e-05,3.801444740438462e-05,7.052731849793682e-06,5.4671256962486193e-05,1.002461623429188e-05,4.1228689984142384e-05,3.2411158432450636e-05,1.7380988086898417e-05,9.253657491218472e-05,3.970143674657602e-05,9.130622606021739e-05,6.570001441272061e-05,6.791217817997359e-05,3.530899970643617e-05,4.851283789338798e-05,3.246356267578514e-05,4.7297493574459134e-05,4.661644568032216e-05,5.811220503306639e-05,5.00770322241572e-05,5.0367662953445166e-05,2.432632624338351e-05,3.9735564575770545e-05,3.203145737016301e-05,4.3998211375362696e-05,8.280051914409793e-05,5.335689371192745e-05,3.494495756232352e-05,2.7335840430541815e-05,5.0324916776728495e-05,4.192703344666738e-06,6.0722642825678144e-05,5.603636543798328e-05,5.7728769101993335e-05,5.8678561719413696e-05,4.487476163273708e-05,3.8967408228894876e-05,6.0060409281561344e-05,5.674951761628252e-05,2.6879588107144443e-05,5.2741125417045295e-05,5.570368970689087e-05,7.207070462322829e-05,5.323033495188055e-05,3.7966831817111e-05,3.341044689175423e-06,4.275205062908737e-05
