,alsk.us,amt.us,amx.us,atni.us,bce.us,bt.us,cbb.us,ccoi.us,cel.us,cha.us,chl.us,cht.us,chu.us,cmcsa.us,cnsl.us,ctl.us,dish.us,eght.us,ftr.us,gsat.us,idcc.us,idt.us,ipas.us,irdm.us,kt.us,lbtya.us,lbtyk.us,mbt.us,oran.us,orbc.us,phi.us,ptnr.us,rci.us,sbac.us,shen.us,sify.us,sjr.us,skm.us,spok.us,t.us,tds.us,tef.us,teo.us,ti.us,tkc.us,tlk.us,tmus.us,tsu.us,tu.us,usm.us,utsi.us,vg.us,viv.us,vod.us,vz.us,win.us
chl.us,4.157834268398112e-05,3.1798540090985e-05,3.956175058165315e-05,3.343069906715006e-05,1.7912629354595295e-05,2.9287390828679013e-05,4.29606167939227e-05,3.988213567592249e-05,2.7448927514507058e-05,3.801444740438462e-05,4.5527501654592615e-05,4.671393113329005e-06,3.4974286980589365e-05,9.532890840236285e-06,2.8841281657891824e-05,2.211877166500977e-05,1.3252013367473862e-05,6.134051047987111e-05,2.7651838945082336e-05,5.35947909152524e-05,4.718584137285022e-05,4.3614440822052546e-05,2.941344333595043e-05,3.705639046295874e-05,1.873532757543748e-05,3.446411798322225e-05,3.3608529832473936e-05,4.24282515825234e-05,3.2546268453704975e-05,3.7360195858294835e-05,1.725989403328578e-05,2.7369839823957605e-05,2.284613886749752e-05,3.182159434519321e-05,5.625868280736778e-05,2.9103745709138223e-05,2.5996093433321298e-05,1.8000317385015303e-05,3.5238976502324555e-05,2.45518227989824e-06,4.150661311857915e-05,3.832120627805714e-05,3.547510941665134e-05,3.7241029051989165e-05,2.9219268956456704e-05,2.896047637910788e-05,4.572199754213617e-05,4.161077767459339e-05,2.0417654066756344e-05,3.856020933222817e-05,4.001956761489506e-05,4.5517421593662844e-05,3.479745080800012e-05,2.6839373509820412e-05,3.3317202471832773e-06,2.8200646979753613e-05
cht.us,1.4167118859156146e-05,7.050110885678328e-06,7.3386790596382225e-06,2.8265282704623814e-07,1.9931959339218033e-06,9.161510593127763e-06,3.4128810664705574e-06,6.0637500176049905e-06,5.976098471076755e-06,7.052731849793682e-06,4.671393113329005e-06,4.113812671588899e-05,1.0523657889947544e-05,1.8834237406885142e-05,3.3743005585606957e-06,3.133712608631067e-06,2.2468640447107805e-05,-1.5550791216035255e-06,2.976562940263237e-06,1.274662120645477e-05,3.5274365781992812e-06,5.08379888717985e-06,1.5782768624868507e-05,7.127207259347751e-06,8.971127168484777e-06,1.1513815648188931e-05,1.0899792013959139e-05,9.643354227794524e-06,6.553533837045213e-06,-9.146725017369447e-06,2.351941254517854e-06,4.631961948298047e-06,3.2485817905333266e-06,7.988724428412767e-06,9.697863662933054e-09,1.371707826504849e-05,6.029123423814091e-06,7.530680981198464e-06,1.9385007914039163e-06,1.4081575222820529e-05,2.9009705893196615e-06,6.729455370644782e-06,9.75216517397034e-06,6.8241844441374384e-06,9.388256998030801e-06,8.311152205243533e-06,3.4603127809510297e-07,1.2667592347347122e-06,-7.011354812317512e-07,2.646232355748515e-06,1.9321924569332936e-05,6.460480130889929e-06,8.237900521057252e-06,5.013792317951479e-06,1.554370505538496e-05,6.555199280499852e-06
chu.us,4.639733574951427e-05,4.5721858986895744e-05,4.932670784053434e-05,4.573262141106463e-05,2.3206200578427946e-05,4.160564560026333e-05,5.481824588431994e-05,5.4194005974961075e-05,3.813246100948056e-05,5.4671256962486193e-05,3.4974286980589365e-05,1.0523657889947544e-05,9.567398807677994e-05,9.67325037493542e-06,3.800536190674331e-05,3.1750083078865835e-05,1.9886281756240076e-05,8.598945468981227e-05,3.358479812440261e-05,6.386997730730962e-05,6.658310519505695e-05,6.549949683622132e-05,3.536504204896473e-05,4.736241481594511e-05,2.7400309051061867e-05,4.597991316066755e-05,4.5402081528383664e-05,5.9449919522198455e-05,4.571737964228951e-05,4.459366524280107e-05,1.779536326974009e-05,3.476150977048418e-05,3.1324558000913854e-05,4.040081353378192e-05,6.517236739314326e-05,4.273231106882216e-05,3.487384205067157e-05,2.8020646207810646e-05,4.718924387362721e-05,5.3782083132636665e-06,5.1625121206229536e-05,5.193971048729603e-05,4.832275220122363e-05,5.439158963881534e-05,4.153231890365256e-05,3.751663861468297e-05,5.70107982534585e-05,5.3547804223098057e-05,2.9392675854304765e-05,4.7811433011566334e-05,4.779868932754808e-05,5.940307671175322e-05,5.163560003876536e-05,3.388323868769134e-05,4.819877027252393e-06,3.8020989412254646e-05
cmcsa.us,4.607878955614063e-05,5.9439098904618185e-06,9.661929273378963e-06,5.379728301854312e-06,-1.582078257694851e-08,1.856428542721268e-05,-5.583219577046909e-06,1.2075340894391656e-05,5.359497097588038e-06,1.002461623429188e-05,9.532890840236285e-06,1.8834237406885142e-05,9.67325037493542e-06,0.00015259352803951093,5.186166712560274e-06,4.518905267695046e-06,9.372418512117163e-05,2.3310490085227177e-06,7.363864700543498e-06,4.4143023189781476e-05,1.6691208233633458e-05,1.1806061582707602e-05,3.3303590154443586e-05,4.665594069702314e-06,1.2177876051828095e-05,2.9970114583691964e-05,3.1100080077747205e-05,1.8419551665629652e-05,1.1507710849572903e-05,2.4054303848456607e-06,2.5419749854595948e-06,3.685609488831994e-06,4.37783594291192e-06,1.6516371000114672e-05,-1.813691072793832e-05,2.4847339322684562e-05,1.2237120881776362e-05,9.293077030504717e-06,2.4283854258726124e-06,3.564474126815209e-05,1.1284954125769228e-05,1.5090215137322519e-05,1.8255160940412314e-05,1.755488554149921e-05,1.0752254037464114e-05,9.491303909407696e-06,1.1962181976438826e-05,4.756820541623041e-06,1.3190759198831354e-06,1.241129759654802e-05,4.271636573608652e-05,1.5667475868290442e-05,1.0473252931600738e-05,1.2907673859329514e-05,3.4591472158738175e-05,1.1874260443085603e-05
cnsl.us,8.254735844459705e-05,4.408585856787437e-05,3.952095365095522e-05,9.605781887400013e-05,2.920249586980344e-05,3.616544583273059e-05,0.0001024084452154282,7.637886758961568e-05,4.2941629227110135e-05,4.1228689984142384e-05,2.8841281657891824e-05,3.3743005585606957e-06,3.800536190674331e-05,5.186166712560274e-06,0.00017212748199659772,4.2332065922466535e-05,9.73262740480418e-06,0.00011062444761256663,6.253924957840276e-05,0.00010885697594994109,7.722918566548775e-05,8.865422049182442e-05,4.140746320904108e-05,8.992132234078438e-05,2.3581324544048394e-05,5.406490792362021e-05,5.5111375811216756e-05,3.755953898793698e-05,4.5113291198388556e-05,7.124918072055065e-05,2.3692314202917302e-05,4.8940622874984625e-05,3.121971313000491e-05,4.057894578776078e-05,0.0001627369879672968,7.025134320386056e-05,3.484303682949806e-05,2.5241802743983734e-05,8.610796827270502e-05,2.282325069977838e-06,7.277051813320349e-05,4.663832758694915e-05,5.706279394291992e-05,4.988381744224016e-05,3.457922503920037e-05,3.2069647556877804e-05,7.216683606331287e-05,5.116260575744733e-05,3.212230999776434e-05,6.853843850255397e-05,4.715990938384551e-05,9.356110656797914e-05,4.6294899910083505e-05,3.388614574030469e-05,6.031893741092771e-06,5.948585091695294e-05
ctl.us,5.4928492041380364e-05,3.5829010563030084e-05,3.77018348437875e-05,3.865128481445097e-05,2.327440142782669e-05,3.189664754657261e-05,6.087073034225523e-05,3.1227892877978426e-05,2.8353506658167892e-05,3.2411158432450636e-05,2.211877166500977e-05,3.133712608631067e-06,3.1750083078865835e-05,4.518905267695046e-06,4.2332065922466535e-05,0.000105404695900169,1.2204880745239803e-05,5.3664765612558336e-05,6.503927365682336e-05,2.988316382261855e-05,4.7655240344830914e-05,5.628192441861866e-05,4.287680785235826e-06,3.702228201832562e-05,1.9901045982697638e-05,3.7781434905692124e-05,3.933833107267946e-05,3.1965580122348566e-05,3.407260846755438e-05,4.548723892535805e-05,2.118570377221471e-05,2.5113991879108007e-05,2.935366253375108e-05,3.2131683813171615e-05,6.246345793821347e-05,3.81391680521433e-05,3.040223716273379e-05,1.9479080859459212e-05,4.0489639900923785e-05,9.805427000057644e-06,4.498337147236344e-05,3.8260667832200534e-05,3.574163826099206e-05,4.210132574741764e-05,2.8400746914076408e-05,2.7251068673700438e-05,4.539859715914542e-05,3.8902616967143344e-05,2.623271819799037e-05,3.8559050083700474e-05,2.682621682226823e-05,3.6160772535693876e-05,3.777858079492701e-05,2.991639406530134e-05,8.010504987036624e-06,6.72196290297909e-05
dish.us,4.998348140841811e-05,1.3297537178405627e-05,1.5677854560617872e-05,-5.489704231599029e-06,5.940905759674761e-06,2.3517929790408415e-05,1.6057170021895653e-05,9.249782490790056e-06,5.991312516714173e-06,1.7380988086898417e-05,1.3252013367473862e-05,2.2468640447107805e-05,1.9886281756240076e-05,9.372418512117163e-05,9.73262740480418e-06,1.2204880745239803e-05,0.0003076538961346184,2.3874445355810924e-05,2.6838041885827038e-05,2.6612523953617067e-05,2.096478059225817e-05,1.1290572388956723e-05,3.569367247117048e-05,2.120987690313582e-05,1.8804921707007638e-05,3.803831851589651e-05,3.7736288399259815e-05,2.930347855228044e-05,1.0723020444853235e-05,8.104006165763257e-06,4.941723289245077e-06,-1.1402536718889624e-06,9.814078653856692e-06,3.0206916832007488e-05,-1.634001439736675e-05,1.1459785359736391e-05,1.76527349459365e-05,1.4720355726556985e-05,1.2603993403178753e-05,2.990524278894336e-05,1.4712193336671443e-05,1.55542111288438e-05,2.0869637973900782e-05,1.898011012431881e-05,1.6372422654151805e-05,8.104719130489994e-06,4.128924220263561e-05,1.0821201342590778e-05,5.7300420059381246e-06,1.997724125462751e-05,7.471954274975969e-05,3.055585503069026e-05,2.6326104271099332e-05,1.4335636063054524e-05,3.1417071723124226e-05,1.58296800804248e-05
eght.us,0.0001359896800175037,9.675389767078134e-05,8.770876061377377e-05,0.0001125295586218825,4.291641540048728e-05,7.875537725653455e-05,0.00015890307691898494,0.00015291620129556286,7.257878313735527e-05,9.253657491218472e-05,6.134051047987111e-05,-1.5550791216035255e-06,8.598945468981227e-05,2.3310490085227177e-06,0.00011062444761256663,5.3664765612558336e-05,2.3874445355810924e-05,0.0009725352095426213,8.830191917143037e-05,0.00023044794117474748,0.00020566753252667988,0.00018809335373621552,9.629421286217393e-05,0.00013823525061940382,4.3706562428728025e-05,0.00010868517539200594,0.0001012971540030805,9.464782488419536e-05,9.02816694852182e-05,0.0001519124973871659,4.052399106820861e-05,7.67489283762291e-05,6.263468639168416e-05,8.828949693415261e-05,0.0002185655371149682,0.00013326087168733005,5.6184435486017564e-05,5.73188129254643e-05,0.00014622847932625323,-9.317546489936889e-07,0.00013262903267986215,0.0001060509358607315,0.00011764155902166732,0.00010608753020932324,6.868471150334614e-05,6.403007560876202e-05,0.00016198639548602005,0.0001002252468130035,4.920680639829347e-05,0.00012334048004131754,0.00013328140705296267,0.00026996924157282647,8.64453505239699e-05,7.158412859018018e-05,-1.3621769718620876e-05,7.609311216451798e-05
ftr.us,9.457152443976711e-05,3.866478764177248e-05,4.00293467596949e-05,6.341182749316884e-05,3.0760882614582315e-05,3.8427846106083705e-05,7.222577539095922e-05,4.206354934421632e-05,4.518325129640264e-05,3.970143674657602e-05,2.7651838945082336e-05,2.976562940263237e-06,3.358479812440261e-05,7.363864700543498e-06,6.253924957840276e-05,6.503927365682336e-05,2.6838041885827038e-05,8.830191917143037e-05,0.0002955089996565475,9.651597312589286e-05,6.5057815735813e-05,0.00011480839240007596,4.253204814649871e-05,5.135872815924999e-05,2.447705811041809e-05,2.9868675565060608e-05,2.9964583376925173e-05,4.168518440709154e-05,4.563251972612678e-05,4.410719365361313e-05,1.8341177991201682e-05,4.6898060607013485e-05,3.624732224898065e-05,3.070456288032887e-05,9.04222386889343e-05,7.927387892691227e-05,3.7318604700032666e-05,2.25344217874072e-05,5.0812143860864804e-05,4.0145924746956166e-06,6.78225047547596e-05,4.840741687308727e-05,5.321994226950794e-05,4.691014931700376e-05,3.5020412506238965e-05,3.892827564950515e-05,6.326534818881869e-05,4.1868386128113024e-05,2.8759912807009385e-05,6.365684936883242e-05,4.853846906937154e-05,7.679437319821374e-05,5.1270883144089545e-05,3.5114231282418e-05,6.924320886919133e-06,8.338402501238348e-05
gsat.us,0.0001592022191018613,7.395865590099148e-05,6.325048342315957e-05,0.0001261190608220414,3.9301440092906354e-05,8.13354511748835e-05,0.00023065070766042437,8.956167935485791e-05,6.0453893818546424e-05,9.130622606021739e-05,5.35947909152524e-05,1.274662120645477e-05,6.386997730730962e-05,4.4143023189781476e-05,0.00010885697594994109,2.988316382261855e-05,2.6612523953617067e-05,0.00023044794117474748,9.651597312589286e-05,0.002654729268918375,0.0001401672963618583,0.00020310789543836701,0.00016156149939021948,0.0001913087084671327,7.879781506208114e-05,0.00010305148366685822,9.111502697529652e-05,5.389748065593957e-05,8.379618117682919e-05,0.00012970233373590736,4.8480035881534936e-05,8.466504659550133e-05,4.508776864662317e-05,6.134816892389433e-05,0.000247283961936153,5.7633027293846696e-05,5.472824245506575e-05,4.938281853245605e-05,0.0001348222369533056,4.828727435105924e-06,0.00012103321507213028,9.114846394823286e-05,4.959141244575905e-05,8.584473330807472e-05,8.133455762414508e-05,5.08374431429129e-05,0.00013899961762008032,0.0001324674100376425,3.356712832631487e-05,0.00010573049169534279,0.00019704643217076536,0.00021064242958980558,5.696237279987989e-05,5.877302859562693e-05,-1.0311688074247874e-05,5.1259778782339444e-05
idcc.us,8.280713984016273e-05,7.703242198575831e-05,6.592116896578376e-05,9.04901705200521e-05,3.6976596001226175e-05,6.50287262199259e-05,0.00010549281140728853,0.00011361770880832491,5.591867248761033e-05,6.570001441272061e-05,4.718584137285022e-05,3.5274365781992812e-06,6.658310519505695e-05,1.6691208233633458e-05,7.722918566548775e-05,4.7655240344830914e-05,2.096478059225817e-05,0.00020566753252667988,6.5057815735813e-05,0.0001401672963618583,0.0006449510414480731,0.00012865333195755387,0.00010437011616107932,0.00010500093042213812,4.103983024903912e-05,8.627548715973772e-05,8.659635920214262e-05,6.987610894712909e-05,7.4571202302093e-05,0.00011986756992126435,3.227692453458015e-05,6.140513074634155e-05,4.991424215468275e-05,7.034156902273478e-05,0.00014530047789561662,9.836702642179122e-05,6.13786970070977e-05,4.381967905572676e-05,0.00010341223862424968,2.6138379601336604e-06,9.419713761739482e-05,7.475231988018639e-05,0.00010905527570043064,7.925118700743076e-05,4.8164899791678776e-05,4.125173165781288e-05,9.394359716908555e-05,6.682849034079738e-05,5.026233553972935e-05,8.7201850467074e-05,0.00013954205456702764,0.0001569424654292023,6.84690218051103e-05,6.012813759699595e-05,1.5534661120555087e-06,6.99965371064516e-05
