,aee.us,aep.us,aes.us,ale.us,apu.us,artna.us,at.us,ato.us,ava.us,awk.us,awr.us,bip.us,bkh.us,cdzi.us,cig.us,cms.us,cnp.us,cpk.us,cpl.us,ctws.us,cwco.us,cwt.us,czz.us,d.us,dte.us,duk.us,ed.us,ee.us,eix.us,elp.us,es.us,etr.us,exc.us,fcel.us,fe.us,he.us,ida.us,kep.us,lnt.us,mgee.us,msex.us,nee.us,ngg.us,ni.us,njr.us,nrg.us,nwe.us,nwn.us,oge.us,ora.us,ottr.us,pam.us,pcg.us,peg.us,pnm.us,pnw.us,por.us,ppl.us,sbs.us,sji.us,sjw.us,so.us,sph.us,sr.us,sre.us,swx.us,tac.us,tgs.us,ugi.us,utl.us,wec.us,wtr.us,xel.us,yorw.us
awr.us,1.0632878407307357e-05,7.840839136001648e-06,1.4907670092381436e-05,7.227841466123798e-05,3.8607454858029603e-05,7.00682234578095e-05,7.137457862938502e-05,6.968508067366829e-05,6.848591259765171e-05,6.806915836805946e-05,0.0001889343180910677,4.162438141676095e-05,8.559066947990517e-05,0.0001090551731092001,5.093308108061191e-05,5.111316717176972e-05,5.951448460346994e-05,8.588564872208375e-05,4.5233476638478475e-05,9.852272590883185e-05,0.00010717584656993284,0.00011612845349361713,6.28135763379814e-05,6.122014830952275e-06,6.670665137038758e-06,5.257671026847752e-06,6.498790751668516e-06,6.793968778841543e-05,-5.802784191135376e-06,4.94163629513646e-05,5.27346699630906e-05,6.755216866382292e-06,4.224045228502856e-06,0.00012545619603457873,7.396909563543784e-07,6.0388454767899674e-05,7.3682978190522e-05,3.80852381488843e-05,5.5945865840905186e-05,8.343888378604799e-05,9.111226473556587e-05,4.4637604133823154e-05,3.230858463505651e-05,1.059695276710297e-05,8.814328807797888e-05,5.797340963478025e-05,7.453374716859223e-05,7.953111386399563e-05,6.54310206674937e-05,8.312273414702252e-05,9.042860879781965e-05,4.74413693601744e-05,0.00011914704785320817,5.6088894475932646e-06,7.632558964417164e-05,1.09067088476927e-05,6.066223690981503e-05,5.909063126546723e-06,7.20616773274431e-05,8.576005706821915e-05,0.00011780701590378829,6.510573697242873e-06,3.167445191759116e-05,8.279279664683802e-05,2.6168490308308155e-06,8.624853214664858e-05,4.210097396219197e-05,2.130297932961162e-05,6.525222846377488e-05,7.200444374396644e-05,9.014473373678245e-06,9.138349850238967e-05,6.828019789798123e-06,9.182884279152173e-05
bip.us,9.48350046643273e-06,6.337557690484171e-06,1.9417352623157145e-05,3.1164124393870125e-05,2.657576455134014e-05,1.8444483224644992e-05,4.5157536609032364e-05,3.639349255674709e-05,3.184022809970849e-05,3.4227225166780704e-05,4.162438141676095e-05,0.00012723223149469854,4.037697332686332e-05,3.076864853239653e-05,3.8152870979591343e-05,3.3043912789555314e-05,3.710876225220723e-05,3.472433923410326e-05,3.3506939868717624e-05,3.2078612053801684e-05,4.124422855716411e-05,3.488985812118744e-05,4.991955580938885e-05,9.861067026398698e-06,1.0553271589306742e-05,9.070545102889159e-06,7.912787764135638e-06,3.058084712955656e-05,1.7122831360593738e-06,3.680430707257721e-05,3.259247383211779e-05,7.6182828191411005e-06,9.142836068583812e-06,7.212382189428275e-05,1.0568870255092899e-05,3.1923229853611776e-05,3.619452078090167e-05,3.236163030054884e-05,3.624286167313973e-05,3.262571570982162e-05,2.6170322616180652e-05,2.5673809570162078e-05,2.698422346392573e-05,1.4283153696415453e-05,3.552698209756807e-05,4.3209733902001304e-05,3.516677787173415e-05,3.103463998925351e-05,4.033788484581749e-05,4.782606272607413e-05,3.814146252459141e-05,2.0222220328970665e-05,-5.840672216331968e-06,9.256726069696829e-06,4.138621986273299e-05,1.2208803879557297e-05,3.3783300436515094e-05,8.052066580779652e-06,4.040396680860605e-05,3.6603913558124516e-05,3.428272920984172e-05,8.30658753697206e-06,2.0888333542705656e-05,3.5681725427381034e-05,9.12628840337177e-06,3.836812395043175e-05,3.28477795051142e-05,2.5627456985104892e-05,3.775446971781142e-05,2.5348684522198187e-05,1.286161958276036e-05,3.576223288929884e-05,9.244825269062125e-06,2.345006242829798e-05
bkh.us,1.256690687829447e-05,1.0951250768064968e-05,1.912342981135208e-05,7.315570820169309e-05,4.05734165007964e-05,5.1794482925911445e-05,6.240506909155494e-05,7.227343570261784e-05,8.07970709318004e-05,5.445229827375075e-05,8.559066947990517e-05,4.037697332686332e-05,0.00014363758389686823,8.606564910195892e-05,5.273878651741426e-05,6.787705966529811e-05,7.238047723015528e-05,7.418856067735357e-05,4.908248528734334e-05,7.422516026918902e-05,7.959040443068483e-05,7.726232891437415e-05,6.28592105661985e-05,9.464131350426786e-06,1.164602291194515e-05,7.383467322428771e-06,7.866991466798204e-06,6.890016064999989e-05,5.970594546744569e-06,5.238426026384797e-05,6.535854330203336e-05,1.2648215863605433e-05,8.330742788123777e-06,0.00011019909946187344,6.105682346422521e-07,7.298033671563107e-05,8.127498898655508e-05,4.576315277900114e-05,6.978856626833241e-05,7.9880146940872e-05,6.929881730873821e-05,5.459873100200729e-05,3.725919386540417e-05,1.4910881330871777e-05,8.114220035462619e-05,8.047154384929091e-05,8.048512075560423e-05,7.356233859404561e-05,7.776922014345862e-05,8.41881772559944e-05,8.194503947642348e-05,3.984509831771133e-05,-8.855469472772143e-06,8.954836398896439e-06,8.743815768753058e-05,1.450875811974827e-05,7.270786222035461e-05,7.457808056145461e-06,6.312774534171862e-05,7.910636469361972e-05,8.87818379480888e-05,7.587902560102372e-06,3.234632159327239e-05,7.395259057487347e-05,7.24240968075568e-06,7.904844674064505e-05,4.382709802232844e-05,3.3938891391333006e-05,7.248222386371904e-05,7.071239611351137e-05,1.1625610245869688e-05,7.30762730171993e-05,1.064921857268867e-05,6.963279426667957e-05
cdzi.us,4.5780143816000697e-07,-2.9156919619581686e-06,-1.692704454467211e-05,7.995060811039192e-05,6.067266734740258e-05,0.00010622021862104361,8.540154185971295e-05,7.056516329170569e-05,7.852821898864355e-05,4.718101653571991e-05,0.0001090551731092001,3.076864853239653e-05,8.606564910195892e-05,0.001097723771331261,8.400236565374216e-05,5.118208528153118e-05,5.228007975520402e-05,0.00010515009033083525,5.1026180204451264e-05,0.00014160862312993124,0.00015924328838523103,0.00010226738500238368,8.012576734945197e-05,-8.216480982156892e-06,-6.257143536188116e-06,-7.082774893907183e-06,1.4804213580678427e-06,5.571705492346987e-05,-4.682838680203978e-05,6.355526327217905e-05,4.8637076060775315e-05,-1.3435178244493698e-06,-9.078281493191705e-06,0.00022491147892428042,-4.957042008227185e-06,6.254292546948462e-05,8.674826809157883e-05,6.267311470626233e-05,5.404130645104855e-05,9.787558245938524e-05,0.00012255747436352727,5.195812811755084e-05,4.144327626786038e-05,-1.0083421081633276e-05,8.511472117761533e-05,8.323025121294324e-05,8.962737410389653e-05,7.769442458444012e-05,6.897224408731978e-05,0.00010865821627092217,0.00011240653904799898,3.144547124501253e-05,-0.0011225776495766722,-1.0068387500256539e-06,7.37895988369689e-05,-2.4443560231537412e-06,6.894625857674893e-05,-1.1360940022855315e-05,5.726685107676952e-05,9.735698941817147e-05,0.00015313872488235736,9.378872630267239e-06,3.791691403626989e-05,9.10697494529665e-05,-1.3905505836582966e-05,9.283788810238141e-05,6.13841856890055e-05,2.94727152756961e-05,6.970050122868632e-05,0.00010085699180777732,1.0131932645620367e-06,6.903968009102804e-05,7.599102790276771e-06,0.0001304771704337357
cig.us,7.806101011431068e-07,-2.1273573129816615e-06,6.46149657229512e-06,4.303805862193144e-05,3.233314460043449e-05,2.7801112589978082e-05,4.9945924151479935e-05,4.502933343523473e-05,4.561642214653689e-05,3.751673460465729e-05,5.093308108061191e-05,3.8152870979591343e-05,5.273878651741426e-05,8.400236565374216e-05,0.00027808201512788817,4.41262247982766e-05,3.856750056608114e-05,5.357801596597441e-05,0.00012441203779201584,5.255362854690592e-05,5.7916299280458535e-05,4.877378290874935e-05,0.00011580908271486743,9.324299503321355e-07,4.692826178879191e-06,9.222401446054939e-07,3.240325818873733e-06,4.372334974384253e-05,-1.0537494372323981e-06,0.00014867828656373155,4.5816828404163764e-05,2.644510152062513e-06,8.877260923057215e-06,0.00010486086942570281,-1.227190582077743e-06,4.1814951579741256e-05,5.439290165715131e-05,5.3216857657559616e-05,4.443996566094831e-05,5.06640587440422e-05,5.037018593104128e-05,3.766007673787808e-05,3.29448339665026e-05,8.04175720241217e-06,4.8181783886345685e-05,5.15848135330412e-05,4.939002014078226e-05,4.2102889858912235e-05,5.045565626429072e-05,5.3381556590548366e-05,5.8434788858058354e-05,5.540188003646105e-05,-0.0003327639544292328,2.8019926813111845e-07,5.884563111890686e-05,3.719396083577448e-06,4.3825336150783236e-05,5.524040719565553e-06,0.00011243293421812868,5.295133992240905e-05,5.10684428048081e-05,2.768631682648533e-06,2.790624614850676e-05,4.245124629986496e-05,2.3834196716202583e-06,5.332439530075526e-05,4.680027956816028e-05,2.766211269683159e-05,4.4321840928329925e-05,4.097602160373704e-05,1.748626731967069e-06,4.593649481898396e-05,4.271725103820945e-06,4.519761216651136e-05
cms.us,9.39078281849784e-06,7.895342700079984e-06,1.4740586835065389e-05,5.549183379464496e-05,3.101507253792659e-05,2.8753328033234264e-05,3.5769408529672286e-05,5.692152341855755e-05,6.148658347819633e-05,4.9702879937045394e-05,5.111316717176972e-05,3.3043912789555314e-05,6.787705966529811e-05,5.118208528153118e-05,4.41262247982766e-05,9.071301034792069e-05,6.192583716606542e-05,5.132784231543985e-05,3.7149361253996274e-05,4.0095367320926464e-05,4.300634180196491e-05,5.0526088960603834e-05,4.59966782757201e-05,1.2274416143415969e-05,1.1720274272158077e-05,7.910242042207114e-06,8.210940909457702e-06,5.642434008373461e-05,1.5721843747556256e-06,4.36770693058826e-05,6.17648559302073e-05,1.102722960125025e-05,7.193875803730543e-06,5.842218396258669e-05,5.71162383185153e-06,5.762292542491021e-05,6.400477597313101e-05,3.709389131996212e-05,6.159779401179467e-05,5.784016709092472e-05,4.424876977427704e-05,5.212763910398401e-05,3.1296836516104636e-05,1.1702783625926419e-05,6.06243062616905e-05,6.57644082097454e-05,6.204368429905717e-05,4.919269530442095e-05,6.067494793430472e-05,5.498808721401967e-05,5.6721083540648304e-05,3.12369422631848e-05,0.00011579990384937137,1.0354885183596979e-05,6.48901370137805e-05,1.2793086933215685e-05,5.899869957707487e-05,5.9211096169002055e-06,4.035689567082304e-05,5.9337169398167116e-05,4.852761069681288e-05,8.433327201754556e-06,2.629220181910117e-05,5.264386910253361e-05,7.59230727501288e-06,5.892031628209158e-05,3.5300408464155224e-05,1.7715736730895347e-05,5.584547775285671e-05,4.6961946978015365e-05,8.424473687525825e-06,5.497683165664058e-05,7.475045889955631e-06,3.83526356258768e-05
cnp.us,7.401664423411311e-06,3.838851365263954e-06,1.8220999472403313e-05,5.478719320455621e-05,3.916481171473505e-05,3.0246583891204943e-05,5.218271792855651e-05,5.96687889441147e-05,6.204906273170532e-05,5.009215016042785e-05,5.951448460346994e-05,3.710876225220723e-05,7.238047723015528e-05,5.228007975520402e-05,3.856750056608114e-05,6.192583716606542e-05,0.00011199922901813102,5.210350208488764e-05,4.265455807866408e-05,4.5411916457608725e-05,5.546474163905492e-05,5.92729989347128e-05,6.096412305118465e-05,9.088591898109673e-06,6.709308160072463e-06,4.2582243867466395e-06,4.679627118464307e-06,5.63317917317633e-05,1.1087462512600358e-05,4.434214577478716e-05,5.9011915977714726e-05,6.137149674731233e-06,8.055135944517252e-06,7.79091780548213e-05,1.466679249169474e-06,5.57741289777892e-05,6.167942608185437e-05,3.6070187796796335e-05,5.9581736602813844e-05,5.765925007800037e-05,4.7155853407006594e-05,5.014412316027631e-05,3.4470565682023197e-05,1.0935461418901137e-05,6.145369391156071e-05,7.046383229505858e-05,5.701384459716693e-05,5.113062061654481e-05,7.002589599627248e-05,6.723971508876852e-05,5.953325076786603e-05,3.4964266113219676e-05,3.9919242189058205e-05,7.302999036617703e-06,7.015689396914004e-05,8.57406252600852e-06,5.776674948721453e-05,3.9903166389290335e-06,5.466333754351038e-05,5.826020448613831e-05,5.637230523324666e-05,4.675480264184363e-06,2.7511567567736253e-05,5.497633679927498e-05,4.684175786504577e-06,6.238322914886822e-05,4.1677449113499294e-05,2.3719608681207292e-05,5.832777815552708e-05,4.499079538928064e-05,5.104649289429783e-06,6.090917795924593e-05,2.380983965069385e-06,4.030569524825506e-05
cpk.us,1.4010040950475786e-06,5.0144719015530657e-08,2.4675214943942213e-07,6.36314048729103e-05,4.05540961698996e-05,6.696721822914665e-05,6.49707183582651e-05,6.16843381210004e-05,6.420068450131606e-05,5.405796068166045e-05,8.588564872208375e-05,3.472433923410326e-05,7.418856067735357e-05,0.00010515009033083525,5.357801596597441e-05,5.132784231543985e-05,5.210350208488764e-05,0.0001821155072927167,4.416239382889939e-05,9.630291523534258e-05,8.730335735625471e-05,8.276196113984129e-05,5.79290485104878e-05,2.8808036173928606e-06,3.49389927210998e-06,-7.279159367765252e-07,3.139691035959687e-06,6.630311588345431e-05,-2.2049873308241507e-05,5.06715821623547e-05,4.7410385600441465e-05,2.125160522244282e-06,-5.67464983153378e-07,0.00010654930519094782,-1.3262291920490569e-06,5.649300263206228e-05,7.141777642331676e-05,3.693992057682162e-05,5.2943755085625886e-05,7.893936322150345e-05,9.148207774230892e-05,3.977414086817552e-05,3.2139593422261625e-05,1.6811622267193182e-06,8.108192218727312e-05,5.135030963625755e-05,6.824918592800994e-05,7.109351188357999e-05,5.6773435922391934e-05,7.641471350112842e-05,8.464715481279985e-05,4.0129709964072695e-05,-7.569973351252933e-05,-8.124892846838355e-07,7.67168164373376e-05,-1.3252570058601076e-06,6.009805592857356e-05,-3.2911082331895057e-06,5.8601372712792375e-05,7.746729036580172e-05,0.00010295962275620526,2.5626057402711957e-06,2.5516126798525355e-05,7.539917057480028e-05,-3.1419285159570127e-06,7.948862730850437e-05,4.032798666449176e-05,2.5822517577372716e-05,5.7753255717014784e-05,7.151545427975835e-05,2.969749223002489e-06,6.709202126539467e-05,2.5978927702816804e-06,8.844148344706924e-05
cpl.us,4.994702629240001e-06,3.805028056783477e-06,1.8846981488855947e-05,3.875888151284029e-05,3.054172130721549e-05,2.4644549232801698e-05,4.507650871152537e-05,4.257093764534398e-05,4.058777737004204e-05,3.03578021216976e-05,4.5233476638478475e-05,3.3506939868717624e-05,4.908248528734334e-05,5.1026180204451264e-05,0.00012441203779201584,3.7149361253996274e-05,4.265455807866408e-05,4.416239382889939e-05,0.00019586411191394466,4.546945287031778e-05,4.9907156900319846e-05,4.062284005375422e-05,0.00010930302576682595,5.427205240969449e-06,7.72957268622256e-06,4.938816754721821e-06,3.4950503040468248e-06,4.526170196646529e-05,6.892667812690013e-07,0.00013502982264314392,3.896355401050352e-05,7.307435343872487e-06,1.3931325688524524e-05,9.014037799252702e-05,8.079740082635383e-06,3.969359829364125e-05,4.710485161383928e-05,4.628929264644743e-05,3.713764980529128e-05,4.554057693553689e-05,4.582391344385601e-05,3.250791793362602e-05,3.059645702784177e-05,1.0798611219246625e-05,4.4898555185275604e-05,4.911990166389623e-05,4.2438704196842856e-05,3.3408758002820995e-05,4.678640042940137e-05,4.625765644347215e-05,5.319529356196352e-05,3.8732732783101886e-05,-0.0004565567953506809,9.211059075889705e-06,5.0959849926583775e-05,7.230658369879271e-06,3.794889204905069e-05,8.534192382150378e-06,0.00010167493123521149,4.698118323168565e-05,4.963977235162666e-05,5.6382028488198904e-06,1.8648849090990506e-05,3.863683692088e-05,6.941637038042644e-06,4.676069649206197e-05,4.698818733301731e-05,2.9808898950266504e-05,3.787021392007885e-05,3.088210234531444e-05,6.461838050944267e-06,4.01548117147679e-05,4.6174833353153525e-06,3.6390892910723146e-05
ctws.us,-1.6869393068256066e-06,1.569777365865904e-06,8.076661071495913e-06,5.946468384746391e-05,2.7715295043469228e-05,8.182578045272175e-05,6.992597626908922e-05,5.570895379576835e-05,6.085730016625224e-05,4.125691690841715e-05,9.852272590883185e-05,3.2078612053801684e-05,7.422516026918902e-05,0.00014160862312993124,5.255362854690592e-05,4.0095367320926464e-05,4.5411916457608725e-05,9.630291523534258e-05,4.546945287031778e-05,0.0002241156607651331,0.00013198042024500779,8.962067514189527e-05,6.914179145947198e-05,1.542108242419639e-06,3.8267598675616995e-06,1.2669295324605022e-06,5.25747717276812e-06,5.818564969089753e-05,-2.255933366521951e-05,5.296609550755014e-05,3.949858393375953e-05,-2.5345213358547006e-08,-4.423957181878557e-06,0.0001273049001318507,5.930656460321869e-07,4.938131255705257e-05,6.483947085257314e-05,4.5337237503783726e-05,4.463183095741948e-05,8.677813284396672e-05,0.00011076801695219328,3.419663091546119e-05,3.195268620194264e-05,4.5632929748542955e-06,7.449824292339293e-05,5.35687032735678e-05,6.834759885839475e-05,6.881050043075127e-05,5.105738007957222e-05,8.015019128173262e-05,9.308762585605377e-05,3.202555555176518e-05,-0.00022919707590697907,1.7775260796288006e-06,7.40288461185712e-05,6.191012513285813e-06,5.313196699544185e-05,-1.1302028975869047e-06,5.3444732420705694e-05,7.594475006299377e-05,0.00012981654673616406,5.853875880738257e-06,1.7637461839840152e-05,7.779946028464112e-05,-9.265774261773068e-07,7.800411793188207e-05,3.669245854528819e-05,2.338876036406475e-05,5.3510950362019584e-05,7.648455790899387e-05,7.54017479548575e-06,6.387742496741152e-05,3.6197368752974046e-06,0.00011039827682300271
cwco.us,-1.2495260431822934e-05,-1.1263633061022368e-05,-1.8254328740569411e-06,5.978613447278553e-05,5.0170905854113104e-05,8.143177903575591e-05,8.41972621155229e-05,6.325282533728674e-05,6.213259873305179e-05,4.623230541122561e-05,0.00010717584656993284,4.124422855716411e-05,7.959040443068483e-05,0.00015924328838523103,5.7916299280458535e-05,4.300634180196491e-05,5.546474163905492e-05,8.730335735625471e-05,4.9907156900319846e-05,0.00013198042024500779,0.000548951073716379,9.744100987312722e-05,8.925700410018483e-05,-1.0534072769873973e-05,-7.545158294411309e-06,-7.053439590694561e-06,-1.1763462451686444e-05,6.340439135236083e-05,-1.2981668699351727e-05,4.2648216118741686e-05,3.814133607053321e-05,-6.047759146626029e-06,-8.663435383831069e-06,0.00017372091733621782,-1.555612180134325e-05,4.908844493985113e-05,6.74830848778642e-05,5.133404128475162e-05,3.8867702960958e-05,8.182458358176963e-05,0.0001192478116484378,3.337446252448684e-05,3.489284696495487e-05,-3.9047392792545494e-06,7.780365749266054e-05,6.129273110410854e-05,7.129732204004131e-05,7.436870095531964e-05,5.6513364147484165e-05,0.00010896882918760916,9.502048792756967e-05,4.71737385076513e-05,-0.0004196700599207222,-5.802929898488902e-06,8.152864721480383e-05,-7.245196201404454e-06,4.943721594050634e-05,-8.282872479516658e-06,6.852049378983334e-05,8.475791069114496e-05,0.00013669977121308783,-4.465754203153489e-06,3.504744610730165e-05,8.613785395278281e-05,-3.279848022583991e-06,8.976597093406597e-05,4.2335850206913593e-05,6.116892092907168e-05,5.809805523524002e-05,8.0216785799099e-05,-7.243209758989539e-06,6.924568919651407e-05,-1.296513899871463e-05,0.00011262392002757212
cwt.us,4.392210547228307e-06,3.3887225554755705e-06,9.559328691449954e-06,6.333991586943674e-05,3.573647157970929e-05,6.604919968375712e-05,6.4021450278293e-05,6.616231366600701e-05,6.519988022057127e-05,6.335866228252072e-05,0.00011612845349361713,3.488985812118744e-05,7.726232891437415e-05,0.00010226738500238368,4.877378290874935e-05,5.0526088960603834e-05,5.92729989347128e-05,8.276196113984129e-05,4.062284005375422e-05,8.962067514189527e-05,9.744100987312722e-05,0.00014117386527447737,5.9051205662903904e-05,4.941885325495678e-06,2.0271526842115763e-06,2.1590011741276697e-06,3.493303648538279e-06,6.592924258829971e-05,-1.1181504833320962e-05,4.7109796952675476e-05,4.9847345937644964e-05,5.351045955079461e-06,1.9937341668605615e-06,0.00011437770921801439,1.21925929170338e-06,5.768637348601546e-05,6.907880113804518e-05,4.099924738157159e-05,5.389000824897562e-05,7.923757793875934e-05,8.443975177450606e-05,4.0819068597441655e-05,3.080564570353421e-05,4.990474197387813e-06,8.33004702887801e-05,6.0751483535268386e-05,6.861163125251017e-05,6.784512690493883e-05,5.862239065687294e-05,8.302194837103474e-05,8.427002293248578e-05,4.0108001789869024e-05,-2.1463238836365864e-05,3.713591105167233e-06,7.286634271823952e-05,5.286666704382309e-06,5.6911425018964634e-05,1.5651247609498868e-06,6.425074577028079e-05,7.612564890011481e-05,0.00011029270246454373,3.5662516220422103e-06,2.9171790209621678e-05,7.382412974875935e-05,-9.71080601060525e-07,7.778923999432438e-05,3.866807792626084e-05,3.413435777352866e-05,6.150944932518487e-05,6.450403927158356e-05,4.505039492593929e-06,7.767662032959956e-05,2.215559950295327e-06,8.246436130093008e-05
czz.us,1.8356998106559912e-06,4.8572959967901e-06,3.782638526733171e-05,4.9433622651363655e-05,4.894590173239744e-05,4.228556260057022e-05,6.0576063816930084e-05,5.360991027066745e-05,5.286346033298866e-05,5.1912385319419296e-05,6.28135763379814e-05,4.991955580938885e-05,6.28592105661985e-05,8.012576734945197e-05,0.00011580908271486743,4.59966782757201e-05,6.096412305118465e-05,5.79290485104878e-05,0.00010930302576682595,6.914179145947198e-05,8.925700410018483e-05,5.9051205662903904e-05,0.0003589343892530022,7.0474158567014665e-06,1.1016161163273786e-05,5.416607394789165e-06,5.7286389074552475e-06,4.70188534007596e-05,6.6093709529127494e-06,0.00011789285377692271,4.882056188805915e-05,8.590885885251079e-06,1.649580932494956e-05,0.0001475326392421407,1.1013145948488918e-05,5.077912117594294e-05,5.817483184356619e-05,6.635272396917613e-05,5.0431666668831866e-05,5.2668091645746e-05,7.305730779519686e-05,3.857611047743557e-05,4.3794877493844e-05,1.361313587265488e-05,5.581396053885333e-05,7.536802334738421e-05,5.84875989797028e-05,4.7829689102732896e-05,6.582240429109341e-05,9.138298161995353e-05,7.604063798217902e-05,7.371577410394508e-05,0.000147986307902034,1.1523583045518188e-05,6.473247644600762e-05,6.794515497672628e-06,5.118417565295864e-05,9.78839404773989e-06,0.00011420006193784771,5.866752852486174e-05,7.27100462231719e-05,6.345535528779166e-06,3.913357933246729e-05,5.013311204651437e-05,3.936219621795751e-06,5.872831987543431e-05,6.473217876929183e-05,4.1928408425648366e-05,5.193572138053919e-05,4.887419607333309e-05,6.270415803654347e-06,6.064779518365562e-05,3.911532968525709e-06,6.536661485144368e-05
d.us,5.752362748872574e-05,5.3476507064007015e-05,6.937701446198736e-05,9.046832854730397e-06,3.430287663312427e-06,-1.2026256270740504e-06,-9.365550080368455e-07,6.219043544316725e-06,1.1063075805562388e-05,4.676531777444369e-06,6.122014830952275e-06,9.861067026398698e-06,9.464131350426786e-06,-8.216480982156892e-06,9.324299503321355e-07,1.2274416143415969e-05,9.088591898109673e-06,2.8808036173928606e-06,5.427205240969449e-06,1.542108242419639e-06,-1.0534072769873973e-05,4.941885325495678e-06,7.0474158567014665e-06,7.669842955358281e-05,5.354832258354382e-05,4.624541114618499e-05,4.600868604843747e-05,7.98435650582842e-06,4.7275427381334e-05,4.3274627051701005e-06,1.2078575310455393e-05,5.0636660956084014e-05,5.22283797583748e-05,-6.34721012853727e-06,5.173956793216719e-05,9.666103068058976e-06,8.813481489845487e-06,1.3912951527963991e-05,1.0657498206363181e-05,5.48487851097541e-06,9.190622128646549e-07,9.655957111310491e-06,9.23295014597201e-06,5.714590123516209e-05,4.638388099719519e-06,1.1962918092465853e-05,9.410999471945083e-06,6.926531586777668e-06,1.5205400844971373e-05,7.152934566906396e-06,4.353182870969659e-06,5.265264656721542e-06,5.554322668512322e-05,5.798685217976348e-05,1.3583222977204616e-05,5.374604044468675e-05,1.2498860653254171e-05,4.794085420408561e-05,8.36135351033986e-06,6.761906923115976e-06,5.418078194511996e-06,4.242104051785804e-05,5.558588994371994e-06,6.441558900735352e-06,5.210179900102187e-05,9.441505549964115e-06,1.1058835192857244e-05,8.776199746327748e-06,6.3496801843341135e-06,5.070412565905451e-06,5.2608854200453916e-05,2.336184046758208e-06,5.120088221104789e-05,1.0703804824254724e-06
dte.us,6.265761488675849e-05,5.513014883262832e-05,7.483224287052707e-05,8.657628602093653e-06,3.7179501982426425e-06,2.136160152439865e-06,1.194055951989437e-06,5.54719847084882e-06,1.2623716904502416e-05,2.8103256907946594e-06,6.670665137038758e-06,1.0553271589306742e-05,1.164602291194515e-05,-6.257143536188116e-06,4.692826178879191e-06,1.1720274272158077e-05,6.709308160072463e-06,3.49389927210998e-06,7.72957268622256e-06,3.8267598675616995e-06,-7.545158294411309e-06,2.0271526842115763e-06,1.1016161163273786e-05,5.354832258354382e-05,7.581252126867278e-05,4.758443513703782e-05,4.723392693206755e-05,4.862149405921478e-06,4.8504207345105246e-05,5.870841004287457e-06,1.0856474084208416e-05,5.486275410790072e-05,5.148442857965511e-05,4.231000901205076e-06,5.491659291631162e-05,8.340370819586652e-06,9.7981051076635e-06,1.2216103616421473e-05,1.019482154995405e-05,5.817399186489377e-06,2.026136891539176e-06,8.934334056263765e-06,7.9846580190307e-06,6.0712790271648886e-05,2.518987014250552e-06,1.0809945755753529e-05,9.050889385382425e-06,5.9852665516858074e-06,1.4819811950784704e-05,9.444860846104657e-06,2.0701119995949923e-06,-1.1565971304861061e-06,-5.2494122378440493e-05,5.943252481211547e-05,1.3561229767667484e-05,5.993435355842204e-05,1.1391932484177681e-05,4.9857897779462765e-05,1.0466955719135435e-05,6.832023609852196e-06,5.6485799684712415e-06,4.2385261962316526e-05,4.319070392425748e-06,5.423828725922078e-06,5.334826779085156e-05,9.036429127437032e-06,9.111439274646629e-06,1.3986875788360413e-05,6.02979513976319e-06,9.8383145178652e-07,5.6931689694768345e-05,2.6927065710786494e-06,5.456143493620015e-05,1.8701334491357072e-06
duk.us,5.0457958648511845e-05,5.080818235780258e-05,5.636084179265807e-05,5.3259438236877284e-06,3.849133211919658e-06,-4.63065555155273e-07,2.5876905120238585e-06,6.221166539020649e-06,1.0721863623139151e-05,2.1323441538664417e-06,5.257671026847752e-06,9.070545102889159e-06,7.383467322428771e-06,-7.082774893907183e-06,9.222401446054939e-07,7.910242042207114e-06,4.2582243867466395e-06,-7.279159367765252e-07,4.938816754721821e-06,1.2669295324605022e-06,-7.053439590694561e-06,2.1590011741276697e-06,5.416607394789165e-06,4.624541114618499e-05,4.758443513703782e-05,6.284438747981857e-05,4.37762272990888e-05,4.43704655204295e-06,4.5784045742014066e-05,3.6989928817720324e-06,9.392219781203361e-06,4.769141361916978e-05,4.715387342359745e-05,8.285040929587217e-06,4.851095489002494e-05,6.476060318355237e-06,6.7755189630139185e-06,8.01716256026923e-06,7.224907683378052e-06,5.397741432887585e-06,1.8635720793380526e-06,9.251095678631886e-06,5.758141878400284e-06,4.6396961406672305e-05,2.5973852012482407e-06,8.644571365112428e-06,6.183473703519644e-06,1.1092281118372795e-06,1.0230483945380711e-05,6.845812555799679e-06,3.2441837330460705e-06,3.851134833816764e-06,-1.613650508870064e-05,5.2942036104412424e-05,8.25730282489575e-06,4.930453676726383e-05,8.123025359258747e-06,4.1336857566144147e-05,6.912821256362288e-06,4.0444393345003326e-06,2.22943893736325e-07,4.1648311003381934e-05,3.5113122109268935e-06,2.780178814483848e-06,4.457244526615015e-05,6.257227299010204e-06,8.052093181664628e-06,1.29615619776456e-05,3.6612980363108493e-06,1.5049886189747712e-06,4.737265080013753e-05,1.551402014929539e-06,4.7325485167890785e-05,-3.7843270858045473e-06
