,aee.us,aep.us,aes.us,ale.us,apu.us,artna.us,at.us,ato.us,ava.us,awk.us,awr.us,bip.us,bkh.us,cdzi.us,cig.us,cms.us,cnp.us,cpk.us,cpl.us,ctws.us,cwco.us,cwt.us,czz.us,d.us,dte.us,duk.us,ed.us,ee.us,eix.us,elp.us,es.us,etr.us,exc.us,fcel.us,fe.us,he.us,ida.us,kep.us,lnt.us,mgee.us,msex.us,nee.us,ngg.us,ni.us,njr.us,nrg.us,nwe.us,nwn.us,oge.us,ora.us,ottr.us,pam.us,pcg.us,peg.us,pnm.us,pnw.us,por.us,ppl.us,sbs.us,sji.us,sjw.us,so.us,sph.us,sr.us,sre.us,swx.us,tac.us,tgs.us,ugi.us,utl.us,wec.us,wtr.us,xel.us,yorw.us
aee.us,9.908470166042059e-05,6.160612122098497e-05,7.993877681451197e-05,9.619522658123982e-06,8.033280144701923e-06,9.087902135743367e-07,2.8152039320612604e-06,6.600512313453814e-06,1.4755216013027237e-05,1.893463583806488e-06,1.0632878407307357e-05,9.48350046643273e-06,1.256690687829447e-05,4.5780143816000697e-07,7.806101011431068e-07,9.39078281849784e-06,7.401664423411311e-06,1.4010040950475786e-06,4.994702629240001e-06,-1.6869393068256066e-06,-1.2495260431822934e-05,4.392210547228307e-06,1.8356998106559912e-06,5.752362748872574e-05,6.265761488675849e-05,5.0457958648511845e-05,5.2113087224236643e-05,9.472043370787869e-06,6.280019356944087e-05,2.3782758208034816e-06,1.2311176479788353e-05,5.950572578075058e-05,5.877769212572998e-05,3.2554342635102625e-06,5.971992222390159e-05,7.64771563099846e-06,1.0665542776372666e-05,9.187862455337152e-06,1.1184342527777678e-05,7.389705691823245e-06,-5.450471594098793e-07,9.524253476742878e-06,7.328854638413633e-06,6.485829624927668e-05,2.937596574876637e-06,1.0363319693951501e-05,8.838606276970082e-06,5.667256904989701e-06,1.483341832958111e-05,9.911169035651033e-06,3.0037540052091158e-06,-2.424573136940061e-06,-7.077048698659301e-05,6.72979933257847e-05,1.4000142523347814e-05,6.310115303553946e-05,1.1045189891440588e-05,5.5511104122153036e-05,8.748073674945674e-06,6.97347956703293e-06,4.557923929203973e-06,4.606067348289588e-05,4.01830906230664e-06,4.702859770884298e-06,5.609083772653599e-05,8.045363572111318e-06,1.0431547881595598e-05,1.2966343323520457e-05,6.271766295382687e-06,4.82788000691291e-06,6.185531228115864e-05,8.471529906607214e-07,6.041318120682553e-05,-1.0642545217609037e-06
aep.us,6.160612122098497e-05,7.936073231991661e-05,6.783057098434145e-05,5.644621992670544e-06,4.84243767967835e-06,2.4650669034480366e-06,2.3022980301217866e-06,5.781708863541998e-06,1.0693144246189277e-05,1.6251703212461945e-06,7.840839136001648e-06,6.337557690484171e-06,1.0951250768064968e-05,-2.9156919619581686e-06,-2.1273573129816615e-06,7.895342700079984e-06,3.838851365263954e-06,5.0144719015530657e-08,3.805028056783477e-06,1.569777365865904e-06,-1.1263633061022368e-05,3.3887225554755705e-06,4.8572959967901e-06,5.3476507064007015e-05,5.513014883262832e-05,5.080818235780258e-05,4.8158024178223993e-05,4.745615189974932e-06,6.26438453246703e-05,4.667117771544512e-07,1.073602678719253e-05,5.729307455580962e-05,5.5993045811857384e-05,8.41569657254176e-06,5.811377138493242e-05,7.45099547677602e-06,8.450366585229054e-06,9.468797686966888e-06,8.150453129273405e-06,2.73423464174898e-06,-1.0962742164083606e-06,8.351285692468084e-06,7.415197223416332e-06,5.476415533182205e-05,9.196039318186566e-07,9.034244219795605e-06,6.627395246699701e-06,3.7976082004289315e-06,1.3320563445073125e-05,5.2375637655079904e-06,2.5593142665077125e-06,1.0010424565615618e-05,9.379079680504563e-06,6.193251438420875e-05,9.49278937458067e-06,5.7996433355405595e-05,9.753936837464506e-06,5.2642469536779264e-05,5.592813149010086e-06,5.1486011432314515e-06,-4.20632179376096e-07,4.3915222951306426e-05,5.766300034454451e-06,4.663148496026914e-06,5.056654040810148e-05,7.203446576742906e-06,1.020416465476745e-05,1.4224627784844528e-05,5.530479850903232e-06,6.007570894743347e-07,5.5379031407788066e-05,7.035421713377829e-07,5.422040986217577e-05,-1.4545288723338643e-06
aes.us,7.993877681451197e-05,6.783057098434145e-05,0.00023896504331914366,1.6663596185783822e-05,1.516409693424175e-05,3.266416298949271e-06,6.1439190512689486e-06,1.5708265234193854e-05,1.8045583048810357e-05,1.7379618014913843e-05,1.4907670092381436e-05,1.9417352623157145e-05,1.912342981135208e-05,-1.692704454467211e-05,6.46149657229512e-06,1.4740586835065389e-05,1.8220999472403313e-05,2.4675214943942213e-07,1.8846981488855947e-05,8.076661071495913e-06,-1.8254328740569411e-06,9.559328691449954e-06,3.782638526733171e-05,6.937701446198736e-05,7.483224287052707e-05,5.636084179265807e-05,5.4313645932981846e-05,1.0890381035816112e-05,7.898112972356599e-05,1.432665847354959e-05,1.4685472341562663e-05,6.921602350030895e-05,6.891748090519015e-05,4.644454129858357e-05,7.275047770501989e-05,1.4535273192667423e-05,1.225026779030622e-05,2.7342999016875684e-05,1.9369578477865846e-05,6.07142396154489e-06,6.357499197047997e-06,1.305117622720683e-05,1.4613083897970816e-05,8.197868431135123e-05,5.766437152738051e-06,2.5033114223512175e-05,1.4621052894517226e-05,4.483750089022904e-06,2.51070516246851e-05,2.564463871839545e-05,1.3083088358026943e-05,2.016965021328198e-05,-3.273261163039177e-05,7.692442545252949e-05,2.3783346860383243e-05,7.464455238443528e-05,1.633493804873225e-05,6.636573886774873e-05,2.8677614787355007e-05,1.4229283195347695e-05,9.200437266915859e-06,4.802875421193451e-05,1.7725346032809422e-05,9.70836621042043e-06,7.347379772981244e-05,1.3937758117487584e-05,2.1705294009653686e-05,2.303065114392746e-05,1.429586606880993e-05,9.914513684507766e-06,6.686269943523399e-05,1.3262431084486312e-05,6.650890083198618e-05,-1.3648833222415781e-06
ale.us,9.619522658123982e-06,5.644621992670544e-06,1.6663596185783822e-05,8.89342273365384e-05,3.516593384495662e-05,4.301824185995119e-05,4.931947017583681e-05,5.7401944811085706e-05,6.731620114339854e-05,4.780934765542653e-05,7.227841466123798e-05,3.1164124393870125e-05,7.315570820169309e-05,7.995060811039192e-05,4.303805862193144e-05,5.549183379464496e-05,5.478719320455621e-05,6.36314048729103e-05,3.875888151284029e-05,5.946468384746391e-05,5.978613447278553e-05,6.333991586943674e-05,4.9433622651363655e-05,9.046832854730397e-06,8.657628602093653e-06,5.3259438236877284e-06,6.864305581966903e-06,6.278400853548341e-05,1.7197746731523382e-06,4.635813557949565e-05,5.334809871007209e-05,9.293576316254326e-06,6.850373855455421e-06,8.665091678412697e-05,3.6100226019558177e-06,5.739552911006022e-05,6.975330470431901e-05,3.340363941916e-05,5.824278873746124e-05,6.914569108254848e-05,6.454885030860846e-05,4.829783887921012e-05,2.9281839933542683e-05,1.2323796882683608e-05,6.632714960114894e-05,5.9645824197706844e-05,6.591314161895635e-05,5.893628540141162e-05,6.133858511552363e-05,7.153874248657436e-05,7.211691684082165e-05,2.5184743472175024e-05,-9.942757716814437e-05,8.920933180198575e-06,7.038495363524829e-05,1.0434585145795577e-05,6.177285256654821e-05,4.658017581083811e-06,4.424633234080483e-05,6.817762309190093e-05,7.20715094726011e-05,6.537171747917429e-06,2.5107728715101884e-05,6.324119134632674e-05,5.986334869324329e-06,6.701169957712938e-05,3.253310093107573e-05,1.905536429215177e-05,5.6478727953648726e-05,5.898800762865023e-05,8.905268951340654e-06,5.978226960412776e-05,6.942992119151959e-06,6.056564877496812e-05
apu.us,8.033280144701923e-06,4.84243767967835e-06,1.516409693424175e-05,3.516593384495662e-05,0.00012949130758714477,2.4892407102159863e-05,4.6261015371141585e-05,4.343953319932122e-05,3.853894162028516e-05,2.957440044484132e-05,3.8607454858029603e-05,2.657576455134014e-05,4.05734165007964e-05,6.067266734740258e-05,3.233314460043449e-05,3.101507253792659e-05,3.916481171473505e-05,4.05540961698996e-05,3.054172130721549e-05,2.7715295043469228e-05,5.0170905854113104e-05,3.573647157970929e-05,4.894590173239744e-05,3.430287663312427e-06,3.7179501982426425e-06,3.849133211919658e-06,2.8706759910128886e-06,3.4315642564485784e-05,-2.4004281599780555e-06,3.322372988382644e-05,3.426114859315333e-05,4.186046096519976e-06,4.9166925956210685e-06,5.585883218816282e-05,4.261769830530066e-06,3.274554945356108e-05,3.654508458889336e-05,2.416776757047633e-05,3.506921646435035e-05,3.4726031943447764e-05,4.3022138622608464e-05,2.4198449013168234e-05,2.5140039255458327e-05,7.71190867395422e-06,4.102111891274022e-05,3.775504285836032e-05,3.8463841603412355e-05,3.7354488943708026e-05,4.1535622040547965e-05,5.050185399614551e-05,4.066688189670749e-05,1.6696606346453977e-05,-3.5158175066999625e-05,5.467367597729172e-06,3.985440037237795e-05,4.864850772000933e-06,3.243564284437878e-05,6.504556857661815e-07,3.523040279238253e-05,4.0619435415002046e-05,4.386442187328663e-05,4.492888060557619e-06,5.1852729320389445e-05,3.686404001663141e-05,1.2240693412256817e-06,4.204593208064557e-05,3.246476045614021e-05,1.6305514644428775e-05,4.4048372307305376e-05,3.247748937787732e-05,6.2869596206388345e-06,3.896901179691286e-05,4.539147350625202e-06,3.8788637109835356e-05
artna.us,9.087902135743367e-07,2.4650669034480366e-06,3.266416298949271e-06,4.301824185995119e-05,2.4892407102159863e-05,0.00019028385485154694,5.4350863011863666e-05,3.963707483794454e-05,4.094076538639498e-05,3.09934041574197e-05,7.00682234578095e-05,1.8444483224644992e-05,5.1794482925911445e-05,0.00010622021862104361,2.7801112589978082e-05,2.8753328033234264e-05,3.0246583891204943e-05,6.696721822914665e-05,2.4644549232801698e-05,8.182578045272175e-05,8.143177903575591e-05,6.604919968375712e-05,4.228556260057022e-05,-1.2026256270740504e-06,2.136160152439865e-06,-4.63065555155273e-07,3.4328653888737564e-06,3.88741688539157e-05,-1.9248522116553838e-05,3.0952061354615796e-05,2.7527094361426038e-05,5.029524510098413e-06,-4.6986499326619584e-06,0.0001020912866100101,-6.527211719416355e-08,3.776442153131971e-05,4.540080977006695e-05,2.9863486582199373e-05,3.535445697394322e-05,5.892593045008457e-05,7.649802196899298e-05,2.1992574550919105e-05,2.0571814567422072e-05,1.4659038751641222e-06,5.013852155383875e-05,3.9143097938489215e-05,4.0882993563520654e-05,4.273760079831542e-05,3.9415311377943525e-05,6.33546172853781e-05,6.153289489971745e-05,2.5848905297967454e-05,-0.0005503178581469028,-3.0500755647492994e-06,5.460456122050002e-05,2.6990655846667367e-06,3.748425897707063e-05,-2.3286254954646068e-06,3.1390658330008694e-05,4.926335151415667e-05,8.740417498832832e-05,2.4981128628195375e-06,1.883036686196252e-05,5.335585400863025e-05,-9.689445398799426e-07,5.296592253049968e-05,2.774736547919794e-05,2.8309033373613216e-05,3.8450529217087104e-05,5.6807204564147536e-05,3.4684159678624563e-06,4.291842416858526e-05,4.5133466783151996e-07,8.777993808531867e-05
at.us,2.8152039320612604e-06,2.3022980301217866e-06,6.1439190512689486e-06,4.931947017583681e-05,4.6261015371141585e-05,5.4350863011863666e-05,0.0005179658425474984,5.0492232097976564e-05,5.119609284732651e-05,4.4726990229738313e-05,7.137457862938502e-05,4.5157536609032364e-05,6.240506909155494e-05,8.540154185971295e-05,4.9945924151479935e-05,3.5769408529672286e-05,5.218271792855651e-05,6.49707183582651e-05,4.507650871152537e-05,6.992597626908922e-05,8.41972621155229e-05,6.4021450278293e-05,6.0576063816930084e-05,-9.365550080368455e-07,1.194055951989437e-06,2.5876905120238585e-06,6.727539179861941e-06,5.638743817613371e-05,-1.3192466196355198e-05,4.967041509233373e-05,3.649501545341311e-05,2.4081233994291917e-06,-9.91400423391406e-07,0.00017321568148488342,1.3828210349820095e-06,4.0700187023058986e-05,5.9878232776313875e-05,4.741827250033114e-05,4.36275380106637e-05,5.674012433416611e-05,6.750095462396447e-05,3.59741400455439e-05,3.166805564399145e-05,5.578279500384191e-06,6.112518332699185e-05,6.486777001164146e-05,5.0970032825712636e-05,6.184002908910099e-05,5.745193307962955e-05,8.119179818878667e-05,7.087688754462794e-05,5.5959300596327144e-05,-0.00014627702222637433,-5.9069990065478596e-06,5.581346489188862e-05,4.6982290950462e-06,4.0766506248750036e-05,-8.092807143245263e-06,5.8918594316750775e-05,5.678308917966564e-05,7.137112972268769e-05,5.6874149520780515e-06,4.3905816540860386e-05,5.438680172401476e-05,-4.911135395201842e-06,6.0942890850490564e-05,7.230796757833815e-05,4.081804055057614e-05,5.0362008540370305e-05,5.196246628807103e-05,9.095055464032056e-06,5.639152828903488e-05,-1.3957813657428122e-06,7.072816733895773e-05
ato.us,6.600512313453814e-06,5.781708863541998e-06,1.5708265234193854e-05,5.7401944811085706e-05,4.343953319932122e-05,3.963707483794454e-05,5.0492232097976564e-05,9.909065402938995e-05,6.280311657869562e-05,5.249128771504994e-05,6.968508067366829e-05,3.639349255674709e-05,7.227343570261784e-05,7.056516329170569e-05,4.502933343523473e-05,5.692152341855755e-05,5.96687889441147e-05,6.16843381210004e-05,4.257093764534398e-05,5.570895379576835e-05,6.325282533728674e-05,6.616231366600701e-05,5.360991027066745e-05,6.219043544316725e-06,5.54719847084882e-06,6.221166539020649e-06,5.396647462882363e-06,5.763693398074266e-05,2.46192429969071e-07,4.45622288319769e-05,5.604508076802899e-05,6.524550881336537e-06,6.396204871994703e-06,7.905472234477118e-05,5.203369072977913e-06,6.051450415700491e-05,6.391517478099362e-05,3.591880568672614e-05,6.104471033726682e-05,6.393398254851594e-05,5.3483796741823426e-05,4.7297347125398946e-05,3.1048374857877295e-05,1.0393688463344287e-05,7.336270832840093e-05,6.625911911661827e-05,6.151375483117489e-05,5.979792478904018e-05,6.338478165126058e-05,6.364719324923169e-05,6.580412902774912e-05,3.462919192244031e-05,-1.3694389391983225e-05,8.044691414319344e-06,6.797724484490842e-05,8.437866299499256e-06,5.601392967043932e-05,3.4211917924905607e-06,4.6188839156678714e-05,7.330189236266451e-05,6.875470526775546e-05,5.253010844693794e-06,3.295527835769746e-05,6.417560187659774e-05,5.661336154813489e-06,7.19398533338908e-05,4.061988682579661e-05,2.4431876717194465e-05,7.129795217884339e-05,5.098254668410961e-05,6.5945994840902545e-06,6.673815629723572e-05,4.52152857520746e-06,5.09773672700503e-05
ava.us,1.4755216013027237e-05,1.0693144246189277e-05,1.8045583048810357e-05,6.731620114339854e-05,3.853894162028516e-05,4.094076538639498e-05,5.119609284732651e-05,6.280311657869562e-05,9.909671263351944e-05,4.8605324959255996e-05,6.848591259765171e-05,3.184022809970849e-05,8.07970709318004e-05,7.852821898864355e-05,4.561642214653689e-05,6.148658347819633e-05,6.204906273170532e-05,6.420068450131606e-05,4.058777737004204e-05,6.085730016625224e-05,6.213259873305179e-05,6.519988022057127e-05,5.286346033298866e-05,1.1063075805562388e-05,1.2623716904502416e-05,1.0721863623139151e-05,1.0272875732005283e-05,6.683566005551522e-05,1.4829468233403482e-06,4.3819167342972e-05,6.027896548405717e-05,1.236716079213615e-05,9.565586171909889e-06,8.845205325436282e-05,8.28673889564543e-06,6.238352789578042e-05,7.528079179794622e-05,3.778509972369339e-05,6.375290319008932e-05,7.275952692790604e-05,5.944816313252648e-05,5.0511450759474774e-05,3.123926248002039e-05,1.3763575570224618e-05,7.299074072256841e-05,6.53099086456169e-05,7.02804926031025e-05,6.281908219447946e-05,6.649624044964409e-05,7.298759270478687e-05,7.182342438865377e-05,2.458102845151156e-05,-4.5466704234765766e-05,1.4129413969728605e-05,7.611248651431663e-05,1.3207461845927886e-05,6.634642062486884e-05,8.148201626493522e-06,4.602036936741805e-05,7.054761252620608e-05,7.36596487709557e-05,9.523411740870838e-06,2.5520153915200907e-05,6.558553716592188e-05,6.567171541727512e-06,7.198784191367144e-05,3.5971115965381745e-05,2.370375458798996e-05,6.119027958074278e-05,5.6886088911997465e-05,1.3018294045108623e-05,6.194711022311505e-05,1.0442030914739157e-05,5.5652270235036586e-05
awk.us,1.893463583806488e-06,1.6251703212461945e-06,1.7379618014913843e-05,4.780934765542653e-05,2.957440044484132e-05,3.09934041574197e-05,4.4726990229738313e-05,5.249128771504994e-05,4.8605324959255996e-05,0.00010548410283645948,6.806915836805946e-05,3.4227225166780704e-05,5.445229827375075e-05,4.718101653571991e-05,3.751673460465729e-05,4.9702879937045394e-05,5.009215016042785e-05,5.405796068166045e-05,3.03578021216976e-05,4.125691690841715e-05,4.623230541122561e-05,6.335866228252072e-05,5.1912385319419296e-05,4.676531777444369e-06,2.8103256907946594e-06,2.1323441538664417e-06,1.4726524716984773e-06,4.963272242785921e-05,-3.894286489193175e-06,4.122321694725459e-05,4.843376655020803e-05,5.110813257843205e-06,4.312808428192447e-06,5.754061937712521e-05,3.6038117639097262e-06,4.772407394165153e-05,5.296391025033714e-05,3.218917805092742e-05,5.17477942786791e-05,4.861785420647685e-05,4.569824173449785e-05,4.041251154381415e-05,2.5581355272870118e-05,7.1784638126623e-06,5.8086120840907063e-05,5.0783746282073e-05,5.241095147023842e-05,4.810380583454778e-05,5.2844112054224675e-05,5.82470568863425e-05,5.5209236606087465e-05,3.233629813718297e-05,-0.00012801992939216105,2.401890440773211e-06,5.472117725457444e-05,3.7770750674562116e-06,4.7612491608690555e-05,-5.136314695575651e-07,4.8760233657832226e-05,5.798130812844019e-05,6.033987969864399e-05,2.831143022698688e-06,2.6110053178182417e-05,5.210918065369125e-05,2.124330984699192e-06,5.5314676169793347e-05,3.354304517793671e-05,1.8587988110196716e-05,5.2147936130258984e-05,4.185630884097674e-05,3.7943346246883715e-06,7.604166578131257e-05,1.737167650696016e-06,4.271196526020587e-05
