industria,rendimiento
Real Estate,0.0032353901782612837
Utilities,0.0014752260630228535
Health Care,0.0007713506890116179
Consumer Staples,0.0005843569422942655
Consumer Discretionary,0.0005774526041394962
Information Technology,0.0005021127408907207
Industrials,0.00048293963580295574
Energy,0.0003687173476617478
Financials,0.00034323460226061815
Materials,0.0002107531549636127
Telecommunication Services,-6.416802373955154e-05
