,apa.us,apc.us,arex.us,axas.us,bas.us,bp.us,bpl.us,bpt.us,brs.us,bte.us,cei.us,ceo.us,ceqp.us,chk.us,ckh.us,clb.us,clmt.us,clne.us,clr.us,cnq.us,cnx.us,cog.us,cop.us,cpe.us,cpg.us,cqp.us,crk.us,crr.us,crt.us,crzo.us,cve.us,cvi.us,cvx.us,cxo.us,dcp.us,dk.us,dmlp.us,dnr.us,do.us,drq.us,dvn.us,dwsn.us,e.us,ec.us,eca.us,egy.us,enb.us,enlc.us,eog.us,epd.us,epm.us,eqt.us,erf.us,esv.us,fgp.us,fti.us,ftk.us,gel.us,geos.us,gifi.us,glp.us,gpor.us,gte.us,hal.us,hep.us,hes.us,hlx.us,hos.us,hp.us,husa.us,imo.us,int.us,io.us,lgcy.us,lng.us,mcf.us,mdr.us,mmlp.us,mmp.us,mro.us,mtrx.us,mur.us,mvo.us,nbl.us,nbr.us,ne.us,nfg.us,nfx.us,ngs.us,noa.us,nog.us,nov.us,nr.us,nrt.us,ns.us,obe.us,oii.us,ois.us,oke.us,oxy.us,paa.us,pbr.us,pbt.us,pds.us,pes.us,phx.us,pten.us,pxd.us,rdc.us,ren.us,res.us,rig.us,rrc.us,sbr.us,sdrl.us,sgu.us,shi.us,sjt.us,slb.us,sm.us,snmp.us,snp.us,spn.us,ssl.us,su.us,swn.us,tat.us,tdw.us,tell.us,tga.us,tgc.us,tk.us,tlp.us,tot.us,trp.us,ts.us,tti.us,ugp.us,unt.us,useg.us,vlo.us,wes.us,wft.us,wll.us,wmb.us,wti.us,xec.us,xom.us,zn.us
apa.us,0.00021100669430368138,0.00016942729350093584,3.552622251870797e-05,4.8628827819151284e-05,8.041467851422496e-05,3.0060689941403295e-05,1.6837791503540564e-05,2.1759330697474273e-05,3.239505119783658e-05,2.8869457298237185e-05,5.878175282099946e-05,2.8754043948493007e-05,3.101672953828403e-05,3.388952637962743e-05,1.0038048898049287e-05,1.0648197551550231e-05,1.674757389541388e-05,3.585616882820794e-05,3.829585218212261e-05,3.86619352824021e-05,6.026366641126021e-05,3.1101306322187606e-05,2.14540464263887e-05,6.0538050189084465e-05,9.693307681937865e-05,4.0427968178102534e-05,4.763559939765872e-05,2.7867743025030635e-05,2.8639149930453633e-05,6.172345848268599e-05,2.9521413932413062e-05,2.209195439671312e-05,2.1276815171416152e-05,5.268220989436566e-05,2.4562827000092325e-05,1.7303575273699916e-05,1.694726939046909e-05,3.275779425038624e-05,2.0683436362718222e-05,4.9411056482091436e-05,0.00015116071248970353,6.539933708268368e-05,2.672578218547071e-05,2.2199690287565774e-05,2.6616873695494652e-05,2.294926965238547e-06,5.2227654653991505e-06,0.00015547224626801136,0.00016027987944208674,1.3417221863218808e-05,2.277685468487091e-05,3.0989814339753126e-05,3.056300157604372e-05,4.2642147139658194e-05,1.2029955525467318e-05,3.1031432965320654e-05,4.298097424217497e-05,2.300505709210488e-05,3.004091296277565e-05,3.853103228524977e-05,2.2063064975559955e-05,6.804541939104e-05,5.580649942445051e-05,0.00017966251116987634,1.0644983587556776e-05,3.982586726588447e-05,6.521041493504916e-05,5.41767409994673e-05,3.6548461506832875e-05,5.5242925763063184e-05,2.3768033904091645e-05,2.2193164345977117e-05,5.1234023912462143e-05,2.6661179391612565e-05,7.528008879079385e-05,2.408068961033428e-06,5.426579948444341e-05,9.147307402903483e-06,8.642153043549772e-06,0.00014393616428829938,5.8258462493562237e-05,3.4852156938261646e-05,3.440532290469069e-05,3.383713068090324e-05,0.00022129622123185941,0.00014622089176778255,3.882507754679284e-05,5.706079859954305e-05,1.892880936582461e-05,6.0862126649317594e-05,3.781864199930126e-05,4.328425314171118e-05,6.404145706724411e-05,3.34799401811589e-05,2.258306698664981e-05,3.6904670943878185e-05,4.353469660449749e-05,5.722744973796507e-05,3.0897151566616916e-05,0.00013349014675571253,1.5914351592548475e-05,3.4138425009637446e-05,3.320158060011248e-05,4.626863883270313e-05,6.795018168438516e-05,3.084872549498492e-05,0.00018579252911259174,1.2834307567292411e-05,0.00014890545618604414,2.8887604118192814e-05,4.516116935905822e-05,0.00012770711277345623,3.237768234421152e-05,2.2562274298679573e-05,3.2987181786395854e-05,-8.917743055829216e-06,2.7351984210049552e-05,1.734856527051152e-05,0.00014086237574546416,5.230701229462025e-05,2.7215265530457332e-05,1.7617766860013564e-05,5.8165153438671345e-05,3.1236409598786993e-05,3.4904340849285635e-05,3.432496119751233e-05,3.5603310075727855e-05,2.5282436101676743e-05,7.408862373313663e-05,5.819618217716432e-05,2.1839361334095927e-05,3.866373702538206e-05,1.1405669631973742e-05,2.2738924339490533e-05,5.253800368576574e-06,3.817402300803354e-05,6.51609014508427e-05,3.085712521008016e-05,5.075244681884746e-05,7.783970757407302e-05,2.5276242637755096e-05,1.4983261677028628e-05,4.2693765766078375e-05,4.754867503737909e-05,0.0001267736993086,4.467282267952247e-05,3.6396014822071754e-05,7.724930192040468e-05,-1.1686475858892077e-05
apc.us,0.00016942729350093584,0.0003691220892272701,2.128740105400971e-05,5.624906809958166e-05,8.914567907641942e-05,5.6179485011604255e-05,2.2439284316805078e-05,2.1555173728438126e-05,3.971582183174154e-05,3.648171999938926e-05,5.7261181042629774e-05,3.1051468199418374e-05,2.9624813030970493e-05,2.3687555417032606e-05,8.25837774280645e-06,6.649231085317803e-06,1.8569631211903104e-05,3.664240453136571e-05,3.73950853852092e-05,3.763440508195314e-05,5.4786171852191176e-05,2.2110704192424475e-05,1.9590596658120694e-05,6.535602911047333e-05,0.00011031530188935702,4.0055738660197666e-05,3.099358746295356e-05,1.9017314395535994e-05,1.450443546004157e-05,5.970733093657058e-05,2.6759068128124438e-05,2.7701674698983635e-05,1.8861882416923268e-05,4.8335177866186756e-05,3.106304362473337e-05,2.817373062791747e-05,1.9550353715338538e-05,3.1482359632538445e-05,2.6568928339236694e-05,7.39304617774131e-05,0.00016172997569235107,7.803384351392859e-05,2.85591883074754e-05,1.4437410818314013e-05,1.969026379433428e-05,-1.647105176286274e-05,1.3379288142879511e-05,0.0001863651522040644,0.00019356583347453525,1.973575441415425e-05,7.68236587362181e-06,3.333520287773453e-05,2.2523876678641748e-05,4.195569403891689e-05,1.074181075358316e-05,4.25469461704674e-05,6.624749526906983e-05,2.1460353563964935e-05,4.301771648402868e-05,4.163258407494161e-05,1.9236209695654202e-05,6.878707959991057e-05,6.182426587532934e-05,0.00020897182585793988,1.5861681426224488e-05,4.2659725528490936e-05,6.85117331312092e-05,6.886387817818416e-05,4.216437603361218e-05,3.809912550878808e-05,2.566363315425461e-05,2.6195463481402562e-05,6.969442451979364e-05,3.3706693519759794e-05,7.307997183339674e-05,-1.5520606314592824e-06,5.862826655295071e-05,5.247485903458095e-06,2.0617928478893974e-05,0.00016834557032035794,6.259053278405073e-05,4.0406035135465384e-05,3.721304952130152e-05,3.6235911537456696e-05,0.00024286621666194322,0.00016526225379960894,3.4355737025706096e-05,5.791045031052497e-05,2.1866570963201327e-05,6.076398192010052e-05,3.4667617152089346e-05,4.985110128246263e-05,6.258392619829594e-05,2.3864057820814543e-05,2.6184953219729104e-05,3.390138146534436e-05,4.660996701978853e-05,5.987949900085068e-05,3.0386790769987424e-05,0.0001450127561289133,2.0378447792780494e-05,3.698494194699815e-05,2.3673324351639265e-05,6.258131074478455e-05,8.716621673215016e-05,1.839312570736443e-05,0.00020809076350413155,8.620001358267556e-05,0.0001806001456842442,2.5478543949905466e-05,4.717097506254993e-05,0.00017441543642299345,1.8604969722152868e-05,2.544160658174259e-05,4.080640514157689e-05,-1.0382350404385481e-05,2.8563897288800747e-05,2.230582256182477e-05,0.00016567819821983336,4.0746550155154275e-05,5.301179331607533e-05,2.042409947912511e-05,6.094703435465933e-05,3.1128741397558354e-05,2.906412602402776e-05,2.1085143382027726e-05,3.284949851955364e-05,2.177281059939342e-05,7.036753834813441e-05,7.035173336005391e-05,3.862091368770097e-05,4.232517624406084e-05,2.010678693196226e-05,2.429943232268898e-05,5.549728433120606e-06,4.3844669640340996e-05,8.455245537797595e-05,3.376790444386939e-05,4.271127518110381e-05,8.912361200758302e-05,2.16631069206764e-05,1.5402467251088873e-05,5.274464964565575e-05,5.667055276058447e-05,0.00014404624456034143,4.1881524213470335e-05,3.3530167648968864e-05,9.25157542897215e-05,-1.722177765568709e-05
arex.us,3.552622251870797e-05,2.128740105400971e-05,0.001173774304846278,0.0005410227853730907,0.0005242720878629386,0.00012783856723564405,9.47212348618389e-05,0.00013390026689438298,0.00021267665056375084,0.0002783832516012827,0.00036392925653646284,0.00016716619058110236,0.0001251149549331658,0.0002940384511095154,0.00017850345276292697,0.0001895458531805927,0.00015211446924922125,0.0003960752387845079,0.0003944369164408518,0.0002535280268676545,0.00029449462504263464,0.00028947930229249267,0.0001524128197334842,0.00046807714464136644,1.7459359064911633e-05,0.0001430054716922944,0.0005493803892765336,0.00036351873774663636,0.00020318191667599832,0.0004816943334709083,0.00023778213914153246,0.00028120562954403905,0.00014092733043827868,0.00034558891765930035,0.00013424598347018697,0.0002648023602285988,0.0001280530135168559,0.00037603231889568015,0.00018336731567979156,0.00028963572225059543,2.2538701220154957e-05,0.0002003870228896407,0.00016180722982274507,0.00013401834453060073,0.00023344539215752522,0.0004941004990148301,9.134419350622604e-05,4.305101263163699e-05,3.886170233813715e-05,0.00011811219255691312,0.0002246537535503439,0.00020480840581092415,0.000279631487849932,0.00022176571401728753,8.337739826870472e-05,0.00025132712406552063,0.00040750967181241366,0.00014730029337274719,0.00036495715033233865,0.0003463206928857774,0.00012200252399788866,0.00046868039464667517,0.0002874829326023205,5.9247557966133085e-05,9.057259257521977e-05,0.00024277413334958955,0.00037005943426936765,0.00035532477753017253,0.000346564629945954,0.0003232280829593168,0.0001878305720741973,0.00022686745109223435,0.0004314181039408632,0.0002365332979856776,0.00042747878253777255,0.0003008779335940311,0.00032637156416541794,0.00015267088252460143,0.0001121745858165426,2.635471889768751e-05,0.00031890918427706055,0.00023221023377811956,0.00023785431091385121,0.0002583586592932101,6.395592957469687e-05,4.899265906863683e-05,0.0001846937198520089,0.0003503574501331997,0.0002644711751295497,0.00021537509068309153,0.00047472174493215036,0.000252837569607728,0.00034050743171311224,0.0001056220659468768,0.00011407179940239823,0.0003221810634754384,0.0002488605749870987,0.0002936491497976065,0.00015232609474644186,2.514850170057979e-05,0.00011210188269371088,0.00020556827164452767,0.00016640592014101568,0.0003599675961507021,0.0004908750101626803,0.00034515191859707506,7.078678722082334e-05,0.0004656515149278314,4.7805868100683386e-05,0.00040705102128401623,0.00034409698887042967,3.2584558714567624e-05,0.00028547652249134067,0.0001715406799934556,0.00022065149133104295,7.653562094622467e-05,0.00012826903032695224,0.00016485212532807789,2.724986840543582e-05,0.0004136161762031833,8.083071388949171e-05,0.00010904251779398388,0.00037459257132588806,0.0001587453814780233,0.0002297808390087564,0.00024343143842047766,0.0002769630670206107,0.00024060553044166473,0.00015685818044110597,0.0003185970629830798,0.0002249344860178466,0.00021007656532046046,5.2658154852328635e-05,0.0001304924992732397,8.061423687067471e-05,0.0001833276846323619,0.00044882451656124903,0.00011498250207487124,0.0003306593467190096,0.0004115493649210988,0.00019350471322238048,0.00010595937665679605,0.00031264640323590937,0.0004038785111372663,5.702616742114613e-05,0.0005532596175754444,0.00032911496485018974,1.7987635882503092e-05,0.0001934549694966801
axas.us,4.8628827819151284e-05,5.624906809958166e-05,0.0005410227853730907,0.001324859168560314,0.0005535731895740791,0.00014628298586683329,0.00012968330365333884,0.0001522145524479419,0.00022575495334932984,0.00027083071252894525,0.00038757121530395594,0.00019390361586324188,0.0001700632615982633,0.00032777364560879034,0.00018753639383362416,0.00019571976709457402,0.00017304982518919808,0.0004320782613966695,0.0003997439795496789,0.0002711154708783241,0.00033470281264588795,0.00030952082261396716,0.00017322846824349656,0.0005984739457237794,2.7392175784227643e-05,0.00019082976768965975,0.0005236983085007408,0.0003479408830332546,0.00020621843659812108,0.0004891059877647158,0.00027120261077684307,0.0003064131996646887,0.000162016824126811,0.0003613172831741795,0.00015876855767199023,0.0003247856255152734,0.00015891962187158614,0.00038724112499315133,0.000201394195346348,0.0003183025579200883,4.2025900608564496e-05,0.00027331703890394774,0.00017203790722100936,0.00015046950216476718,0.0002525454594369757,0.0005298445362834104,0.0001105344369230734,9.567782114606403e-05,4.025693025318346e-05,0.00014634758563251306,0.0002631451179362792,0.0002686491722006732,0.00027550877603946245,0.00024470086786206513,9.410233488457751e-05,0.0002848745354555495,0.0004483906320605392,0.0001871398633251481,0.00038250419069411516,0.0003876673364718318,0.0001277656772889788,0.0004903076827338631,0.00031863909440470314,7.397425521584824e-05,0.00011794488928957097,0.00027274396929442764,0.0004065433130871842,0.00037645526167177213,0.0003554195158422705,0.0002953887469837629,0.00019573953770306123,0.0002538342525580105,0.0004618267145971384,0.00026049251158114114,0.00047122461197619944,0.000335111630687354,0.0003705894796802091,0.00019668135884484198,0.00013120678665894169,3.368476058012655e-05,0.00032276825700333444,0.00025301868102977314,0.00024581145754294355,0.0002610875604923565,7.416517262584586e-05,6.856899184896017e-05,0.00019844446150675928,0.0003747047397275001,0.0003086742087945731,0.0002456624517862452,0.0005326995655115463,0.00026438888768949255,0.0004049151125169779,0.00011542922515515505,0.00015016996591970424,0.0002980483233816172,0.0002573997542081144,0.00031147840443203903,0.00017829729007214274,3.882475049032261e-05,0.0001241516783850565,0.00020629834492540068,0.00017785522544110606,0.00039514699487110816,0.0005497003178760731,0.00040523452062314554,8.756447521976391e-05,0.0004019094155804265,5.644773244151992e-05,0.00042482152978874605,0.00035970329635981923,1.8724987296563364e-05,0.0002929514748967646,0.00018152595437954946,0.00023471544625863826,0.00010238034341798913,0.0001597331246270957,0.00019365716897551183,5.696390248494322e-05,0.00042086538636999636,0.00011572763538609713,0.00012959734020898104,0.0003851252382208984,0.0001830936080322956,0.00025733613206226373,0.00024213998392858774,0.00027471166245869404,0.00023318259935197004,0.0001932686530696222,0.00028572478974789426,0.00029686262179421367,0.0002289468626733812,8.004208834222499e-05,0.00014271234865130094,0.0001348292188687803,0.0001869436889053594,0.00047982003220029803,0.0001321197495954649,0.00034919196491822074,0.00047393028473713964,0.0002355309747498915,0.0001327296719341015,0.0003520280486463339,0.00043568157180747603,4.5170248230617826e-05,0.0005582052724146062,0.0003361656137663634,2.614919244154795e-05,0.0002925698828300806
bas.us,8.041467851422496e-05,8.914567907641942e-05,0.0005242720878629386,0.0005535731895740791,0.0011697218920612349,0.0001574879218967311,0.00010667862656962817,0.00013832959012573587,0.00023535781520232877,0.0002770502221941194,0.00034208616220801825,0.00018323905934676895,0.00014701946717946544,0.000323152253220274,0.00019274263139077878,0.00023694660625649092,0.000136544233834733,0.00035957036889854406,0.0003933861602718469,0.00026996241160358114,0.0003475493096795454,0.00029308964236330324,0.00016630184047117515,0.0005209610789177623,4.226375869444832e-05,0.00017446822042791694,0.0005504912276416667,0.00039726814434154045,0.00018787580716112564,0.0004969905585647744,0.0002475264314932724,0.00030283258495327836,0.00015209811507248152,0.00036732630117444743,0.00013895774488869274,0.000284485665918274,0.0001449135325771022,0.00038687021699712647,0.00019441056389647894,0.00032693862270485625,8.046526209378199e-05,0.0002593644551658729,0.00016887414017492048,0.00014546620715657593,0.00025541372494538905,0.00046267017781727445,0.00010206801870103817,0.00015616109048863054,8.226968766002583e-05,0.00011634391130062414,0.00024892581925020966,0.0002423542069563797,0.00026611207925669766,0.0002713331301572999,7.386786393688857e-05,0.0002974365245638628,0.0004883789665006068,0.00016959365474454499,0.000387582010200819,0.00039276717084579647,0.00010464172331814155,0.0004695011474115345,0.0002919574376435546,0.00014874818181661114,0.00010217607092228576,0.0002748345515786204,0.0003966763315601136,0.00038169541408351453,0.00042835383327320003,0.00034494904487114054,0.00018533892124696324,0.00022102392029671767,0.00046714953716956445,0.000232488482972137,0.00039144652176858346,0.00028700769477848375,0.0003734972800896359,0.00014542085275797347,0.000126777617851506,7.334500519261624e-05,0.0003644827649368657,0.0002578529232720988,0.00020452953882096737,0.0002656955210631384,0.00016360105896928243,8.405942750238952e-05,0.00020706040755559568,0.00038892971644618844,0.0003116324195309439,0.0002891180167421107,0.0005139616690572973,0.0003152645357608854,0.0004277422076065686,0.00010717184970240804,0.00012150587328907633,0.00030096052813945206,0.00026928779391296564,0.0003310295456327474,0.0001661148806178884,6.588467175459999e-05,0.00011500668594908557,0.00020026559170250363,0.00016467043124683014,0.00045938535060749213,0.0006462692416743471,0.00038232617946515205,0.00017826538972653405,0.00039356188662768507,9.853848040691872e-05,0.00037048806122859943,0.0004927066386564037,6.479045273891146e-05,0.0002786139648544672,0.0001683158223634246,0.00022638591135614117,2.9663664504931105e-05,0.00014867764254646281,0.0001877708579754839,9.48342193794852e-05,0.0004284974983451614,0.00014499524200634512,0.00013061314031604239,0.0004813513542089591,0.00017778019279676845,0.00025101285730780905,0.00026603206946518824,0.00020539624116078565,0.00024935570834037495,0.00017644984863833456,0.00029937207747051823,0.00024326282712613698,0.00023400030249807444,6.933675668518039e-05,0.00013831002961830723,0.0001021330481346807,0.0002167504564537847,0.0005205624853080024,0.00012981946918317035,0.00039418959443332394,0.00042097903268083746,0.00024075296843549694,0.00011810320015848289,0.00040032907994621414,0.00042487111315788324,7.640550602384282e-05,0.0005041637039537722,0.0003401448931927911,4.0117337476439754e-05,0.0001952836505916793
bp.us,3.0060689941403295e-05,5.6179485011604255e-05,0.00012783856723564405,0.00014628298586683329,0.0001574879218967311,0.00013516555561148656,3.2399545046870206e-05,4.6564101167225466e-05,7.797189844308008e-05,7.783296219164335e-05,7.340689793062547e-05,6.793070092376203e-05,4.268660935843397e-05,9.603599619380518e-05,5.620432589638797e-05,6.628288075122312e-05,5.4664149638602016e-05,0.00011035215718041699,0.00011162928747085735,9.340400322612683e-05,0.00010768470351740168,9.891109949204943e-05,6.562451639127968e-05,0.00015778548136429217,1.4443406385797523e-05,4.94946001493725e-05,0.00013729956244223587,9.85146133756375e-05,4.8202345943502825e-05,0.00013455739111560165,8.12394820696937e-05,0.00010037955435121043,6.24554209891503e-05,9.876509156490123e-05,4.473135612162836e-05,0.0001017747556255429,4.1757908639793344e-05,0.00011127449007017133,7.457234970325151e-05,9.824210761500542e-05,2.4832370980411123e-05,9.267591211961202e-05,7.480721001312351e-05,5.51393457088082e-05,7.963329026379027e-05,0.000117463834776314,4.2444246252219186e-05,4.186632190137997e-05,2.471254829935126e-05,3.979004683328515e-05,7.327106506768965e-05,8.60008279243954e-05,8.197819031314338e-05,8.447929528874607e-05,2.531973529980613e-05,9.443847624280247e-05,0.00013560304364814137,4.8946247666407675e-05,0.00010767638173721382,0.00012144771947817843,4.3390185149378884e-05,0.00012670097666629492,8.901091377537125e-05,4.11159856864015e-05,3.447359862331205e-05,9.185100091494787e-05,0.00012545842095053214,0.00010499146492764263,0.00010947443355929146,9.347879195139128e-05,6.654364773088602e-05,7.071201650654325e-05,0.00013234892388351663,7.514193098136747e-05,0.00013299371711130795,8.469072386389957e-05,0.00011346607646356161,4.31937610206053e-05,3.5864972757969404e-05,1.8432842648758386e-05,0.00011334071398982048,8.717657850893503e-05,6.878668361358505e-05,8.948208901284765e-05,4.7729729226503106e-05,2.666836632496404e-05,6.570403013649598e-05,0.00010603169478216045,8.057178077688641e-05,9.428328460533061e-05,0.0001304032057421224,9.938024358207907e-05,0.00011851249988566093,2.9635690389986435e-05,3.2713856115974726e-05,9.334996739865769e-05,8.765632348181722e-05,9.77738825107127e-05,5.6179760028900504e-05,2.317157873689855e-05,3.7008042834704766e-05,8.885412044858421e-05,5.6959851198903884e-05,0.00011719852993900709,0.00015393776209085718,8.333931442893104e-05,3.878071263641677e-05,0.00012789044912440888,3.403213841918943e-05,9.569492244194913e-05,9.383876525496735e-05,4.666989110393551e-05,9.313512689305505e-05,4.6737564603955775e-05,8.155206340309009e-05,1.4624680768009047e-05,5.604895204563443e-05,5.2275862327256825e-05,2.559853993511897e-05,0.00011507691596030166,5.639236581451564e-05,5.075877159142654e-05,0.00011800100054664821,7.278714107711086e-05,8.790108619907373e-05,7.971617509577328e-05,6.526006820971486e-05,7.583252545462683e-05,5.949640646363576e-05,9.011168565589334e-05,7.961178149146755e-05,6.778436349396336e-05,2.3843480047513617e-05,6.82113863917828e-05,5.2135865138537945e-05,7.994027347267071e-05,0.0001321038678243278,5.26975840246346e-05,0.00010265893430077756,0.00011953794558531676,8.893140554840183e-05,3.196068828597236e-05,0.00010884689074913727,0.0001275623227105672,3.2225158090948126e-05,0.00013555505456236365,9.262223732819046e-05,1.650737505943505e-05,6.423425233152573e-05
bpl.us,1.6837791503540564e-05,2.2439284316805078e-05,9.47212348618389e-05,0.00012968330365333884,0.00010667862656962817,3.2399545046870206e-05,0.00016641437607848032,5.035836441988254e-05,4.7527984458102204e-05,6.465651241974612e-05,9.543011045868931e-05,3.620586294803614e-05,6.683518455665604e-05,6.521910937128097e-05,3.366473008705961e-05,4.3339172098667416e-05,8.668943564894083e-05,8.838651132192285e-05,8.880750340637377e-05,5.390628817997519e-05,5.6044787590442144e-05,6.937188167965107e-05,4.360820218833605e-05,0.00010795511905477126,2.434301000494911e-05,8.161768105581235e-05,0.00010610519220419371,6.806234860727009e-05,5.146823883469914e-05,9.368241789737862e-05,4.9251908959818485e-05,6.476979203165392e-05,3.063199395539405e-05,7.932185664397312e-05,7.003060192778784e-05,6.48803961719143e-05,4.325375383719779e-05,8.03054419709075e-05,3.862970119842606e-05,5.89253293950232e-05,2.756829272362874e-05,4.847002182953572e-05,3.662742545172082e-05,3.9997420734105206e-05,6.412309494677631e-05,0.00010403308093336713,3.719657010383543e-05,4.446965928934638e-05,3.150760231096615e-05,7.719723622153777e-05,6.0146941461467464e-05,5.647318011026089e-05,7.269420975375712e-05,4.713215301497048e-05,5.0382554974948924e-05,5.7697245364574904e-05,0.00011572255097504479,8.190705110378704e-05,9.641685185648099e-05,8.305259168876597e-05,6.0788171906612244e-05,0.00010858369102981875,6.522916675700647e-05,2.595943622865853e-05,6.250813636583543e-05,5.853992747059866e-05,8.120843831633903e-05,8.910993483300288e-05,7.046953258434194e-05,0.00012036834126920925,4.1834344930838774e-05,4.6141289931061084e-05,9.326300833936398e-05,0.00011070930661187013,0.00011064977451882427,4.893125759942979e-05,8.211379554867056e-05,8.302680520929461e-05,8.086538275488679e-05,2.3032622042360728e-05,6.356110208005445e-05,5.126407242959553e-05,8.26229537527138e-05,6.104538470316683e-05,4.222214321826998e-05,1.932670605220552e-05,5.090724068873663e-05,7.739684843960605e-05,5.410033004299634e-05,4.821761596944272e-05,0.0001189626464059744,5.27852435102079e-05,7.258811856836467e-05,3.436545519435286e-05,7.19416297735752e-05,6.0726080069362965e-05,6.543039290704871e-05,6.583072121244637e-05,5.2106368671373085e-05,2.030256832985468e-05,7.281787656408596e-05,4.424882455781142e-05,5.658425539900055e-05,8.142990575435013e-05,9.99428072473582e-05,8.933161130326489e-05,4.813869847878323e-05,0.00019480690519530728,2.7263653383420386e-05,8.320267441130131e-05,7.584161145829037e-05,1.9226595814321947e-05,6.743236815469083e-05,5.96721745401162e-05,4.8464373229575374e-05,2.714124248165047e-05,3.0131056954972554e-05,6.395368598050199e-05,2.3695334997007384e-05,8.952124467403902e-05,3.5123829091340343e-05,2.7982484412969363e-05,8.018481855709548e-05,3.903141372477276e-05,5.3459565075171365e-05,5.4025950613526954e-05,5.404974195080757e-05,4.7135624752386775e-05,3.434109227162383e-05,5.3101547370786235e-05,4.441378414606673e-05,7.386659481492011e-05,4.400945983020013e-05,3.2365567921573944e-05,4.1718923940235704e-05,3.6372106730670095e-05,9.338208816943418e-05,3.783141658610119e-05,7.546531453832994e-05,7.800175844236211e-05,5.095621658078898e-05,6.772814353365496e-05,7.012817549962558e-05,9.245281813377302e-05,2.7211044612459608e-05,0.00010832642646727156,7.490666401380663e-05,1.4222377692639061e-05,2.687113638513641e-05
bpt.us,2.1759330697474273e-05,2.1555173728438126e-05,0.00013390026689438298,0.0001522145524479419,0.00013832959012573587,4.6564101167225466e-05,5.035836441988254e-05,0.00023872786185684698,6.320431596727104e-05,8.79034953071718e-05,8.145006489410763e-05,5.235785276025473e-05,5.989655735420293e-05,8.928195470026727e-05,4.3162568023255044e-05,6.176369214101225e-05,7.334026451379845e-05,0.00010330339474695498,0.00012212624856430856,8.312351043075834e-05,8.423695568793902e-05,9.496480908676305e-05,5.3840803561617785e-05,0.00015776100465571507,2.3815824485284863e-05,7.07952341986524e-05,0.00014938161090547337,0.000103343551171309,9.450830274986984e-05,0.0001340996711596433,8.043226504965881e-05,8.483385168982757e-05,4.214947891679113e-05,0.00010597325418922027,5.788266238823161e-05,8.697450764842323e-05,5.795881713708094e-05,0.00010458855779449608,4.930155190928473e-05,9.09867711759403e-05,1.631751854710983e-05,5.356854690888769e-05,4.0669098305920004e-05,5.11386436536337e-05,8.205680334591989e-05,0.00013714089874046362,3.456309517381188e-05,3.1908241043401764e-05,2.166165560846499e-05,5.7036678606402144e-05,7.741762251454388e-05,8.702365258562205e-05,9.508348222512302e-05,7.183746480134326e-05,4.4722964223206856e-05,8.074290320462263e-05,0.0001105324146759056,5.639881272056801e-05,9.551006189128028e-05,9.394979470394835e-05,4.324348489415333e-05,0.0001386442406549457,8.439361934930167e-05,2.8221489195882692e-05,4.749445022324045e-05,7.669492801475025e-05,0.00011278644974071716,9.823733282396897e-05,0.00011000922790591716,6.365675533789292e-05,6.047276333686816e-05,5.5649185411440455e-05,0.0001161109308856158,0.00010416570404702564,0.00012456923137625067,7.317887493146861e-05,0.00010626309705420473,6.853911701120934e-05,6.156626720389136e-05,1.009532301106991e-05,7.86609018380978e-05,6.305627664867787e-05,0.00011502641159794716,8.277267432827425e-05,3.1424386481418655e-05,7.51502430054116e-06,6.15184138330318e-05,0.00011526498908848942,6.377060556900441e-05,5.5774535503760426e-05,0.00014841614095168835,7.881342425482995e-05,0.00010151903457113857,4.332314411535534e-05,6.725204804365728e-05,9.572013022681728e-05,7.755165240931124e-05,7.165616278140493e-05,5.855749031770722e-05,1.2732574987204821e-05,5.064818088844934e-05,6.28335303711382e-05,0.0001067135307543331,0.00012480543915785057,0.00014962800147673105,9.448950791381315e-05,2.7958719274508032e-05,2.351199382627679e-06,2.1402182947968098e-05,0.0001333104101993259,0.00010189397109850727,1.7404155809199986e-05,9.069020504394191e-05,8.699935623617219e-05,6.981581665963759e-05,2.629334785710066e-05,3.497146742067998e-05,0.0001026818898856733,1.529107088210067e-05,0.0001280845571564395,2.6829670890870964e-05,3.694472865947741e-05,0.00011652222594576734,4.953816707691006e-05,7.972804525881761e-05,8.036768327619151e-05,6.985003537254873e-05,7.335926166872837e-05,6.612626934100012e-05,7.287217109230392e-05,6.610575754370324e-05,7.49024387471113e-05,3.0472413315678658e-05,3.946812843304558e-05,3.130035643009929e-05,5.664493438037486e-05,0.00012845792722224886,4.40662973642007e-05,0.00010125360764427358,9.785139409857723e-05,6.410669489367941e-05,4.987973293912086e-05,9.16808872588436e-05,0.00012961942289913474,1.532196472324682e-05,0.00013507005092831353,0.00010133043629118965,3.804388122777109e-06,4.451641645845598e-05
