,abev.us,adm.us,alco.us,ande.us,apei.us,atge.us,avp.us,bg.us,bgs.us,big.us,bpi.us,brew.us,brfs.us,bti.us,bud.us,cag.us,calm.us,casy.us,ccu.us,ceco.us,cent.us,centa.us,chd.us,cl.us,clx.us,coke.us,core.us,cost.us,cot.us,cpb.us,cresy.us,cvgw.us,deo.us,df.us,dg.us,dltr.us,edu.us,el.us,epc.us,farm.us,fc.us,fdp.us,fizz.us,flo.us,fmx.us,fred.us,ftft.us,ghc.us,gis.us,gpx.us,hain.us,hele.us,hlf.us,hrl.us,hsy.us,iba.us,imkta.us,ingr.us,ipar.us,jbss.us,jjsf.us,k.us,kmb.us,ko.us,kof.us,kr.us,lanc.us,linc.us,lndc.us,lope.us,lrn.us,lway.us,mdlz.us,mgpi.us,mkc.us,mo.us,nus.us,nwl.us,pep.us,pets.us,pg.us,pm.us,ppc.us,psmt.us,rad.us,rev.us,safm.us,sam.us,seed.us,senea.us,sjm.us,sptn.us,stkl.us,stra.us,stz.us,sumr.us,syy.us,tap.us,tgt.us,ths.us,tis.us,tsn.us,tues.us,ul.us,un.us,unfi.us,usna.us,uti.us,uvv.us,vgr.us,vlgea.us,wba.us,wmk.us,wmt.us
abev.us,0.00019555855480557298,5.029033034060955e-05,7.171543513359722e-06,9.347474690726724e-06,6.699058639116307e-06,6.708762078544289e-06,5.6011265632407824e-05,1.1469398229906734e-05,3.1690043677915395e-06,9.864083601879106e-06,3.570363003080719e-05,-7.33235514589658e-07,1.3973366120866322e-05,4.106171823492834e-06,1.3040591584001008e-05,2.9848526674701934e-05,7.858464896565717e-06,-2.0338277059116966e-06,1.8708132643639458e-05,7.698493202745308e-05,2.491588889982503e-05,2.1772751785882087e-05,-1.4114181379114996e-06,5.4217037752663105e-06,-1.1935701107151135e-07,2.5421112410513783e-06,-4.773435005131064e-06,3.856756281694625e-05,2.5791053128986086e-06,9.714320319390909e-06,2.8556848070978527e-05,5.592011212093321e-06,8.450216437320368e-06,2.892444072585985e-06,8.252223099603356e-06,4.3326445731511086e-05,3.0057496777734445e-05,1.2051869738397998e-05,4.120306838590629e-05,5.219636539224159e-06,-7.0869626595376265e-06,-1.3997573056447966e-06,4.224964841690156e-06,3.0838750828908303e-06,1.9375126496803917e-05,3.924661634704196e-06,7.066352047976642e-06,7.383670709206049e-06,2.763167197892656e-05,-1.383021154847603e-05,1.3111164863726085e-05,7.014953734539219e-06,2.2517653260914267e-05,3.837758186096625e-06,3.665694151659988e-05,4.737792686870462e-06,-1.152460866706055e-06,1.1091586698942886e-05,6.115075916255033e-07,-3.8603992759429776e-06,6.637018073595131e-06,2.682083171467759e-05,3.1394313828066505e-05,3.181196841001195e-05,1.6334224041256745e-05,2.9903522181613533e-05,-2.5095561243521096e-06,1.2644999758222741e-05,1.5960597108472149e-06,9.771255764112053e-06,1.0336359815301268e-05,1.6714189266378472e-06,3.341627095067286e-05,3.688974252773752e-05,3.727913513457602e-05,3.4643642276649115e-05,2.4278854893045095e-05,5.7597044915741405e-05,2.501694671397192e-05,5.6052744139045005e-06,2.5947129570952946e-05,1.061282774791155e-05,-2.8005946735396315e-06,-2.804722358311929e-06,7.416063553808117e-06,1.7668988229131838e-05,-6.077042223938992e-06,1.4146491199158572e-05,3.206360905865665e-07,4.511736511072221e-06,8.409986769205616e-06,4.135786555123954e-06,9.496853675030888e-06,9.96588126408152e-06,1.0740479818818266e-06,6.972917480982137e-06,3.105198268144043e-05,8.611575780626778e-06,3.610562619833498e-05,1.9455151253155235e-06,-2.4282371796624075e-06,8.19220713124391e-06,2.025141238366399e-05,7.109523136875029e-06,6.398084414313263e-06,-5.656403880099573e-06,3.5815406122598005e-06,6.993618950485216e-06,7.785999566419213e-06,-3.983308105097011e-06,-4.5087667303958254e-06,4.0269870221143365e-05,-2.0833171450827588e-06,2.5380506938911267e-05
adm.us,5.029033034060955e-05,0.00015877741282339374,7.017826349416218e-06,1.2795768991095023e-05,1.3752434902541622e-05,1.2143690279326517e-05,6.01562193839878e-05,2.0338611096062883e-05,-2.4725608492097393e-06,1.2468524999656468e-05,2.4494838261688815e-05,-2.518417085023237e-05,1.30520880938976e-05,5.927575742357015e-06,8.878131741998064e-06,3.819123884832327e-05,1.0224471022066752e-05,-6.5618817893684345e-06,1.0708570578101229e-05,0.00010077766107322257,2.5662623199885566e-05,1.666406647614206e-05,-5.444961139862252e-08,4.811801090637513e-06,-3.7436644241475264e-06,-5.420637560237158e-06,-2.1491847020768766e-06,4.079425383498965e-05,8.918924049093468e-06,3.000160577505324e-06,2.5836364244388426e-05,7.543469560092945e-06,9.974373751223406e-06,1.3834127695005388e-05,3.3607555913646697e-06,3.607881813697914e-05,5.323795799569615e-06,1.6552963615338964e-05,5.3685046858943326e-05,1.0532552782264783e-05,-8.3352631310044e-06,-4.829146942211368e-07,-2.284893955514701e-06,9.470339870167092e-07,6.788702239538449e-06,-7.023534550256341e-06,2.8345158572785217e-05,2.557628961027728e-06,3.5210301437182015e-05,-4.88527795825971e-06,8.566899323882128e-07,7.163814655924493e-06,6.883868883171447e-06,2.7321797107427024e-06,3.2943748989880465e-05,2.8573188127406424e-06,1.664284264261527e-06,2.0520069166726705e-05,3.5820027710871476e-06,9.674328763674278e-06,2.4735103380215012e-06,3.6290285086951747e-05,3.3827884405650555e-05,3.908126439166852e-05,1.0569488852123512e-05,4.1227622608135875e-05,-5.458751623423758e-06,1.7760298745980475e-05,5.004628050613584e-06,8.632335771452248e-06,1.8335268916337146e-06,7.872439852785915e-06,4.053028463693416e-05,2.629118933674861e-05,4.297732432357399e-05,3.721053288347392e-05,1.7196100430238384e-05,6.817805097367886e-05,3.5970612726178744e-05,4.123138711033282e-06,3.40275853118765e-05,8.340076191670867e-06,1.0881817500285353e-05,4.556655578370177e-06,8.786591134955056e-06,2.336944457217591e-05,-3.3881039936704513e-06,9.222337435551319e-06,3.1459904663997196e-05,-5.9927712507257e-06,2.296163409428929e-06,7.10200946031148e-06,1.4610367849344634e-05,1.4612012041353396e-06,-2.582622755559017e-07,8.395500487443527e-06,3.8326398125239324e-05,9.31644668661512e-06,3.8945001973185416e-05,3.44713862979541e-06,4.176261463708232e-06,1.1320458022827873e-05,8.104887502824323e-06,8.627547196091677e-06,9.938016645431915e-06,-5.726328019733085e-06,5.177673423387065e-06,8.415592450295745e-06,-4.1780895300319937e-07,-2.3283841575269447e-06,-9.128259045109758e-06,4.3859495487982656e-05,-4.238132668790802e-06,2.8052315048001605e-05
alco.us,7.171543513359722e-06,7.017826349416218e-06,0.00041330561795835873,7.605129083918011e-05,8.278002637400566e-05,5.231435758235967e-05,8.74451175475573e-06,5.425632125790589e-05,5.6653782874301506e-05,3.9522570590222754e-05,6.86934015378753e-05,7.741126829866389e-05,3.91726797934204e-05,3.684387563021648e-05,5.370117782187508e-05,2.1153979920617386e-05,5.5836483030797576e-05,5.1074469407118216e-05,1.9812401231379453e-05,3.821774607903321e-05,9.162344191283884e-05,0.0001258318174312552,2.8999123171402393e-05,3.1844862582157905e-05,2.6502961148361456e-05,7.798700393460722e-05,7.743550145007913e-05,5.964910941625242e-06,4.3684846342164066e-05,2.6903075219120778e-05,6.489234808800142e-05,9.56273579463716e-05,3.875704595812233e-05,5.9379138854701177e-05,4.0937284488686086e-05,3.6075241172507526e-06,8.514775297372458e-05,6.042014719563988e-05,1.392146224839102e-05,0.00010822399386984238,0.00015644469951641405,7.038398475372192e-05,9.138739378556408e-05,3.664161521690656e-05,6.467129542424386e-05,0.00011454854154825209,5.543527904864278e-05,5.407706409942859e-05,5.8578414075373205e-06,0.00014995475185363195,6.062058325529935e-05,0.00010819916836131374,4.876427573239489e-05,3.645266843784299e-05,5.339097922544211e-06,-5.8964331927337475e-06,0.00011181732674440755,6.141158803586875e-05,0.00012335421124951793,5.8991782668396434e-05,7.099622244307584e-05,1.3306376191242939e-05,-2.008009228596176e-06,-1.3132961373484889e-06,5.347161033330257e-05,9.427353062339523e-06,6.381194221440547e-05,0.00010859882916878839,0.000131393034841303,7.648717253681496e-05,0.00010039335241429137,9.394737775992759e-05,2.942514502471025e-06,0.00013578053027245892,1.1851310148049188e-05,9.679866047134552e-06,5.992016152849713e-05,2.112762887412579e-05,9.418994010540196e-06,6.85974826624992e-05,7.176695325206285e-06,3.719028909495684e-05,8.519078308138507e-05,8.626084465194087e-05,0.00010700955124112705,0.00012524466621646697,3.1681372184833094e-05,6.413515084732482e-05,8.588329015210665e-05,0.00012359648857595415,2.9545469459975003e-05,0.0001041807533388467,5.4957822529718275e-05,9.074061292863133e-05,5.898308388261559e-05,8.295482074659247e-05,1.5153659510333478e-05,4.3586590303638225e-05,9.718244472643067e-06,5.8836988098441024e-05,4.7204328739966974e-05,4.179554127666218e-05,0.00015306405204693936,3.912714424110188e-05,4.2004714496900385e-05,9.074497460538457e-05,6.862354215598282e-05,0.00010691928107901714,8.707523127618008e-05,4.404985342626316e-05,0.00011921802334659883,1.3439046552531989e-05,7.386023539041894e-05,-5.99229388213153e-07
ande.us,9.347474690726724e-06,1.2795768991095023e-05,7.605129083918011e-05,0.00035290010050525664,9.116040446625693e-05,5.951064103379163e-05,8.394618650644e-07,6.743889662778486e-05,7.458611178459805e-05,5.4213023423902755e-05,9.480095000885052e-05,0.00010162634443410951,6.378876129977067e-05,3.785072709694424e-05,5.1095824281392604e-05,-4.841171134061205e-07,6.207346743121502e-05,6.0557864989826907e-05,3.253313682844882e-05,-1.2577175499531796e-05,6.090806501286173e-05,9.51869033235888e-05,3.7855289270302864e-05,2.9734027618668624e-05,2.9720220533788395e-05,6.844791662134696e-05,7.502408395537278e-05,9.750342601398072e-06,7.016820338184611e-05,3.2749550784064625e-05,7.294058654323056e-05,9.356041469226907e-05,4.003502867564959e-05,7.28947736160538e-05,5.007626198691692e-05,-2.224122148380861e-06,9.249034570066326e-05,7.169354223467255e-05,1.4843943158992519e-05,9.487704846210742e-05,0.0001247849507747585,6.986048996363096e-05,7.462754714249483e-05,3.565827072148685e-05,4.842742847064875e-05,8.151412316281268e-05,3.796874016614358e-05,5.17795905607579e-05,8.829557830089563e-07,0.00012647080554629276,9.14350750468103e-05,9.617086040908803e-05,8.390422918781135e-05,4.472138993456511e-05,-7.932349573665873e-06,3.7093878200647855e-05,9.063620407243536e-05,8.674634028159951e-05,0.00012000002807339099,7.721893880013895e-05,8.242075230213461e-05,-2.142311497167444e-06,-7.400455978863052e-07,-2.1041666006875532e-06,4.906154916439088e-05,-1.6801268529541553e-06,6.379091934203621e-05,9.156484643859155e-05,0.00011998221443312835,8.410827088962417e-05,9.864311423375554e-05,9.250242938439133e-05,-4.809290369552057e-06,8.194350259758245e-05,-3.5484917335786967e-06,-2.400107868799508e-06,9.738444150587221e-05,9.180921178904827e-06,3.3832303119921517e-06,6.923141767287058e-05,-2.6928680700653957e-06,4.2988951948260544e-05,0.00012797232172172463,7.463554489076535e-05,0.00011624963889940019,0.00012177753176649048,4.965228814703094e-05,6.858798983128615e-05,9.382305668333714e-05,0.00011637873864649399,3.654845213428414e-05,0.00011667143370869435,8.7906496859147e-05,9.214337678546936e-05,6.275286641134279e-05,6.762414572590189e-05,2.5174709421904573e-06,3.985053071821537e-05,4.6444667656034015e-06,5.209947880596626e-05,4.551160798107622e-05,6.711564893727132e-05,0.00014442985843238042,4.0888364536155485e-05,4.551335485360149e-05,8.920683994089831e-05,8.700399369833754e-05,0.00010593449925090763,8.888102266874564e-05,5.397990432071236e-05,8.105139493078315e-05,1.5591884718461137e-05,6.289446977268238e-05,8.530877021075739e-07
apei.us,6.699058639116307e-06,1.3752434902541622e-05,8.278002637400566e-05,9.116040446625693e-05,0.0004915830662683757,0.00013240391257465615,1.6183536497104084e-05,5.5632063956692534e-05,6.635984083636122e-05,6.810523265628627e-05,0.0002044352017817061,7.342764563393183e-05,4.9297273640757195e-05,2.6453021755511362e-05,3.144127911902192e-05,1.766676515870198e-05,7.511060377846314e-05,6.941716400695167e-05,2.2087541031523707e-05,1.5714060209871793e-05,9.455172354355205e-05,0.00011317407310033549,3.185325215566881e-05,2.2331356480583276e-05,2.8710241615917603e-05,6.0004631569646926e-05,9.05860888238248e-05,3.6873898443439776e-06,5.466297279999658e-05,1.751773583628299e-05,3.893050796807551e-05,9.44959165649819e-05,3.0729794980781634e-05,5.364251331727743e-05,3.7465517753259694e-05,5.758373370610954e-06,0.00011047176410645646,5.933756321717145e-05,1.7961792914464823e-05,0.0001258930289487201,0.00013050977007884895,7.056784169291875e-05,7.930045879671175e-05,3.586235374508734e-05,5.175721740588633e-05,9.383867734878628e-05,3.5932899357897035e-05,7.456007129514969e-05,6.2289548360655325e-06,0.00011626440446643225,6.558537104691951e-05,0.00011916605981062594,8.918292982649297e-05,3.3988004676387404e-05,5.579566346057871e-06,1.4549425507940154e-05,7.984968813115812e-05,4.739075458296695e-05,0.00012155650869066372,6.566388103750566e-05,6.923265966436567e-05,3.869764820209346e-06,4.573793279678945e-07,1.156936887504518e-06,4.6949048483427404e-05,4.822559068347323e-06,4.985480732918844e-05,0.00020397871579086213,0.00011996393946466923,0.00017577981924041502,0.0001498399324347191,9.277909300627505e-05,4.273724694455855e-06,7.919823082683919e-05,2.5318008148829237e-06,-7.548494084238069e-07,8.757051578702262e-05,1.594881217652728e-05,-1.2252276503569453e-06,9.400892159224437e-05,7.3858541858739805e-06,3.054958525844493e-05,0.00010327708859436726,8.253630265860759e-05,0.00010423681571676357,0.00013187243834639033,4.182497075312969e-05,7.27585562081401e-05,5.851166429528906e-05,0.00010930251894129901,2.6622125370273906e-05,9.298343057413827e-05,5.3253317960704607e-05,0.00017105061849095803,4.9729686267840947e-05,3.937278375133717e-05,1.9635918950421345e-06,4.529494466455325e-05,-2.8290939572704116e-06,4.2569688006186445e-05,4.394767966818529e-05,5.309915347702309e-05,0.00015219561041792025,3.2654958075906265e-05,3.453132157424513e-05,8.987928769513094e-05,6.980363341561696e-05,0.0001603156124982177,7.760589677143127e-05,4.876036305577801e-05,6.882807895410681e-05,4.4697501559932254e-06,6.156442889424852e-05,6.836699474886159e-07
atge.us,6.708762078544289e-06,1.2143690279326517e-05,5.231435758235967e-05,5.951064103379163e-05,0.00013240391257465615,0.00034025616751466885,1.3106325603772688e-05,6.26031310512323e-05,5.078148426123723e-05,7.846824735618119e-05,0.0001938372665602197,5.4012995683019016e-05,5.7600738143860634e-05,3.0266314836140155e-05,4.1440926915327705e-05,2.3007542109519142e-05,5.1240204984847934e-05,4.944396942048712e-05,1.5459728701034463e-05,5.1273563591903576e-05,6.492113571219079e-05,7.814475047794815e-05,3.866384091153283e-05,2.872728691710772e-05,3.386794573976553e-05,5.229454643015682e-05,5.2192323089583114e-05,1.3302332391145569e-05,4.38156351007547e-05,2.3032308720028663e-05,4.1962522812518025e-05,6.655087419247498e-05,3.663223257296768e-05,5.26189579498067e-05,4.8035994737387936e-05,9.993249253203744e-06,0.00014029098881984634,6.362683980322497e-05,1.7118868635100647e-05,8.063418761185268e-05,0.00010943787465367532,4.978192201945316e-05,5.651126570196968e-05,3.9368289698195716e-05,4.411153752401591e-05,8.544963797291786e-05,5.2685259444003764e-05,8.846837017071649e-05,1.4267905313210867e-05,9.981322642182077e-05,6.176192989965873e-05,9.512994126752e-05,9.451811999030135e-05,4.0467865868914976e-05,5.919183154194201e-06,1.5538680207507445e-05,6.992419214190044e-05,6.721900072750965e-05,9.60837613743193e-05,5.175422671623653e-05,5.485178604212564e-05,1.1719587635212635e-05,4.695446840436051e-06,9.819709575043e-06,3.5621658780471875e-05,1.271651429828973e-05,6.27877452739557e-05,0.00018619357092888275,8.275271197747483e-05,0.00015044122884482774,0.00012304326139718749,5.837980086059097e-05,1.0857915169424287e-05,7.36668340185963e-05,1.3540773382097534e-05,6.960092767801246e-06,9.809789010103562e-05,1.822634808626307e-05,6.3478419275855375e-06,8.240786824472517e-05,1.0464429057822545e-05,2.2057219725628523e-05,0.00011199049055883081,6.301006357298148e-05,8.04753866149722e-05,9.389295166272901e-05,4.1735591380751545e-05,6.46055792816138e-05,5.418824518449787e-05,7.747158217533854e-05,3.086776035309292e-05,6.06688666726506e-05,6.024013953879596e-05,0.00021474414419132346,5.634655799517602e-05,6.959016156208934e-05,1.280232314239763e-05,4.595787305357766e-05,9.326404623595538e-06,4.698640680884369e-05,3.8462882145976274e-05,4.4703940867916755e-05,0.00011362703899791879,3.287875177545743e-05,3.419985691287216e-05,7.069992428725911e-05,6.947559508789568e-05,0.00014479886174218035,5.550140279442122e-05,3.1726470652776776e-05,5.3716223829820474e-05,1.922662275406952e-05,5.430686434965313e-05,1.8918110348103272e-06
avp.us,5.6011265632407824e-05,6.01562193839878e-05,8.74451175475573e-06,8.394618650644e-07,1.6183536497104084e-05,1.3106325603772688e-05,0.0002771711794025565,1.4870742661337567e-05,1.9320747832893636e-06,1.2434787443137444e-05,2.0539259308382646e-05,-1.1687856327663632e-05,1.7758248561006486e-05,9.232356619107087e-06,1.3685968915010265e-05,4.0787935733919136e-05,5.904245101265413e-06,-3.8422172119079246e-06,1.2803140969110042e-05,0.00013941066629568063,6.145017307131345e-06,7.803539482188983e-06,4.525899733250219e-06,6.471303152495947e-06,3.819689233732973e-06,-1.7034282098939522e-07,-6.2297318426883014e-06,4.1160029237646496e-05,9.177739271782917e-06,1.3730199370991574e-05,3.6326172276235755e-05,8.275136527707349e-06,1.6084202362303845e-05,2.086465272631705e-05,8.891663597528065e-06,3.640090867393787e-05,2.4464144001960487e-05,2.703201790771297e-05,6.911478027955213e-05,1.8472483675724423e-05,-1.0111585904627671e-05,2.9678993713984777e-06,-6.020993750026879e-06,4.92877939199035e-06,4.1461574282716e-06,3.193172329777975e-07,3.582278620848676e-05,1.4883291766530788e-05,3.303404248447392e-05,-4.950756458203627e-06,8.78322602352238e-06,1.4003161686667264e-05,1.639941709794132e-05,7.527247953038301e-06,4.210597981013785e-05,7.914734921214665e-06,2.879781256934491e-06,1.9692044803545836e-05,7.031832394907965e-06,2.1931484347749676e-05,8.490819688481756e-06,3.4560190447919135e-05,3.8671032394247e-05,3.450742721619523e-05,1.6311334200197054e-06,4.600562155740151e-05,9.413096753011209e-07,3.4421925792711354e-05,-1.3394362095934971e-06,1.5047143405870758e-05,2.393049132474321e-05,1.334314554388239e-06,3.624941058161015e-05,1.2973062956714162e-05,4.360835705343611e-05,3.393022757618248e-05,1.0796008103091516e-05,8.384189539563132e-05,3.283687109222921e-05,1.080170088207315e-05,3.900424257008403e-05,6.661301035291739e-06,-4.508882685468569e-06,-4.141824816847496e-06,1.7450261157723225e-05,2.3644306164758082e-05,-1.496035111291766e-05,6.51277645041315e-06,4.425445323661627e-05,1.0856536813869866e-05,1.089319707141678e-05,1.3315443690331861e-05,2.628898264852431e-05,1.3426153965472878e-05,9.525589972155596e-06,3.0856632426545128e-06,3.5383556217142565e-05,1.082469612761257e-05,3.882022714460327e-05,-8.377844091484553e-07,9.549625249882796e-06,7.571774292144255e-06,1.8221723732611313e-05,1.2534751056658181e-05,1.1813749148110937e-05,2.08691071583416e-06,-1.5214418910071313e-07,2.154073229676346e-06,8.439983018166293e-06,-5.4737652745045225e-06,-2.1491922638473917e-05,5.361983752371404e-05,-1.8264187085488071e-06,3.0559975263246765e-05
bg.us,1.1469398229906734e-05,2.0338611096062883e-05,5.425632125790589e-05,6.743889662778486e-05,5.5632063956692534e-05,6.26031310512323e-05,1.4870742661337567e-05,0.00017749685747847472,5.008196962578578e-05,5.280829822571533e-05,4.814478742333146e-05,5.475633386966726e-05,6.776863795021618e-05,3.239766570671021e-05,4.1886678829445514e-05,1.1075507606266812e-05,4.0787735200886716e-05,3.374094085855135e-05,3.33736635733438e-05,2.3893252042234587e-05,3.800539564748008e-05,5.641470467576236e-05,3.1066596502875425e-05,2.6144381771708487e-05,2.643696757482481e-05,3.8440294175165765e-05,4.300033291688918e-05,8.02805077249821e-06,4.050439006359641e-05,2.5164771567092245e-05,5.6920314330695706e-05,5.474766823137121e-05,3.5011972671343806e-05,6.315994489408352e-05,3.2276072374215156e-05,7.568732807861089e-06,7.10872144147725e-05,5.576792250745265e-05,1.6347684922084104e-05,6.679989565503466e-05,6.17794414772107e-05,5.915507722883758e-05,4.4415257192550556e-05,2.7287758982512806e-05,5.3937776197260636e-05,6.38598902599865e-05,5.41722722787011e-05,3.3403277124091536e-05,5.851417147020503e-06,7.095742448691287e-05,5.6882360836044016e-05,6.740986144798524e-05,6.251458890329908e-05,3.458687782543245e-05,3.1197482831537508e-06,1.739581227550836e-05,5.645592100622135e-05,7.335027793712334e-05,7.38744571828473e-05,2.95465594376693e-05,4.165707872277846e-05,8.739455429927473e-06,4.823613920860862e-06,8.18081286438502e-06,4.83238251388852e-05,1.3473656657313538e-05,4.4538760891251386e-05,7.80573435988854e-05,6.974263100091441e-05,5.362447535983125e-05,4.733366877745316e-05,5.755687777426346e-05,4.620485588383175e-06,3.791731822409868e-05,8.326293653811899e-06,-1.6837412807152752e-07,6.545174818654234e-05,2.4271889295905648e-05,4.646546150510204e-06,4.4335876387690664e-05,5.0494975481596425e-06,3.63943332037449e-05,8.394377317144004e-05,6.170588906613063e-05,7.691424879843986e-05,8.975160732661877e-05,2.380813547209896e-05,3.9482245430133715e-05,7.072061456481901e-05,5.163096366772347e-05,3.1521748144866674e-05,4.787437664584306e-05,4.338275035637661e-05,6.070867609590606e-05,4.688652061691611e-05,4.668546256341241e-05,9.660894383354384e-06,4.334022694727226e-05,9.862063760485608e-06,3.195967767724921e-05,3.4478298014990484e-05,4.7010629722751556e-05,7.629483794941568e-05,3.5154262961233926e-05,3.7114114464378606e-05,4.662834028888804e-05,6.0591313776710496e-05,5.6978853182835107e-05,3.9147384199961325e-05,3.1930139180946385e-05,5.4450977718505856e-05,1.8405562176962152e-05,3.995552755239928e-05,9.84320719434045e-07
bgs.us,3.1690043677915395e-06,-2.4725608492097393e-06,5.6653782874301506e-05,7.458611178459805e-05,6.635984083636122e-05,5.078148426123723e-05,1.9320747832893636e-06,5.008196962578578e-05,0.0002493869762461958,4.569326688553655e-05,8.746550990768174e-05,5.931771780451038e-05,4.925828853952404e-05,3.227846486936466e-05,3.7131658867871605e-05,4.705791901358114e-06,6.408903631178671e-05,6.033516862053843e-05,3.445207485300758e-05,-6.771900058407041e-06,4.3321892212296354e-05,7.430113959335609e-05,4.199896990187807e-05,2.3673034867247868e-05,2.7361728034110863e-05,4.879757421051945e-05,6.783419153248939e-05,-7.670351261433296e-07,3.8742295848726156e-05,3.3093904409871894e-05,5.604141524683298e-05,6.823285962058185e-05,3.281763104442876e-05,5.852797776507045e-05,3.4045961267958757e-05,7.702558481613513e-06,6.242555141671386e-05,5.217703004017952e-05,8.465201354304111e-06,7.604384853163806e-05,0.00010489676810659717,6.70888677202907e-05,6.824696503832743e-05,5.068862244090858e-05,4.140105893552272e-05,6.878067780938837e-05,4.0709959517702786e-05,4.404510356353609e-05,3.962895586084494e-06,9.528984455982658e-05,8.020839692870441e-05,7.82094706740448e-05,7.715668074919149e-05,4.767917424380925e-05,5.151820862697469e-06,1.8427373904183628e-05,8.253256779598257e-05,6.83254593789868e-05,8.806565460083628e-05,6.037538643172752e-05,6.82056994582099e-05,9.669332442473136e-07,-2.1044555088260713e-06,4.545963198142573e-08,4.6141365354607656e-05,5.797233116001534e-06,6.630412787189464e-05,7.812141036091981e-05,0.00010597081411990486,5.846826698751289e-05,7.091375886216201e-05,8.364662713343929e-05,5.086998217248218e-06,6.194301998983513e-05,6.003830129121103e-06,-1.1904219450136378e-06,6.264384925456973e-05,7.724745178068112e-06,-1.7913381291853279e-06,5.5535674240822986e-05,1.1121596712823744e-06,3.308749100600281e-05,0.0001250872586099632,8.368608911159188e-05,7.671542509453359e-05,9.718920632864156e-05,5.164907285622106e-05,6.250057566825092e-05,6.783446127948834e-05,8.887034836381176e-05,4.719718229842378e-05,7.735749430001177e-05,5.7394587617186754e-05,6.092714794007564e-05,5.584211232101941e-05,6.074512630717893e-05,7.232623551164778e-06,4.2791655764347355e-05,1.7809047617950596e-07,5.488947807294013e-05,3.072707157536773e-05,5.719268706892409e-05,0.0001144403030401426,3.2083899247175005e-05,3.429718441559532e-05,7.190389500488636e-05,8.64833398034892e-05,7.604988452158224e-05,6.891661834317177e-05,4.9269652349682206e-05,8.121944081651709e-05,9.445870969282262e-06,5.882841830928343e-05,-2.787914177325996e-06
big.us,9.864083601879106e-06,1.2468524999656468e-05,3.9522570590222754e-05,5.4213023423902755e-05,6.810523265628627e-05,7.846824735618119e-05,1.2434787443137444e-05,5.280829822571533e-05,4.569326688553655e-05,0.00026173984508182855,8.564591996540848e-05,4.445933306471415e-05,5.434130091308911e-05,3.384618870099582e-05,4.501178281635503e-05,1.1788366796906819e-05,4.9240285554461644e-05,5.706489529288602e-05,1.8800703506498597e-05,-1.135698532387734e-05,5.979259562710394e-05,9.133701005999813e-05,3.765847958520402e-05,2.596931692984583e-05,3.339633214493788e-05,4.832295283249182e-05,5.3421102633613036e-05,1.382125994166294e-05,3.7717464918901884e-05,1.5546755201390305e-05,4.2156473691046593e-05,6.853648349499089e-05,3.609057178113665e-05,5.5664275289377144e-05,6.195385211304432e-05,2.206584295617306e-05,6.268708922116457e-05,6.448209699147294e-05,1.174766152713791e-05,5.7828878470689776e-05,8.740893428315128e-05,4.727918633148685e-05,5.3505816914202744e-05,2.9588531756183894e-05,4.563656258339275e-05,0.00010754253847361981,3.681248548985643e-05,5.161900399304374e-05,8.684842997078983e-06,6.87163041675099e-05,7.032321979382573e-05,8.328019497895903e-05,9.902249428998159e-05,3.432559134186179e-05,8.307301663868715e-06,1.4577321335169368e-05,6.446855245116757e-05,5.6807496653002544e-05,7.639280980096153e-05,4.586034898826187e-05,4.571513327007417e-05,7.61399349276553e-06,2.2419207789682267e-06,2.6267042578279936e-06,3.788998827564809e-05,4.3471834630495865e-06,4.978842699811072e-05,9.485294560739425e-05,9.109977118281138e-05,7.308197200032914e-05,8.936817547101531e-05,5.688294811907316e-05,1.0047446412713048e-05,6.381730139775065e-05,6.369784263931751e-06,3.172457764405504e-06,6.842628427783735e-05,1.633378005581165e-05,1.0357351353918933e-06,6.435360260250235e-05,5.691742257196988e-06,2.8386607472080812e-05,9.34084367604936e-05,8.673818736838648e-05,8.040709647247559e-05,8.97781657065595e-05,3.238619247346487e-05,5.0163637337461345e-05,7.692495398584044e-05,6.93280345392245e-05,3.4755449102102256e-05,5.769039082963225e-05,3.473945395458986e-05,0.00010436141834652458,5.32375770361037e-05,5.539450990894054e-05,9.266837679985462e-06,3.9196809338893507e-05,1.6571490451654273e-05,4.2808267897421675e-05,1.868016987361861e-05,4.3934560301367053e-05,0.0001227097339589999,3.410565220027632e-05,3.6224645299251836e-05,7.32912670437193e-05,5.537041147236472e-05,6.745850535384136e-05,5.159045785222116e-05,3.207669105266352e-05,6.0824882508240766e-05,9.960571826490765e-06,4.659810107479271e-05,2.650395754908648e-06
