,aap.us,abg.us,aeo.us,ahc.us,ain.us,alv.us,amwd.us,amzn.us,an.us,anf.us,asna.us,atr.us,axl.us,azo.us,bbby.us,bbw.us,bby.us,bc.us,bel.us,bgfv.us,bh.us,bid.us,bjri.us,bke.us,bks.us,bll.us,bms.us,bset.us,btn.us,bwa.us,byd.us,bzh.us,cake.us,cal.us,cato.us,cbd.us,cbk.us,cbrl.us,cbs.us,cck.us,ccl.us,cco.us,cetv.us,chdn.us,chh.us,chke.us,chs.us,club.us,cmg.us,cmpr.us,cnk.us,cnty.us,colm.us,conn.us,cprt.us,cri.us,crmt.us,crox.us,css.us,csv,ctb.us,cthr.us,ctrn.us,ctrp.us,cuk.us,culp.us,cvco.us,cvgi.us,cxdc.us,dan.us,dave.us,dde.us,dds.us,deck.us,denn.us,dest.us,dhi.us,din.us,dis.us,disca.us,disck.us,dks.us,dlb.us,dorm.us,dpz.us,dri.us,dsw.us,dxlg.us,eat.us,ebay.us,ely.us,emms.us,eth.us,etm.us,evc.us,evlv.us,expe.us,f.us,fl.us,fll.us,flws.us,flxs.us,fosl.us,fox.us,foxa.us,fun.us,fwona.us,gaia.us,gco.us,gden.us,gef.us,ges.us,giii.us,gil.us,gme.us,gntx.us,gpc.us,gpi.us,gpk.us,gps.us,gt.us,gtn.us,h.us,has.us,hbi.us,hd.us,hhs.us,hibb.us,hmc.us,hoft.us,hog.us,hov.us,hrb.us,hvt.us,hzo.us,icon.us,ihg.us,imax.us,inwk.us,ip.us,ipg.us,isca.us,jack.us,jakk.us,jcp.us,jwn.us,kar.us,kbh.us,kirk.us,kmx.us,kona.us,kss.us,lad.us,lb.us,lby.us,lcii.us,lcut.us,ldl.us,lea.us,lee.us,leg.us,len.us,lkq.us,ll.us,low.us,lqdt.us,lub.us,lulu.us,lvs.us,lyv.us,lzb.us,m.us,mar.us,mat.us,mcd.us,mchx.us,mcri.us,mcs.us,mdc.us,mdca.us,mdp.us,med.us,meli.us,mga.us,mgm.us,mhk.us,mho.us,mlco.us,mlr.us,mni.us,mnro.us,mod.us,mov.us,mpaa.us,mpx.us,mth.us,mtn.us,mye.us,ncmi.us,nflx.us,nke.us,nls.us,ntri.us,nvr.us,nxst.us,nyt.us,odp.us,oi.us,omc.us,orly.us,ostk.us,oxm.us,pag.us,pcmi.us,penn.us,phm.us,pii.us,pir.us,pkg.us,plce.us,pool.us,prts.us,pso.us,pvh.us,pzza.us,rcky.us,rcl.us,relx.us,rgs.us,rick.us,rl.us,rlh.us,rost.us,rrgb.us,rusha.us,ruth.us,sah.us,sbgi.us,sbh.us,sbux.us,schl.us,sci.us,scvl.us,see.us,sfly.us,sgms.us,shoo.us,sig.us,siri.us,skx.us,sky.us,slgn.us,smp.us,smrt.us,snbr.us,son.us,sorl.us,spb.us,sri.us,ssi.us,ssp.us,ston.us,sup.us,syx.us,ta.us,tast.us,ten.us,tgna.us,tho.us,thrm.us,tif.us,tile.us,tjx.us,tlrd.us,tm.us,tol.us,tpr.us,tpx.us,trk.us,tsco.us,ttm.us,tup.us,tv.us,txrh.us,uaa.us,ufi.us,ufpt.us,ulta.us,unf.us,uqm.us,urbn.us,vfc.us,via.us,voxx.us,vsi.us,wbc.us,wen.us,weys.us,wgo.us,whr.us,wprt.us,wsm.us,wtw.us,wwe.us,www.us,wynn.us,yum.us,zagg.us,zumz.us
aap.us,0.00017984454335246553,0.0001127986553012569,7.240582786424022e-05,6.265085864423497e-05,6.849542779354636e-05,6.562042376536356e-05,8.403983891567887e-05,1.7476719967682474e-05,1.5858759678121465e-05,0.00010196348935969117,9.239371342645878e-06,5.447504224131959e-05,0.00011598635415303947,1.1121503533925006e-05,1.3653973026457724e-05,7.34876073531568e-05,1.8073363877243835e-05,2.606069237688746e-05,9.048845553735415e-05,9.195620775183895e-05,4.7313706061603395e-05,0.00011371159694549803,6.258617212314348e-05,8.353331202077261e-05,8.305700596552988e-05,6.798892627513422e-06,9.697011555790437e-06,3.610285345394716e-05,3.8175290822663734e-05,7.986915959887806e-05,0.00010305469050951685,9.309545852730274e-05,7.032386466036684e-05,0.00010528894432924932,8.265483918147297e-05,4.330461396983384e-05,9.028761461241959e-05,5.845970283588936e-05,7.228750990767519e-05,4.216019999989366e-05,5.31284682674925e-05,6.207162873636052e-05,9.012882740286655e-05,5.5483758415024735e-05,5.4737016324000936e-05,4.502657098706747e-05,9.475056141179387e-05,5.768466878519754e-05,6.48680961441336e-05,5.741448590349007e-05,6.233098149508675e-05,3.3508987236589418e-06,5.6704489011754285e-05,0.00010677208581370406,5.0964208812979815e-05,6.998246257785441e-05,6.74182730127993e-05,8.685126830291218e-05,6.910256452344602e-05,1.2136166014988544e-05,7.081199982537357e-05,4.388317970664564e-05,5.703036879866292e-05,6.432264154007069e-05,4.953040188247563e-05,4.706904258630723e-05,7.680382335677127e-05,0.00010968004706223133,1.5552621882457937e-05,0.00010536665686485103,2.0751775661810692e-05,4.1057965029094216e-05,2.4761121767101938e-05,9.177086388819087e-05,5.755106424923145e-05,5.435497419619778e-05,7.297522221533913e-05,8.085397916801587e-05,2.56581091298669e-06,5.2609691338221083e-05,4.981184846232994e-05,8.941817413822076e-05,5.8523887386340484e-05,8.063040966236153e-05,7.487644103430706e-05,7.842338326258787e-06,8.035128396077886e-05,7.689627346531763e-05,7.115043357780426e-05,8.5509411307661e-06,6.875828012645841e-05,4.6398129394736515e-05,9.349888405373505e-05,8.672298065557774e-05,0.00012592708402161274,8.94139538288116e-05,6.724834071550555e-05,2.7021321235224657e-05,9.122874955017438e-05,1.4931505000769622e-05,7.490358474887353e-05,2.527923680322812e-05,8.436320167105978e-05,5.293110889335187e-05,5.53045826914661e-05,3.949990979815923e-05,1.3651352726486654e-05,3.768817128772805e-05,8.470798931580471e-05,4.952995520077813e-05,5.3114395058835085e-05,8.490766420981767e-05,7.574162291785704e-05,5.7633539574881325e-05,7.618895185846315e-05,1.7545945195489608e-05,1.4025860239252785e-05,0.00011099126223559699,7.314924283124341e-05,1.1636011827039665e-05,2.7590604781525176e-06,9.359101424484e-05,5.384233859903431e-05,1.4751343989862453e-05,7.260475992701319e-05,1.2626648223368689e-05,5.9906822371585386e-05,8.513712582802857e-05,3.114207170290371e-05,4.5408478841689745e-05,7.00022706647172e-05,9.811655832221262e-05,8.902751625574132e-06,7.670824789189851e-05,9.879222389543804e-05,8.082579744820419e-05,4.2787175241487515e-05,7.750490698665539e-05,8.059374443553694e-05,2.270909098661459e-05,1.6489594253025325e-05,5.6677768669285794e-05,5.4881890255069715e-05,4.820972426179436e-05,1.669491359650621e-05,2.2393456579067655e-05,4.5584148346272586e-05,1.8651407117256846e-05,8.858420247115287e-05,8.860972702563435e-05,2.9456062504294655e-05,1.575124717366882e-05,0.0001370071606318083,1.2176875413944171e-05,7.86889928247193e-05,8.288321892297025e-05,6.180422703782171e-05,6.922925137036061e-05,6.781979098523022e-05,4.260230084262007e-05,1.3023326051411263e-05,8.569008029204023e-05,7.521534770876681e-05,8.718097788261046e-05,2.10818674033638e-05,6.246686267630694e-05,5.229445754548905e-05,9.031741074359226e-05,8.05300159756805e-05,7.492573707556954e-05,0.00011419973828926647,8.396675147345061e-05,1.4269737780838343e-05,1.6853425571839487e-05,1.8953626093650414e-06,5.7739316147443284e-05,9.172893993012763e-05,7.197818005211466e-05,8.105982305005386e-05,6.237593732552224e-05,1.0281797278448548e-05,7.225875268569072e-05,7.79283300711463e-05,6.875799244049154e-05,9.522900066982875e-05,8.046477942040205e-05,0.00011577433294787597,8.791768180148848e-05,5.471891920774995e-05,6.393514066837699e-05,7.731874369621197e-05,9.286201374943622e-05,9.86275083051568e-05,4.9573250353584293e-05,8.909794976175065e-05,9.1395374082658e-05,6.144697588093084e-05,7.099183035363324e-05,6.267359582656501e-05,8.232133760654657e-05,1.1922327067568411e-05,6.644310166423882e-05,6.899574532777282e-05,4.3618356278649223e-05,6.879227079459644e-05,1.160885501697251e-05,2.811059123957994e-05,7.514016637039823e-05,1.3238594215710573e-05,9.269210089199338e-05,8.870883024146194e-05,7.985016844218364e-05,0.00010705199854867565,4.8039842076153455e-05,6.0777515302554104e-05,2.4493253686415046e-05,8.182037917997991e-05,0.00012671375721692645,6.667442353196421e-05,8.601024272548493e-05,6.470205920204639e-05,4.046879311349971e-05,3.3451028386195516e-05,8.719954234427743e-05,4.8750820150629945e-05,3.605411170930217e-05,7.876813250521022e-05,3.227381171832162e-05,6.280654489642343e-05,3.97149418972014e-05,7.326877637045865e-05,4.615283532334369e-05,1.4543186264509761e-05,6.990575238534413e-05,8.615355250488662e-05,8.486513850818284e-05,0.00010550407174846117,8.190724924573176e-05,8.192460538323303e-05,1.2163125915613853e-05,6.406529775677305e-05,5.8420057106484654e-05,6.174207742896323e-05,1.653778506848302e-05,8.081625230474378e-05,7.437658248657821e-05,7.406264154051002e-05,8.3478021841127e-05,5.890155992449349e-05,9.159917404740243e-05,7.490739364507637e-05,3.7403035149249045e-05,0.00010200754510626057,7.133090928276899e-05,0.00011480335932592179,5.310952914752624e-05,2.6028513512348826e-05,4.704603986481436e-05,9.295690239866321e-05,9.821126657666303e-05,8.21353066003555e-05,2.8583885202806655e-05,6.755251840496133e-05,5.410750255392175e-05,8.709271773329906e-05,6.107290944250287e-05,0.00011056419651828403,1.825678874555638e-05,7.689094873029888e-05,8.991965965029603e-05,1.678237179805077e-05,8.941397514617088e-05,1.4510531190543625e-05,9.423030888032736e-05,2.9261318723455343e-05,6.277153118033408e-05,7.58750483804252e-05,9.402675594546397e-05,4.299853279377393e-05,7.655715638793294e-05,5.842387559874186e-05,6.515939902886799e-05,4.945033716421836e-05,6.543043163265177e-05,9.402960245940939e-05,6.719951171522739e-05,3.8580736851872785e-05,7.970665682077546e-05,5.6594571973228757e-05,2.8733262471349208e-05,6.573574917651667e-05,1.156703628292501e-05,4.8151565997418144e-05,6.188527366825282e-05,7.015913607228314e-05,8.665770990417148e-05,6.686020313063375e-06,4.415165951799439e-05,9.451386499714666e-05,1.7997029021435073e-05,8.866939540620728e-05,8.425405909937115e-05,6.0111320489490145e-05,6.12387787576347e-05,7.224376998879482e-05,8.068361093366818e-05,8.693186733378793e-06,6.430252172377479e-05,9.528643734133504e-05
abg.us,0.0001127986553012569,0.0004921031761890441,0.00015291672539029266,0.00019533636302843118,0.00020121391901784674,0.00016172523574526984,0.00025312577270459994,4.968294658405213e-05,5.252203001922239e-05,0.00019107192184085456,3.703479033552819e-05,0.00011471185436546957,0.00029567541477999146,2.1341141417500182e-05,5.0161002573522616e-05,0.00020277098850395698,2.563591382906257e-05,0.0001332072612193705,0.00025219470019027617,0.0002028874259103322,0.00012735374513389843,0.00025406530782158944,0.0001515224997307682,0.00015868424303663064,0.00023923664215761033,1.276133288580442e-05,2.3578472751724564e-05,0.00011527436335561462,0.00010177181774418133,0.00019187867935227716,0.0002921015747535258,0.00028497331746006745,0.00016712676847617657,0.0002637790229495462,0.00020819570038431838,0.00011378991697066583,0.00020911065477216738,0.0001304761449086528,0.00017716867497695858,9.190515930283001e-05,0.00013259879838918223,0.00016082702746735152,0.00020261018616923027,0.00015403727174809092,0.0001291566440932056,0.00012722835834549543,0.0001745106029486261,0.0001487958496671204,0.00015155864594625974,0.0001439287834682148,0.0001317643501415397,5.936241449492973e-05,0.00014623827622479462,0.0002956883468083183,0.00011115792337336925,0.00015713943572116828,0.0001619151573076386,0.000224202270459551,0.00017809667886707517,6.164706715209553e-05,0.0001960726914454638,9.082902685506005e-05,0.00014141212596456763,0.0001816825961155283,0.0001297131525063415,0.0001403975622994395,0.000205994154649389,0.00029123718777430827,7.691171224385605e-05,0.0002786434841940074,7.536524383593606e-05,8.171495637939245e-05,7.711850894057155e-05,0.00020922602733454944,0.000170196806860459,0.00015283464278711295,0.00019216381353453414,0.0002051117724136727,1.9133304568814486e-05,0.00013322010872600363,0.00012407030684017005,0.00017375242323479115,0.00012813917027489942,0.00022380837108386615,0.00014459735701478216,2.9458968244587048e-05,0.00018323498864094645,0.00019156479064219285,0.00015551700151877538,2.5952258286234568e-05,0.0001863236286553914,8.463911057060184e-05,0.00024264177813495806,0.00024262528950891028,0.0003117693201666406,0.00023157821861022752,0.00015851381786561458,6.021826418178907e-05,0.00018102204497656474,6.449128596585319e-05,0.00023439755466252033,5.395487021185681e-05,0.00019535476453502767,0.00013319004687066985,0.00014810745800832468,8.737927288842956e-05,2.606166529490653e-05,0.00012604336278065464,0.000215990827826154,0.00011186152755774709,0.00011209975771392884,0.0001889068914935094,0.00022305922134164825,0.00010795602305433155,0.00013633432604462365,4.654723654980774e-05,2.095871856407731e-05,0.00030049983745162787,0.00020971631093097878,3.0133104849995417e-05,4.2596897243915894e-05,0.00029283542076045005,0.00014644590770676206,2.910031435612168e-05,0.0001578927555485443,3.1818240651106355e-05,0.0001871708267086108,0.00017955267175254387,7.843274186549235e-05,0.00014094059170520964,0.00018268356198302985,0.0002643883287858122,1.8032101165916078e-05,0.00021829711948775,0.0002777070598410864,0.00019348026952171565,0.00011887606814627972,0.0001648328356295826,0.00016921032058596014,6.769729479024691e-05,5.1787295324502785e-05,0.0001537119823861203,0.0001424657127205844,0.00012905768979857795,5.4646119167547e-05,6.616900136947605e-05,0.00011332299328640081,9.521785387543667e-05,0.0002021834246577424,0.00019509998919106682,3.324337890666381e-05,2.8570365754690575e-05,0.00038051570183185614,5.3126259662939506e-05,0.0001787545767923516,0.00020268665407206896,0.00015338437868379315,0.00023173312543936294,0.00015530574525192346,0.00013358481934819515,3.3915282868095324e-05,0.00021197278562939465,0.00015139352661205403,0.000218928082643591,5.004067002080909e-05,0.00013547205413404323,0.00014902139704839584,0.00021493737018402523,0.00021191000586646023,0.00019401812449153696,0.00028350358448604095,0.00017419717627953585,4.122070035565745e-05,3.133961894203464e-05,1.0735519008328344e-05,0.00019066444949489343,0.0002420906672901597,0.0001935972757295717,0.00019295062775316797,0.00016812652340220978,3.1272322151977486e-05,0.00017717731055237205,0.00018009696688615757,0.00015465994561835147,0.0002517834648310014,0.00020304579716128726,0.0002847950022191559,0.00020474338287450672,0.0001830340448045061,0.00022722430474823882,0.00016175440245670756,0.00027632701820267167,0.0002469647985534471,0.00011909749792778675,0.0002530696136403835,0.00024394299360135094,0.0001856235644527948,0.00018194063416831463,0.0001475501458677079,0.00015857270888766339,1.5562453023815497e-05,0.00018982102161459958,0.00015510467798886734,9.221494979325023e-05,0.00018429016324153315,4.553278166644679e-05,6.819460809676473e-05,0.000187109281316161,3.543414894143505e-05,0.00011109137149612034,0.00020773967972668715,0.00020269406078084746,0.00030505047594115017,9.978542718116087e-05,0.00016614450171734447,7.874927130373561e-05,0.00017689241808116637,0.0002736789484450264,0.000136324426689031,0.00017269958394272104,0.0001536523185784093,0.00016018294035381465,8.061164831700387e-05,0.00019520388683601808,0.000120803364320246,7.108809993031859e-05,0.00019910827074048944,7.607902721180991e-05,0.00014163946918589293,0.00012507277515388905,0.0001580871394291527,0.00014198830251677154,3.133847321281935e-05,0.00016815204645902185,0.00023137688713159517,0.00022237384426655672,0.0003328547390354432,0.00022266799778865898,0.00015985862293467682,4.012741609368012e-05,0.0001612619753766594,0.00013689338252490535,0.00017466392816222338,1.508346466526471e-05,0.0002115759345159909,0.00021925047622964788,0.0002021753373447779,0.00016996720248716726,0.000129096150509316,0.00020289228788157845,0.00021528872552887215,8.944295854139794e-05,0.00025221289277471763,0.0002010697991129794,0.0002824992822811527,0.00011397160511050571,0.00011835449397830619,0.00011488046196244545,0.00025583400522542575,0.00023801748466713673,0.00022053507456238077,6.16839907829916e-05,0.00017533179468283517,0.00015849950938129603,0.0002167688105253887,0.0001608820686213019,0.0003028569768171283,3.483340164081105e-05,0.00019128705014397805,0.0002011130993344391,5.447622372936569e-05,0.0002290122101903715,2.7161313630286953e-05,0.00019877088134931303,7.226031358763229e-05,0.00016842773453561809,0.0001636960558499849,0.00020755608517912552,0.00013916094860591747,0.00015667751615719024,0.00012685480288716694,0.00014963789332093707,0.00012331375015720917,0.00015567990192122093,0.00020046466137870207,0.0002167902227495873,0.00010054580355052253,0.00018596426026064013,0.0001427375953976357,0.00012300985960051716,0.00014627269996384293,2.6662495090758507e-05,0.00010629730227445312,0.00021921839043323376,0.00015492179788564975,0.000206438244231573,1.2881805233966991e-05,0.00013265145803271512,0.0002632482664541946,5.651902211404777e-05,0.0002220748160117931,0.00017624490699544936,0.0001093671896667137,0.00012050788692882515,0.0001629955736105783,0.0001965475957935097,2.1749751521340308e-05,0.00016358244232566124,0.00022189476646484479
aeo.us,7.240582786424022e-05,0.00015291672539029266,0.00031828506654874505,8.311725948576329e-05,0.00011035357221201272,8.436545986690262e-05,0.00012818385322864727,2.3985138152029985e-05,1.549253608501217e-05,0.0001640409106817438,3.740060592220389e-05,5.268849514541839e-05,0.0001652739484338279,8.258192334148585e-06,2.3431803230594833e-05,0.00010693276568716219,2.1264146757560313e-05,4.351275071845261e-05,0.00014055874552135062,0.0001337325656102045,7.908450064869617e-05,0.00015159212725001674,0.00010019537301070601,0.00014834008340689354,0.00015076281855621996,8.425233415833538e-06,1.529130007329802e-05,6.406582990374234e-05,4.5575550528798584e-05,0.00010204326394339877,0.0001440070070368384,0.00015192838259508616,0.00010016743507731053,0.00015935732818610205,0.0001406377573423222,5.532178414549074e-05,0.00016874899032363438,7.491121780696809e-05,0.00010206695920570764,5.477857391662973e-05,6.916774328676979e-05,7.63076170310451e-05,0.00010332513221052759,8.097919958764071e-05,6.639027032418302e-05,5.728438284146143e-05,0.00015233297488135254,9.548563010353018e-05,0.00010142950519976178,9.495551987799492e-05,7.142344083576099e-05,3.7400673286078936e-05,9.206942799647901e-05,0.0001594624271080589,5.571679537826835e-05,9.855700659394337e-05,8.526534966845656e-05,0.00013672188963896218,8.688639598946264e-05,2.674383330239875e-05,0.0001108567420574159,3.7047936743103814e-05,0.0001179770819832177,9.401558950770288e-05,6.440947809368763e-05,6.620836768058447e-05,0.0001073593278119913,0.0001486779681600147,1.777486074855272e-05,0.0001525199712173253,3.607215719337295e-05,4.4758235642336983e-05,4.7598940031054436e-05,0.00014880803601921843,0.00010177309817094013,8.429353514081517e-05,0.00010849232506812657,0.00012899705086638643,8.247284554560727e-06,7.461782474374779e-05,6.958123924485031e-05,0.00011167825358720673,6.141413015570767e-05,9.520385930659062e-05,7.883927198012146e-05,2.407207751175729e-05,0.00013742441121740738,0.00012022294015861047,0.00010456649442111413,2.434068931683996e-05,8.253201191493375e-05,6.07541085287632e-05,0.00012865679445138,0.0001471563621154343,0.00015313665185228562,0.0001324885440546448,9.203284178786885e-05,3.317061136114602e-05,0.00013008973704784431,4.337304059814574e-05,0.00011834297756951838,3.940949622829041e-05,0.00013665099964585244,7.339155430118914e-05,7.81017094401237e-05,5.3546943466445904e-05,1.4954118714849418e-05,4.811052019562808e-05,0.00015584988787377668,3.3879613504702924e-05,6.118530162993136e-05,0.00015792323469309466,0.00014261302156093705,6.968772304166345e-05,8.90973485885628e-05,2.1862693603758506e-05,1.4396225023068818e-05,0.00014170581241041767,9.622345039869409e-05,3.191245468995476e-05,3.973706860201173e-05,0.00012749990124725122,7.42730910671457e-05,1.799856150257644e-05,0.00011446020360242798,1.5237565921950283e-05,9.47288394883642e-05,0.00011876934992728077,4.395875592330242e-05,6.922614928901833e-05,0.00010080825014273148,0.00013999768144471107,1.1642312225664007e-05,0.00010979546312429144,0.00014642936390689502,0.0001139754065508188,5.820896672662359e-05,9.150671389631754e-05,0.00010235823351183474,2.7317739673762486e-05,2.2625351051829043e-05,8.056879817916155e-05,7.450827063907368e-05,8.183263815446612e-05,5.60925331623676e-05,4.9148472743575376e-05,5.850908050511631e-05,4.042084201685427e-05,0.00011860775363780025,0.00010810775150832957,5.4843867325883866e-05,2.6266573563686863e-05,0.0001865262729905189,3.3838980723990174e-05,9.202634721363941e-05,0.00010517247391200177,8.627993895355288e-05,0.00010825761439197893,7.676948224155123e-05,8.60043602847011e-05,1.632660783570966e-05,0.00012327905277329502,8.524800262349361e-05,0.00013276085153019854,2.1450152958062696e-05,8.857796133798653e-05,8.369607550541738e-05,0.0001491566410453774,0.00011505041189073458,9.888543853267271e-05,0.00016745814708958882,0.00012996773241397857,1.2658106370426185e-05,1.8829177975597952e-05,5.476224608089378e-06,7.879106970097259e-05,0.00011605627370783564,9.010063796905723e-05,0.00011575147865803786,7.644802713123963e-05,1.9986033757343588e-05,9.440276929906572e-05,0.00010502988749760308,8.310489108374466e-05,0.00011869532406231214,0.00011443836411958761,0.0001574108879285072,0.00012075018629957217,7.749099813216652e-05,0.00010750998245297462,9.406261633458842e-05,0.00014937788340655149,0.00015962952873159304,5.005596333783945e-05,0.00012512955809282055,0.0001310594020917204,0.00010685221703971109,9.644142437416539e-05,7.386910523787728e-05,9.683273103247157e-05,5.0231107488517e-06,7.897698168573881e-05,8.813641523307497e-05,6.365011417077266e-05,8.551145918300438e-05,2.4773626156110822e-05,3.9121403061857565e-05,9.767300059012127e-05,1.9264422588195706e-05,5.717527168959759e-05,0.00012354194691142694,0.00015065488084860557,0.0001348967370613212,7.316266420431233e-05,9.035905392531127e-05,3.6113514267601205e-05,0.00010356495456080418,0.00017424970421759636,7.484538904667142e-05,0.00013112386608430545,8.766057756907613e-05,7.057384198932556e-05,4.0371585385566474e-05,0.0001345213266107974,7.665427210265482e-05,4.7080833104335894e-05,9.48612820961334e-05,3.887975334021849e-05,8.744310396573244e-05,5.9121106589264465e-05,0.00011726764118548989,6.515890884026757e-05,1.720588076319705e-05,0.00010390773332936664,0.0001127690648303948,0.00013313561618455633,0.00015041815969870753,0.0001199400945635894,9.688587744272275e-05,2.0564547525299843e-05,9.215761902769734e-05,8.904672300332653e-05,0.00012617108725543482,1.6156001103052216e-05,0.00012473345461535968,0.00010936407126924012,0.00013047157555394904,0.00010250506483270955,9.853799254307144e-05,0.00013885429558329416,0.0001203339063908808,4.938178677446431e-05,0.00011158441862824704,0.00012472684009397266,0.00016022191543580973,5.752224292406342e-05,4.802132779811722e-05,5.4880167849599443e-05,0.00013085821558755985,0.00015599010051382426,0.00013087074116034487,3.8811921487534605e-05,9.776388620637809e-05,9.9783156681611e-05,9.873518773167945e-05,8.253950386918659e-05,0.0001443946250325012,3.2725137614720566e-05,0.00011124619891183504,0.00010089655974565166,3.538318016342802e-05,0.00011582498338488189,2.7133346132489423e-05,0.00012660789699263427,3.976019057575741e-05,9.820430815633221e-05,0.00011284730100568778,0.0001356826828721513,7.503142701880131e-05,0.00010657696763838378,6.673693061168973e-05,8.807143111001075e-05,6.527386257977387e-05,9.83002320155298e-05,0.00014983180591027413,0.00011890756469381165,5.265632020988598e-05,0.00011669832286461175,6.170066642135187e-05,2.627206931400839e-05,0.00012975684980803055,1.7976768447174066e-05,5.6680254716263624e-05,9.661591375078807e-05,0.00010012918396720133,0.00010644055178180715,2.009312384392883e-05,6.616547211297854e-05,0.00012509180252659205,2.476833057660358e-05,0.00012371664495065712,0.0001177859763634634,8.753757125496836e-05,7.41013938314074e-05,0.00010857058071837279,0.0001060470302382003,1.18846472858024e-05,7.474043343686739e-05,0.00017333675692435396
