,aa.us,aaon.us,aau.us,aem.us,ag.us,akg.us,aks.us,alb.us,apd.us,apog.us,apt.us,arlp.us,ash.us,au.us,auy.us,avd.us,awi.us,bak.us,bbl.us,bcpc.us,becn.us,bhp.us,bldr.us,bvn.us,bxc.us,cbt.us,ccj.us,cde.us,ce.us,cenx.us,cf.us,cga.us,cld.us,clf.us,clw.us,cmc.us,cmp.us,crh.us,dnn.us,dwdp.us,ecl.us,egi.us,ego.us,emn.us,exk.us,exp.us,fcx.us,fmc.us,foe.us,ful.us,gff.us,gfi.us,gg.us,ggb.us,glt.us,gmo.us,gold.us,goro.us,gpl.us,gpre.us,gra.us,gsm.us,gss.us,hl.us,hmy.us,hsc.us,hun.us,hwkn.us,iag.us,iff.us,iosp.us,iphs.us,ipi.us,kalu.us,kgc.us,kop.us,kra.us,kwr.us,leu.us,lpx.us,lxu.us,mag.us,mas.us,mdu.us,meoh.us,merc.us,mlm.us,mos.us,mt.us,mtl.us,mtx.us,mux.us,nak.us,nc.us,nem.us,neu.us,ng.us,ngd.us,np.us,nrp.us,nsu.us,nue.us,nx.us,oc.us,odc.us,oln.us,omn.us,paas.us,pkx.us,plg.us,plm.us,pol.us,ppg.us,pzg.us,rex.us,rgld.us,rio.us,rock.us,rpm.us,rs.us,ryn.us,sa.us,scco.us,schn.us,scl.us,shw.us,sid.us,sim.us,smg.us,sqm.us,ssrm.us,stld.us,swm.us,sxt.us,teck.us,tgb.us,thm.us,trex.us,trq.us,tx.us,uec.us,ufpi.us,ufs.us,urg.us,usap.us,usg.us,vale.us,vgz.us,vhi.us,vmc.us,wdfc.us,wlk.us,wor.us,wpm.us,wwr.us,wy.us,x.us,yten.us,zeus.us
aa.us,0.0002922816365140066,7.69813949715634e-06,3.9853773581819614e-05,0.00011097256907722896,0.00018986645991368612,2.93492443463715e-05,9.019419090279814e-05,3.877073827104877e-05,9.859581847658035e-05,1.2228179777189626e-05,-1.510041112362163e-05,3.977911398340144e-05,0.00014225099161134232,0.00011226879789907663,1.5301524583324938e-05,2.44943139639143e-05,4.793056158600873e-05,4.108428540289638e-05,2.860008125868201e-05,5.840628613166297e-07,2.296775153157808e-05,2.901243367917843e-05,4.633913232971665e-05,2.6993570997898466e-05,6.225241510495257e-05,2.8921104471228414e-05,3.136275845297209e-05,3.666876244413155e-05,6.277688817590992e-05,0.00010790540808301237,4.275173770145443e-05,7.908706971376446e-05,3.6282189919547505e-05,5.8831643463097834e-05,1.5081065385338816e-05,6.158752891731707e-05,1.3813861407688196e-05,2.49680906647239e-05,5.5881495584074005e-05,0.00016699124108240213,7.973166616112935e-05,5.0165904079352545e-05,1.856361837714124e-05,0.00013467029815317187,4.304459778366856e-05,3.452816192887185e-05,0.00020506316378675327,1.8230626453786493e-05,5.058811550257196e-05,2.9541674333540894e-05,1.0248874799479367e-05,0.00010024736073198548,0.00010403484746735999,4.046180379214111e-05,5.835024791026312e-06,0.00010376470327866876,1.98089241833639e-05,0.0001262576345838784,0.00017565222663326908,4.6232718526460966e-05,5.6099527415457166e-05,1.902554456563587e-05,2.769218606441236e-05,5.1985418319690856e-05,0.00012263589095967513,5.078131647362666e-05,4.963282183218412e-05,2.5667445727580465e-06,2.334098283491736e-05,8.990995196756304e-05,2.1146260695456783e-05,2.024605953011879e-05,4.476167959508953e-05,3.6052801644923884e-05,0.0001256828563063616,3.1183830802961606e-05,2.909168996028163e-05,3.02216299109563e-05,0.00017790714709492006,0.0002047515468806946,2.8797513073532847e-05,4.7695548410483715e-05,0.0001564373644417649,2.0588258756097048e-05,4.2783299595093254e-05,2.388095787149931e-05,2.793287406988768e-05,4.6696108061236555e-05,3.963128498779994e-05,0.00010249309117204354,2.6571848206544403e-05,2.613624200186452e-05,7.65330724761154e-05,3.31516032562018e-05,0.00010987763112252694,3.0689961584713226e-05,5.816160274011146e-05,4.3891301032887105e-05,1.8685860213554693e-05,3.7039572777056574e-05,1.4562093255698411e-05,0.00015391503459705915,3.847604985007229e-05,4.474946382290094e-05,1.5884608294501764e-06,3.447886795882193e-05,5.530560059090086e-06,1.928650853482593e-05,3.825127111735601e-05,4.655696972142293e-05,2.9237869546883927e-05,4.379605602472486e-05,0.00011430222769884076,4.906542429880184e-05,2.3181587299727453e-05,2.2579107470615003e-05,0.00015363589466345985,2.7171756735310995e-05,2.6272835089842666e-05,5.013273128352726e-05,2.1649044730186686e-05,-2.8994475390498753e-06,5.3139198457166466e-05,5.412924381527875e-05,4.912619084174458e-06,7.854588421481332e-05,4.4593086253347304e-05,2.566043671007969e-05,1.1832788226062411e-05,2.8670224733309397e-05,3.263964829890394e-05,4.323265458789837e-05,1.596890403258692e-05,1.3303014277731068e-05,6.046312545518893e-05,5.265407150270165e-05,2.80565577935554e-05,4.824730320031359e-05,5.1564942165842146e-05,7.047441838520244e-05,1.8490685118768813e-05,1.687565710584491e-05,5.5561129947697546e-05,1.4464507340127367e-05,3.4728385869652146e-05,7.673603036494591e-05,4.7678703262770996e-05,8.010452987873748e-06,5.772918872447079e-05,0.00015277749163536788,4.6450290074154174e-06,4.3537321371226926e-05,0.00019374680799675773,3.599635747628784e-05,4.0557494350419756e-05,0.00012356462923276745,0.00026774838873521166,4.596592666179732e-05,4.539149747312882e-05
aaon.us,7.69813949715634e-06,0.0004711835226782887,5.950193886275546e-05,-2.3756881005264547e-06,-8.26233068305587e-06,8.03605908727383e-05,0.0002201684076230033,0.00013444807745766472,7.728423770295216e-06,0.0002245756729947254,4.829695020293277e-05,4.930245297049833e-05,1.307911605697414e-05,-1.4331703949414221e-05,6.163660139138792e-05,0.00018358255019912447,0.0001505247559708233,0.00011404138786812729,0.00010277505332531722,0.00017610585589197765,0.0001706102561821248,9.48310176547017e-05,0.0003343426230185107,5.325475168669257e-05,0.00014956558147013503,0.00015431581985792922,0.00010125191232353025,0.0001563367026955081,0.00015706010108075267,0.0002299705697183257,9.353765141070017e-05,4.503394831682051e-05,0.00013156795085714885,0.00019669850396537112,0.00011796466544752183,0.00015474585408399423,9.529807785801605e-05,0.00011236567984839921,0.0001521849234208175,2.6913963599116868e-06,4.585929406188431e-06,0.00010712540941935752,7.232809573832981e-05,1.776295231381158e-05,0.00011527491974952182,0.00018524220837765724,3.084062134214173e-05,0.00010823979620181748,0.0002429159819832259,0.0001621931600169719,0.0002456029834463531,-1.524960970597357e-06,-1.3266986624237748e-06,0.00012203244997169069,0.00017205316334189733,0.0003029483943115016,4.102493040234593e-05,-1.1036153760277342e-05,-1.1021337860485872e-05,0.00016136145724429674,0.00015152313931792444,0.0001796014781358299,0.0001449567512515955,0.00015418166043899763,1.78356678628931e-07,0.00016644949620577874,0.00020014994465008724,0.00019981267514960428,7.179982325928446e-05,1.2744946848757367e-05,0.00018149765104281878,0.00014245182107692044,0.00014121355614708545,0.00014471150926062217,-2.4322028252778803e-06,0.00016770291595914898,0.0001523622519293881,0.00023695060968152124,2.667098910180641e-05,3.402124382840197e-05,0.0001989470004758628,8.802578955065336e-05,2.771484276187466e-05,9.136328128310766e-05,0.0001214825359075613,0.00011114513304712309,0.00012583662245579296,0.00010464845625292747,0.00013382742039288765,0.00018000153402939788,0.00015770135591655884,0.00016614447045342905,0.00015546148318910875,0.0002084554410410361,4.165550120790783e-06,0.00013810867581366378,0.00012127752717878286,6.910034721255195e-05,0.00019049219729622686,8.10707783745271e-05,6.692205599481864e-05,1.689394316790462e-05,0.0002223681430241276,0.00016790641609962638,0.0001329080352808934,0.00014480183536692403,0.00023004349034332178,9.824477756340742e-05,8.327132933667774e-05,9.267100464825347e-05,7.43522767096127e-05,0.00019800994979625653,1.4939320626333992e-05,0.00016359151012112325,0.00017566536203484308,7.32751540950232e-05,1.0855052265120183e-05,0.0002926157051172841,0.00011503991208359709,0.00014468233300044957,8.447167190943556e-05,7.649943692481215e-05,0.00010447192909887425,0.00016766703630378453,0.00015350658212896743,1.8508568511356704e-05,0.000133199379550645,9.035651912943765e-05,8.012332184330742e-05,7.737636720247543e-05,8.840319250181795e-05,0.00015996538460299304,0.00011852572735488648,0.0001409715789686926,0.00014380504336430474,0.00012414841532735126,6.15022230243518e-05,0.00018251402543937133,0.00017104280489159675,0.00010898838550678128,0.00022205654076679464,0.00020528752562505307,0.00013943037888276008,0.00021362315144788684,0.00026665829517218093,0.0002609449426327815,9.436694463473286e-05,0.00013407303113979448,0.0001187173043094946,-4.280708671141943e-07,0.0001232497895966543,0.00015931156190891895,1.382612997046606e-05,9.524680247475527e-05,0.00019067778735672714,1.1385487501674415e-05,3.86728632483082e-06,0.00021967017589619669,0.00022837898939976402
aau.us,3.9853773581819614e-05,5.950193886275546e-05,0.0016010454805965655,5.4715724962721996e-05,0.00013961005290373643,0.0004440672491469274,0.000251966037863,0.00010109543690229232,3.675827107871632e-05,8.10520549523259e-05,5.874750428205043e-05,7.196929712955555e-05,5.384177787324706e-05,6.36307309770203e-05,0.00036025902135785454,3.894309114295721e-05,7.387838527399084e-05,7.784178572690718e-05,0.00012572995417607928,6.831793232761201e-05,6.629556821030257e-05,0.00012045188176515425,8.8551539331973e-05,0.00029070954301045767,6.937824668117723e-05,0.00010812283225688626,0.00012912472216575354,0.0004700302536497347,0.00013642275793749491,0.0002680156062441156,0.00014948916855644435,0.00013036072521001638,0.00014732078957599163,0.00024413724512810776,6.789834784518086e-05,0.0001348240325343471,8.141296421112887e-05,7.145570146502279e-05,0.00029628842956945284,5.494818534438371e-05,-5.136797904065982e-06,0.0002625088740944279,0.0004120475241416623,4.3246383281756674e-05,0.0006002997165528419,6.147668017050399e-05,7.412483007813964e-05,8.095618511738186e-05,0.00018479860731232916,9.755082269141515e-05,8.502566599105645e-05,5.7471299650004936e-05,5.202442601077793e-05,0.00011093929793538714,5.675908930931008e-05,0.0002865139509213091,0.0002689504753984912,4.817654519632766e-05,8.101104077420244e-05,0.00018137788670669826,0.00012753155801224246,0.00014033006396152323,0.0005165290028873425,0.0004824516686082788,3.7549505773840705e-05,0.00011570728310654053,0.0001502788924750172,9.382438685558832e-05,0.0004698270013610821,2.0514528120982056e-05,0.00011490065380193959,9.993411856115792e-05,0.00018982863586081969,0.00010837799426826685,6.430562227001376e-05,0.00011038459088178257,0.00016027174789584305,0.00010455260829756602,8.903090554002489e-05,6.5976401092786474e-06,0.00014814472421447337,0.00044845370595969757,3.382898706462114e-05,5.059298137162656e-05,0.00011978138442692229,8.79521156045133e-05,5.574672606455321e-05,0.00015177035234500885,0.00012721237528205568,0.00018331525900856191,7.180676462786402e-05,0.0006019650326664551,0.0003115591735734132,9.101504562142991e-05,6.771927422417397e-05,7.675429566164063e-05,0.000471083029518917,0.00042078459559206926,7.664858057906826e-05,7.364346515535664e-05,0.0003518388306892204,4.5801760572356855e-05,6.847007809226214e-05,7.237759500475692e-05,5.876454982324797e-05,8.694605844121883e-05,0.00011313977624471465,0.0004014061422982461,8.541085898105863e-05,0.00031889593033260634,0.00019379502237577305,0.00011338602824859433,3.0338555967673686e-05,0.0005570100609627616,7.756943122645224e-05,0.0003144110003227559,5.235096808765895e-05,0.00011571752228283478,8.026776901897262e-05,0.00012979445833234305,5.231942570307518e-05,0.0004336214337239522,0.00018566602468860456,0.00012832966163902398,5.2272906478156836e-05,2.0586463994565723e-05,0.00011827449768391677,0.00010983981634424008,3.633262585000534e-05,0.00010358551002576115,0.0004965494551111634,0.00016082063181714965,6.52120435950636e-05,7.762261503888938e-05,0.0002289386970324006,0.0002680271816767785,0.0005505056059444002,8.31594652142931e-05,0.00022295426110527066,0.00016129947268247923,0.00020222163423483803,5.2590213766787023e-05,9.920932500889201e-05,0.00025901762832205465,0.00016880583105760553,0.0001628194662738993,0.00010190705503556538,0.0004861587346966599,0.0001669920589700781,-8.722086830441097e-06,4.576459475946475e-05,0.00013779010233002685,5.3877636258915555e-05,0.0004238097597701579,0.00014670782875750066,2.9779672995537297e-05,4.070242424051194e-05,0.0001332211576371746,0.00012551865416664037
aem.us,0.00011097256907722896,-2.3756881005264547e-06,5.4715724962721996e-05,0.0005022050287715297,0.0004654804138836523,9.462780197445153e-06,2.194121371390854e-05,2.019706110554905e-05,4.623878804916771e-05,4.607018308537029e-07,2.241362609336812e-05,2.8976449527683054e-05,6.21192371613884e-05,0.0003255856387523945,1.8578271055424048e-05,4.2112338599811815e-06,2.284120514146171e-05,-5.985046575811929e-08,1.0502508176809781e-05,1.7385214863183662e-05,7.1428899528952315e-06,1.4055092369773216e-05,2.714630966527377e-05,4.524484392894864e-05,2.8288570893710422e-05,1.4322286652791918e-05,8.752603328296646e-06,3.5966641177820054e-05,2.0968630408274505e-05,2.8931423026752575e-05,2.4132264152091522e-05,1.1473280560444267e-05,8.743402388881619e-06,7.121245308881221e-06,-9.079973608134288e-06,2.410905115262162e-05,5.83124630661751e-06,9.05334264356903e-06,3.3344475008945167e-05,8.097792257023827e-05,3.610306570383907e-05,2.063757723694391e-05,2.292584654970557e-05,7.191400766690498e-05,3.778782036661153e-05,-8.146282355989732e-06,0.0001796987111156178,2.0393458115828414e-05,1.3822293517378094e-05,1.6622082047390147e-05,-7.468553142034148e-06,0.00031091675449890617,0.00035460658988329687,1.172607174263561e-05,1.895486467169471e-05,7.610126477049731e-05,2.897888446771409e-05,0.0003044560174508416,0.00044526725826812396,2.2829960557099824e-05,3.424673929300639e-05,6.581972526151883e-07,3.2138061868735764e-05,6.998289577949513e-05,0.00034331571974451097,1.4040792364989737e-05,1.6786904235952062e-06,1.0634390099908302e-05,5.721548303587156e-05,4.612499685226079e-05,2.8031187390617278e-05,2.4959521244050637e-05,2.390148259794074e-05,1.467707987755127e-05,0.00037169056892104335,3.2857580155476854e-06,-5.820263312622011e-06,3.271199859441121e-06,0.00012676849435108568,9.945776185209326e-05,-3.2634888517313565e-08,5.419711514655902e-05,7.75103372358132e-05,6.550184612282743e-06,1.4489012888578349e-05,1.540666663812117e-06,1.0835372888881072e-05,1.508728028612103e-05,1.2547821569436755e-06,3.074959147136912e-05,8.516807279996346e-06,1.9165219676621075e-05,5.299043083457422e-05,1.1252973814349008e-06,0.0002844196161506836,3.0468538939712767e-05,7.389287845539673e-05,3.537489159363955e-05,-5.509119035165312e-07,1.1404719029589488e-05,4.928009581763879e-05,8.890730116576248e-05,2.311276171417133e-05,1.3408204112914663e-05,4.619182125241755e-06,1.0872421959246002e-05,-6.821983187339067e-06,3.197851553002719e-05,1.422154140410491e-05,4.7242166857434146e-05,5.77747959319228e-05,1.4664586367330988e-05,6.362488062490453e-05,4.3189603429469474e-05,9.011803795317475e-06,3.202062626394338e-05,0.00011608468995548086,5.9561815545517865e-06,1.3080003582984864e-05,2.2157476845124613e-05,3.4430517082886615e-06,1.3283313938376299e-05,3.4573943051008225e-05,-2.1931310113926885e-06,-1.513043871839419e-05,3.3265041100434424e-05,-5.096784607625631e-06,1.1246846239304653e-05,2.327613448478237e-06,1.4923157915361673e-05,3.1680489409081046e-05,1.3624836504066746e-05,9.226236321415558e-06,7.167253535403257e-06,2.9160757285171832e-05,4.977173151666293e-05,0.00012374853708404463,1.01802340104651e-05,3.112280525610466e-05,2.1596407792228904e-05,2.8492861107914955e-05,-2.701225889365404e-05,2.4001274632582147e-05,3.582797861707165e-05,1.460307581591939e-05,1.5653735223480974e-05,1.2901941021893752e-05,2.3554652941152997e-05,3.6271889160277706e-05,6.980294365769478e-05,-1.332572309136039e-06,2.0572674840742348e-05,0.00010715743395576895,3.23203043174442e-05,6.400724188380396e-05,5.597739201828689e-05,0.0001683432468965556,1.7461246115667547e-06,1.5137916092210876e-05
ag.us,0.00018986645991368612,-8.26233068305587e-06,0.00013961005290373643,0.0004654804138836523,0.0010247699762173069,1.824281141697642e-05,2.8059259730255932e-05,3.564351005202834e-05,8.866734976604176e-05,4.8772123000922705e-06,3.5358896440731165e-05,2.9950886923016742e-05,0.00011759601325142862,0.0004067772530518866,1.979847896636531e-05,2.3035143844897753e-06,3.63613989582136e-05,1.7321726132838342e-05,1.984333799252573e-05,1.6978699572709114e-05,2.466212500998125e-06,2.3865470480467844e-05,5.176058663486623e-05,7.512895168848034e-05,3.453089706185166e-05,3.151324915262499e-05,3.353572229018761e-05,6.108586668565974e-05,6.87222032222869e-05,4.855398246744408e-05,2.681984292464596e-05,9.677623736203553e-06,1.0792816248953947e-05,5.7893795819769385e-06,1.1285590464226226e-05,3.461115601527056e-05,1.0308268631964253e-05,1.358345399382699e-05,9.88164643084714e-05,0.00015613271802703352,6.494954662504605e-05,1.835983968871496e-05,3.1315352516476744e-05,0.00012033176415536901,6.615999724450899e-05,-7.195484577730442e-06,0.0002666144502188314,3.243785892632305e-05,2.2823778141375284e-05,1.3789841466967155e-05,4.76380880244245e-06,0.00039751224073822746,0.0004278215892929354,1.644408987227046e-05,2.8888090163393202e-05,0.0001289186151057811,3.398339946482496e-05,0.00048212951713010467,0.0006949471094751189,4.947402111910853e-05,5.6215235488421965e-05,6.541636798621029e-06,3.233163499456775e-05,0.00010202175252642898,0.0004679805889735076,3.765248191530742e-05,2.869166877171885e-05,1.4313338231352851e-05,4.122009007306714e-05,7.46279765558194e-05,3.491815042119021e-05,5.1785282796076724e-05,2.8817887325177512e-05,3.275054311000799e-05,0.00046217526093797316,1.878054327139706e-05,3.777629827157706e-05,1.96523947116924e-05,0.00019963953694915928,0.0001698928629520143,5.04851784673008e-05,6.971286066900412e-05,0.000132474346063532,1.595086336466278e-05,2.806023757718756e-05,1.1648514525021385e-05,1.703656694848911e-05,1.672941224475077e-05,1.1215723762935962e-05,5.9332854964941726e-05,1.5282363223557965e-05,3.007753154988051e-05,9.641012467823827e-05,2.0173577311440174e-05,0.0003493792184102015,4.196274362704842e-05,0.00010195209398061842,3.478366335471212e-05,1.3124829721091104e-05,1.610459039834723e-05,6.145062590774737e-05,0.00015391321401134856,4.660213210233151e-05,3.246639072111859e-05,-1.1899081536604907e-05,1.9017404016965836e-05,-1.8126608443867974e-05,2.1480669161186285e-05,1.1160809061538578e-05,0.00010397174814463394,9.698089263656239e-05,4.6616387586791494e-05,9.695539523787632e-05,8.470897775426006e-05,-6.231473439688426e-06,3.576559807564543e-05,0.0001810175611341046,3.208023147732527e-05,2.0267670866642756e-05,3.700099225515599e-05,7.308737228203063e-06,4.671587854928599e-06,4.9355608596828624e-05,7.157630346949713e-06,-2.9845160976289387e-06,5.747876892833682e-05,4.452927154060722e-06,2.589442871440615e-05,1.5611432769677824e-05,1.8204539575144843e-05,4.0966782340732955e-05,2.6885908805466433e-05,1.7547921182988606e-05,2.7573776842496928e-05,2.9425139246667352e-05,7.544134269824901e-05,0.00014894856716487156,4.123652291659619e-06,7.788995726267153e-05,5.760907050880288e-05,5.4660322553347254e-05,-2.6504800465611267e-05,4.459978897564998e-05,7.546672346055584e-05,5.8062980539738876e-05,4.0164038653525114e-05,2.2730267259847964e-05,2.18751100961105e-05,8.103292955433076e-05,0.00013454980652137302,7.669960127643533e-06,4.929581724598142e-05,0.00017650824097648212,5.484841722632034e-05,0.00018322421040064478,0.00010882179694899789,0.0002643583476206542,2.1164651981162813e-05,3.950940191878389e-05
akg.us,2.93492443463715e-05,8.03605908727383e-05,0.0004440672491469274,9.462780197445153e-06,1.824281141697642e-05,0.0010481906209205839,0.00025149528503898695,9.171778278287933e-05,4.187537107882177e-05,8.320624866048565e-05,6.10227117111336e-05,6.594119668520363e-05,5.5592909926449075e-05,2.190847660987134e-06,0.00036502021928410213,7.594062458135659e-05,0.00010674082956746503,9.000993577787992e-05,0.00012977209653956793,5.5267987266068456e-05,8.029028303761981e-05,0.00012431618357372555,0.0001592144243482614,0.0002750244764040864,3.460965690635711e-05,0.00011796908627667062,0.00016221345847668248,0.00043468535811704,0.00013696432198242152,0.0002607774899274014,0.00011364237052584356,0.00010628131968185704,0.00015846280252125304,0.00023499696157276557,4.491374620901169e-05,0.00012145903144580098,8.426540283047528e-05,7.890494416279106e-05,0.00020812071928240404,5.108114037713042e-05,2.0204783512292913e-05,0.00022213568159505122,0.00038565054086539026,5.5432236123861946e-05,0.0005564759663265336,0.00010993563554032394,5.9291026790288336e-05,8.053815693289668e-05,0.00015446062723653968,9.361541064041194e-05,9.297921184203424e-05,-2.0530167017701547e-05,2.17679737449796e-05,0.00010355845277729068,6.147236133774077e-05,0.0002932719744270661,0.00026458476741578353,-1.9561423247481582e-05,-5.7817657991735126e-06,0.0001055335095680029,0.0001214162021599384,0.000159833338556737,0.0004867100256909512,0.00045982829685449657,-5.148578606500991e-06,0.0001169087629830881,0.00012939757547270132,0.00011477195357339274,0.00045086116802523846,3.242725527869542e-05,0.00010774649324002265,0.00010031556357819967,0.0001670005805076123,0.00011832109888388866,1.3777734260682817e-05,0.00011267121328561308,0.00012728435647808826,0.00012967085116610946,0.00016201809513337293,6.942981923007195e-05,0.0001489806982767038,0.0004366783815960983,5.024474517540518e-05,6.89082853225579e-05,9.529784987356657e-05,8.942796373522232e-05,6.39459703511493e-05,0.00011279361274737198,0.00014543546887547278,0.00022088159513969827,7.149640613074124e-05,0.0006099962243231681,0.00029716400408054644,0.00011346593377011895,1.2335330422360523e-05,9.563654414164769e-05,0.0004411728544938548,0.00040715479344499884,8.653148085458297e-05,9.198860838651838e-05,0.0003465370041725229,2.99780901959406e-05,0.00010366492977192134,9.138291311389316e-05,5.878535114071253e-05,9.740759302463218e-05,0.00015243831943048615,0.0003751239661583263,9.191040940210437e-05,0.00018818967011301148,0.0001207251724612501,9.779931886198426e-05,4.1855582693212676e-05,0.00046712215507182175,5.710833088954002e-05,0.0003114663379412739,3.480029691005935e-05,0.00012756242194710276,7.683130919447507e-05,0.00012727709901628643,6.276264600349434e-05,0.00045874531853811915,0.00017692917133381127,0.00016170417659517445,6.140954736268664e-05,3.128448174950278e-05,0.00011559292827474909,0.00011047814221508995,3.6216785089746814e-05,0.00011542611760771742,0.0005018933525553007,0.00014806816638639886,6.375966319040095e-05,6.599073898203288e-05,0.0002441535341436702,0.00028493348764369785,0.0005432643417873112,7.317047343379532e-05,0.00020528873101756376,0.00018957222949253228,0.0002038386162957121,9.201434267551652e-05,0.00011682168415305787,0.00021205577865697579,0.00016407271350051832,0.00013121427733650044,0.00012258105061779384,0.0004306626110912511,0.0001235067174935519,1.0466766128050236e-05,5.1708526324101734e-05,0.00015517989711059802,5.0728184159600695e-05,0.00038848713183356514,0.00019493567013335094,2.7656451697333085e-05,3.727270274689474e-05,0.00011112238374281272,0.0001284240959460583
aks.us,9.019419090279814e-05,0.0002201684076230033,0.000251966037863,2.194121371390854e-05,2.8059259730255932e-05,0.00025149528503898695,0.0009734757259703403,0.00021121199766553956,4.87492726845633e-05,0.0002272282921941829,9.731766715639921e-05,0.00015849491043340436,8.384609715723526e-05,1.5048926992293135e-06,0.0002134331486703131,0.00018570714834369704,0.0002246854207877607,0.00021006940895202932,0.00021991353126987997,0.00017724914510394276,0.00018436112131296775,0.0002081733010622293,0.00038794132680583347,0.00017176649138595526,0.00017003352096033606,0.0002458827817772204,0.00022561270095869325,0.0003392062984130249,0.0002775860178362824,0.0005316898008061347,0.0002416616935184461,0.00015327851242856637,0.000333143217427713,0.0005084830937772192,0.00013433791226392578,0.0003880895887494138,0.00017289882298019012,0.00017977917670817617,0.00029907230244309704,8.43163100770721e-05,4.0015602915420255e-05,0.0002481018766097266,0.00023241137585880515,6.883996231119241e-05,0.00035388671790563504,0.0002544674373111161,0.00011711687513800453,0.0001737524588002192,0.0003647373102594463,0.00020061266398391667,0.00026269396477406645,7.585868884709029e-06,9.734310255124233e-06,0.000282643924958899,0.00017225152813422434,0.00048115910986848886,0.00015527560305369573,4.361083902048457e-05,3.907715332323882e-05,0.00027583735678252255,0.00023406209440002824,0.0003308983551347383,0.00031456177332443827,0.00036661402543049676,-3.7032289892572325e-06,0.0002567046984047357,0.00033730441391025586,0.00020926184088783273,0.00026542234358548593,4.821614155401039e-05,0.0002385646990724976,0.0001914033632604156,0.0002948755719101793,0.00023935095875761151,2.606750760879912e-05,0.0002475706979642501,0.0002709082392968473,0.00027724222748881996,0.00012568840008654502,0.00014932960924322707,0.0003123648711388813,0.0002480690593184159,0.00010893211280164885,0.00013177761493727436,0.00021621710808847263,0.00022798580469589178,0.00019314496375054646,0.000249310684870108,0.0003226901482465212,0.00044453591683498274,0.0002139356126057754,0.00041293496708627207,0.0003673482103486898,0.00024223068322126148,3.548011388924221e-05,0.00023269330038623457,0.0003239848004363609,0.00027999112100958673,0.0002331899788657813,0.00019590677533971225,0.0002583775531094656,8.867971379100527e-05,0.00025258631057551394,0.00020293912902250076,0.00015255879810853291,0.0002067043273910098,0.0002797113566607639,0.0002710382284181636,0.00018900556906643504,0.00020260505303270194,0.00016504408397048534,0.000252752660791236,6.041513405981663e-05,0.000346313354082798,0.00022750075809010198,0.00019505565687751998,7.054014282014109e-05,0.0003762837577630612,0.00018827359880716835,0.00032080659163034354,0.0001271724701115059,0.00026068625063060307,0.00027835566868990026,0.000396736583582722,0.0001390233046518999,3.256426781947978e-05,0.00032942479503292045,0.00016036858021398654,0.00011583504125198232,0.0001827219978862366,0.00032405422370738475,0.00039125587987099585,0.00013096847207681928,0.00017081703413326926,0.00040529705356383804,0.0002939220325083382,0.00024873321660922996,0.0002089770417887036,0.00034282110686342684,0.0003165233105874496,0.00033166329016199924,0.00024168199644700688,0.0002504495298823617,0.0002907968801275927,0.0003340904239502344,0.0003736023287320371,0.00026700080481702844,0.0002944285319524873,0.00024813262670491727,5.3299717341981516e-05,0.00012630048176029266,0.0002704815238934195,0.00010004657267694585,0.00027136741089325156,0.00037528503187911116,4.132682104824156e-05,0.000160113931055185,0.0002735630691469022,0.000380275178478124
